 Concentration in water(filtered)-[Bq/m3], in sediment (dry)-[Bq/t]                            
Cs-137
  Initial concentrations for REGIONAL and LOCAL boxes
  Planar 
 number  1Layer      2Layer      3Layer      4Layer
                                                        sed-top    sed-mid                                                                          
    1   9.973E-01                                       6.935E+03   1.508E+01 
    2   1.145E+01                                       3.257E+03   7.106E+00 
    3   8.114E+01   6.443E+00   1.751E+00               1.656E+02   1.789E-01 
    4   1.764E+02   1.932E+01   3.387E+00   1.842E-01   3.713E+00   2.854E-03 
    5   1.749E+02   1.918E+01   3.385E+00   1.815E-01   1.840E+01   1.368E-02 
    6   2.139E+02   2.074E+01   3.391E+00               2.856E+02   3.067E-01 
    7   1.888E+02   1.993E+01   3.386E+00   1.807E-01   3.665E+01   2.699E-02 
    8   1.762E+02   1.925E+01   3.383E+00   1.792E-01   3.261E+01   2.435E-02 
    9   1.690E+02   1.884E+01   3.382E+00   1.783E-01   3.060E+01   2.302E-02 
   10   1.581E+02   1.838E+01   3.381E+00   1.773E-01   2.954E+01   2.223E-02 
   11   1.401E+02   1.749E+01   3.380E+00   1.766E-01   2.209E+01   1.660E-02 
   12   1.557E+02   1.763E+01   3.377E+00   1.757E-01   1.745E+01   1.309E-02 
   13   1.621E+02   1.723E+01   3.373E+00   1.743E-01   2.597E+01   1.937E-02 
   14   1.522E+02   1.659E+01   3.378E+00               2.320E+02   2.491E-01 
   15   1.494E+02   1.644E+01   3.372E+00   1.738E-01   2.663E+01   1.983E-02 
   16   1.323E+02   1.548E+01   3.370E+00   1.734E-01   2.954E+01   2.195E-02 
   17   1.527E+02   1.629E+01   3.372E+00   1.740E-01   2.148E+01   1.575E-02 
   18   1.169E+02   1.494E+01   3.369E+00   1.734E-01   2.891E+01   2.157E-02 
   19   1.217E+02   1.502E+01   3.367E+00   1.737E-01   2.866E+01   2.142E-02 
   20   1.264E+02   1.522E+01   3.369E+00   1.744E-01   2.222E+01   1.633E-02 
   21   1.320E+02   1.535E+01   3.368E+00   1.750E-01   1.349E+01   9.996E-03 
   22   1.135E+02   1.468E+01   3.366E+00   1.740E-01   1.513E+01   1.132E-02 
   23   1.165E+02   1.476E+01   3.366E+00   1.736E-01   2.718E+01   2.030E-02 
   24   1.190E+02   1.478E+01   3.366E+00   1.735E-01   2.894E+01   2.162E-02 
   25   1.277E+02   1.511E+01   3.367E+00   1.738E-01   2.899E+01   2.166E-02 
   26   1.471E+02   1.588E+01   3.368E+00   1.742E-01   2.909E+01   2.175E-02 
   27   1.382E+02   1.609E+01   3.372E+00   1.752E-01   2.930E+01   2.195E-02 
   28   1.273E+02   1.637E+01   3.375E+00   1.757E-01   2.939E+01   2.203E-02 
   29   1.412E+02   1.740E+01   3.377E+00   1.766E-01   2.956E+01   2.216E-02 
   30   1.573E+02   1.838E+01   3.380E+00   1.777E-01   2.836E+01   2.102E-02 
   31   1.712E+02   1.930E+01   3.381E+00   1.800E-01   1.463E+01   1.103E-02 
   32   2.096E+02   2.101E+01   3.383E+00   1.833E-01   1.944E+00   1.489E-03 
   33   1.812E+02   1.973E+01                           3.478E+03   1.697E+01 
   34   1.717E+02                                       2.496E+03   1.053E+01 
   35   1.700E+02   2.380E+01                           1.101E+03   5.325E+00 
   36   1.590E+02   1.971E+01                           2.710E+03   1.322E+01 
   37   1.487E+02   1.910E+01   3.382E+00               3.298E+02   3.536E-01 
   38   1.423E+02   1.848E+01   3.379E+00   1.806E-01   1.011E+01   7.575E-03 
   39   1.391E+02   1.702E+01   3.376E+00               3.211E+02   3.437E-01 
   40   1.362E+02   1.545E+01   3.368E+00   1.761E-01   1.805E+01   1.344E-02 
   41   1.223E+02   1.476E+01   3.365E+00   1.762E-01   1.313E+01   9.809E-03 
   42   1.044E+02   1.410E+01   3.364E+00   1.771E-01   6.508E+00   4.919E-03 
   43   1.095E+02   1.438E+01   3.364E+00   1.756E-01   1.823E+01   1.336E-02 
   44   1.265E+02                                       9.156E+03   2.496E+02 
   45   1.101E+02                                       2.564E+03   1.067E+01 
   46   1.274E+02   3.025E+01                           9.792E+02   4.751E+00 
   47   1.201E+02   2.601E+01                           7.348E+02   3.577E+00 
   48   9.730E+01                                       1.939E+03   8.374E+00 
   49   8.033E+01                                       2.201E+03   1.804E+01 
   50   2.045E+02                                       3.446E+03   1.952E+01 
   51   0.000E+00                                       0.000E+00   0.000E+00
   52   0.000E+00                                       0.000E+00   0.000E+00
   53   0.000E+00                                       0.000E+00   0.000E+00
   1986.75000000000     
