 interval        deposition(Bq/year)
          33    Nmsr
           1    Nboxprec
           2    reltp
           3           1    NumPlan   NumVert
           0.5  2.3314286E+09
           1  2.2971428E+09
           1  2.2800000E+09
           1  2.6057142E+09
           1  2.4171428E+09
           1  2.5028570E+09
           1  2.9314286E+09
           1  2.3657142E+09
           1  1.7657143E+09
           1  1.6457142E+09
           1  1.1485714E+09
           1  1.6457142E+09
           1  1.5428572E+09
           1  1.5061674E+09
           1  1.4703505E+09
           1  1.4353851E+09
           1  1.4012512E+09
           1  1.3679290E+09
           1  1.3353992E+09
           1  1.3036431E+09
           1  1.2726419E+09
           1  1.2423782E+09
           1  1.2128340E+09
           1  1.1839926E+09
           1  1.1558369E+09
           1  1.1283508E+09
           1  1.1015182E+09
           1  1.0753238E+09
           1  1.0497523E+09
           1  1.0247889E+09
           1  1.0004191E+09
           1  9.7662880E+08
           1  9.5340429E+08
