 Concentration in water(filtered)-[Bq/m3], in sediment (dry)-[Bq/t]                            
Cs-137
  Initial concentrations for REGIONAL and LOCAL boxes
  Planar 
 number  1Layer      2Layer      3Layer      4Layer
                                                        sed-top    sed-mid                                                                          
    1   9.973E-01                                       6.935E+03   1.508E+01 
    2   1.148E+01                                       3.257E+03   7.106E+00 
    3   1.003E+02   6.801E+00   1.752E+00               1.656E+02   1.789E-01 
    4   2.443E+02   2.322E+01   3.396E+00   1.842E-01   3.713E+00   2.854E-03 
    5   2.186E+02   2.220E+01   3.393E+00   1.815E-01   1.840E+01   1.368E-02 
    6   2.012E+02   2.192E+01   3.401E+00               2.856E+02   3.067E-01 
    7   2.043E+02   2.206E+01   3.396E+00   1.807E-01   3.665E+01   2.699E-02 
    8   1.792E+02   2.084E+01   3.392E+00   1.792E-01   3.261E+01   2.435E-02 
    9   1.897E+02   2.108E+01   3.391E+00   1.783E-01   3.060E+01   2.302E-02 
   10   1.852E+02   2.087E+01   3.390E+00   1.773E-01   2.954E+01   2.223E-02 
   11   1.695E+02   2.005E+01   3.387E+00   1.767E-01   2.209E+01   1.660E-02 
   12   1.713E+02   1.955E+01   3.384E+00   1.757E-01   1.745E+01   1.309E-02 
   13   1.443E+02   1.782E+01   3.379E+00   1.743E-01   2.597E+01   1.937E-02 
   14   1.703E+02   1.821E+01   3.385E+00               2.320E+02   2.491E-01 
   15   1.576E+02   1.771E+01   3.377E+00   1.738E-01   2.663E+01   1.983E-02 
   16   1.535E+02   1.687E+01   3.373E+00   1.734E-01   2.954E+01   2.195E-02 
   17   1.529E+02   1.710E+01   3.376E+00   1.740E-01   2.148E+01   1.575E-02 
   18   1.518E+02   1.670E+01   3.372E+00   1.734E-01   2.891E+01   2.157E-02 
   19   1.520E+02   1.646E+01   3.372E+00   1.737E-01   2.866E+01   2.142E-02 
   20   1.688E+02   1.704E+01   3.372E+00   1.744E-01   2.222E+01   1.633E-02 
   21   1.546E+02   1.648E+01   3.371E+00   1.750E-01   1.349E+01   9.996E-03 
   22   1.416E+02   1.605E+01   3.370E+00   1.740E-01   1.513E+01   1.132E-02 
   23   1.446E+02   1.615E+01   3.370E+00   1.736E-01   2.718E+01   2.030E-02 
   24   1.389E+02   1.598E+01   3.370E+00   1.735E-01   2.894E+01   2.162E-02 
   25   1.316E+02   1.600E+01   3.371E+00   1.738E-01   2.899E+01   2.166E-02 
   26   1.213E+02   1.607E+01   3.374E+00   1.742E-01   2.909E+01   2.175E-02 
   27   1.392E+02   1.740E+01   3.379E+00   1.752E-01   2.930E+01   2.195E-02 
   28   1.281E+02   1.780E+01   3.383E+00   1.757E-01   2.939E+01   2.203E-02 
   29   1.531E+02   1.940E+01   3.386E+00   1.766E-01   2.956E+01   2.216E-02 
   30   1.573E+02   1.991E+01   3.390E+00   1.777E-01   2.836E+01   2.102E-02 
   31   1.859E+02   2.143E+01   3.392E+00   1.800E-01   1.463E+01   1.103E-02 
   32   2.226E+02   2.311E+01   3.394E+00   1.833E-01   1.944E+00   1.489E-03 
   33   2.043E+02   2.219E+01                           3.505E+03   1.697E+01 
   34   2.176E+02                                       2.631E+03   1.052E+01 
   35   2.136E+02   2.811E+01                           1.109E+03   5.325E+00 
   36   1.977E+02   2.282E+01                           2.733E+03   1.322E+01 
   37   1.797E+02   2.207E+01   3.395E+00               3.299E+02   3.536E-01 
   38   1.693E+02   2.143E+01   3.392E+00   1.806E-01   1.011E+01   7.575E-03 
   39   1.621E+02   1.948E+01   3.387E+00               3.211E+02   3.437E-01 
   40   1.572E+02   1.725E+01   3.377E+00   1.761E-01   1.805E+01   1.344E-02 
   41   1.376E+02   1.618E+01   3.373E+00   1.762E-01   1.313E+01   9.809E-03 
   42   1.235E+02   1.547E+01   3.370E+00   1.771E-01   6.508E+00   4.919E-03 
   43   1.386E+02   1.590E+01   3.370E+00   1.756E-01   1.823E+01   1.336E-02 
   44   1.872E+02                                       9.046E+03   2.492E+02 
   45   1.810E+02                                       2.621E+03   1.066E+01 
   46   1.661E+02   3.652E+01                           9.945E+02   4.751E+00 
   47   1.503E+02   3.167E+01                           7.500E+02   3.577E+00 
   48   1.156E+02                                       2.060E+03   8.378E+00 
   49   8.875E+01                                       2.221E+03   1.804E+01 
   50   7.266E+01                                       3.113E+03   1.950E+01 
   51   0.000E+00                                       0.000E+00   0.000E+00
   52   0.000E+00                                       0.000E+00   0.000E+00
   53   0.000E+00                                       0.000E+00   0.000E+00
   1986.75000000000     
