 interval        deposition(Bq/year)
          32    Nmsr
           1    Nboxprec
           2    reltp
          34           1    NumPlan   NumVert
           0.15  3.2162835E+08
           1  3.1689850E+08
           1  3.1453357E+08
           1  3.5946691E+08
           1  3.3345290E+08
           1  3.4527744E+08
           1  4.0440032E+08
           1  3.2635811E+08
           1  2.4358616E+08
           1  2.2703174E+08
           1  1.5844925E+08
           1  2.2703174E+08
           1  2.1284227E+08
           1  2.0778082E+08
           1  2.0283974E+08
           1  1.9801614E+08
           1  1.9330726E+08
           1  1.8871035E+08
           1  1.8422275E+08
           1  1.7984190E+08
           1  1.7556520E+08
           1  1.7139021E+08
           1  1.6731450E+08
           1  1.6333571E+08
           1  1.5945155E+08
           1  1.5565974E+08
           1  1.5195810E+08
           1  1.4834450E+08
           1  1.4481682E+08
           1  1.4137302E+08
           1  1.3801114E+08
           1  1.3472920E+08
