 interval        deposition(Bq/year)
          32    Nmsr
           1    Nboxprec
           2    reltp
          21           1    NumPlan   NumVert
           0.75  2.6215923E+09
           1  2.5830395E+09
           1  2.5637629E+09
           1  2.9300145E+09
           1  2.7179743E+09
           1  2.8143562E+09
           1  3.2962668E+09
           1  2.6601449E+09
           1  1.9854706E+09
           1  1.8505356E+09
           1  1.2915197E+09
           1  1.8505356E+09
           1  1.7348772E+09
           1  1.6936212E+09
           1  1.6533466E+09
           1  1.6140294E+09
           1  1.5756474E+09
           1  1.5381779E+09
           1  1.5015995E+09
           1  1.4658912E+09
           1  1.4310318E+09
           1  1.3970015E+09
           1  1.3637804E+09
           1  1.3313492E+09
           1  1.2996893E+09
           1  1.2687825E+09
           1  1.2386103E+09
           1  1.2091558E+09
           1  1.1804018E+09
           1  1.1523314E+09
           1  1.1249286E+09
           1  1.0981775E+09
