 # Concentrations in food-stuffs being consumed by people [Bq/kg]
#  Cs-137
      time(yr)         box1            box2            box3            box4            box5            box6            box7            box8            box9            box10           box11           box12           box13           box14           box15           box16           box17           box18           box19           box20           box21           box22           box23           box24           box25           box26           box27           box28           box29           box30           box31           box32           box33           box34           box35           box36           box37           box38           box39           box40           box41           box42           box43           box44           box45           box46           box47           box48           box49           box50           box51           box52           box53           
    0.1954000E+04   0.1197169E-02   0.3031840E-02   0.4554868E-01   0.6370908E-01   0.6368197E-01   0.6375121E-01   0.6372144E-01   0.6373170E-01   0.6374012E-01   0.6373058E-01   0.6379326E-01   0.6402832E-01   0.6399150E-01   0.6381045E-01   0.6379168E-01   0.6355335E-01   0.6357960E-01   0.6344014E-01   0.6338228E-01   0.6342085E-01   0.6336705E-01   0.6335883E-01   0.6338640E-01   0.6362857E-01   0.6403026E-01   0.6428982E-01   0.6436075E-01   0.6404389E-01   0.6395531E-01   0.6388455E-01   0.6388520E-01   0.6376261E-01   0.6282524E-01   0.6319061E-01   0.6296840E-01   0.6349520E-01   0.6432838E-01   0.6434792E-01   0.6446624E-01   0.6498074E-01   0.6519619E-01   0.6562685E-01   0.6383744E-01   0.6182094E-01   0.6438907E-01   0.6446411E-01   0.6389207E-01   0.6649052E-01   0.5399791E-01   0.2046885E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1955000E+04   0.3190962E-02   0.8166772E-02   0.1225652E+00   0.1728048E+00   0.1726293E+00   0.1730057E+00   0.1728233E+00   0.1727427E+00   0.1726751E+00   0.1726328E+00   0.1727073E+00   0.1731546E+00   0.1729592E+00   0.1723834E+00   0.1723133E+00   0.1715617E+00   0.1716604E+00   0.1712253E+00   0.1710501E+00   0.1711712E+00   0.1710040E+00   0.1709762E+00   0.1710622E+00   0.1717605E+00   0.1729138E+00   0.1736600E+00   0.1739166E+00   0.1732167E+00   0.1730776E+00   0.1729892E+00   0.1732637E+00   0.1731324E+00   0.1706575E+00   0.1721237E+00   0.1718327E+00   0.1729230E+00   0.1745518E+00   0.1743280E+00   0.1743827E+00   0.1755128E+00   0.1760437E+00   0.1771856E+00   0.1722977E+00   0.1712680E+00   0.1762107E+00   0.1757234E+00   0.1734118E+00   0.1818561E+00   0.1699852E+00   0.5545700E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1956000E+04   0.6110536E-02   0.1513524E-01   0.2146885E+00   0.3086067E+00   0.3084027E+00   0.3088767E+00   0.3086624E+00   0.3086309E+00   0.3086142E+00   0.3085577E+00   0.3088053E+00   0.3098314E+00   0.3095850E+00   0.3086290E+00   0.3085129E+00   0.3072377E+00   0.3073948E+00   0.3066417E+00   0.3063248E+00   0.3065364E+00   0.3062415E+00   0.3061977E+00   0.3063675E+00   0.3076144E+00   0.3096402E+00   0.3109584E+00   0.3113514E+00   0.3099222E+00   0.3095486E+00   0.3092700E+00   0.3094482E+00   0.3090237E+00   0.3045171E+00   0.3066222E+00   0.3058598E+00   0.3079660E+00   0.3115578E+00   0.3114925E+00   0.3119341E+00   0.3142546E+00   0.3152379E+00   0.3172439E+00   0.3085731E+00   0.3029369E+00   0.3127474E+00   0.3123451E+00   0.3092729E+00   0.3212635E+00   0.2770599E+00   0.9839110E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1957000E+04   0.8673745E-02   0.2015538E-01   0.2613446E+00   0.3850929E+00   0.3850695E+00   0.3852452E+00   0.3852234E+00   0.3854291E+00   0.3856386E+00   0.3856015E+00   0.3861691E+00   0.3879828E+00   0.3879349E+00   0.3869534E+00   0.3868495E+00   0.3854994E+00   0.3856252E+00   0.3848022E+00   0.3844216E+00   0.3846553E+00   0.3843226E+00   0.3842871E+00   0.3845174E+00   0.3860113E+00   0.3883823E+00   0.3899442E+00   0.3902639E+00   0.3880587E+00   0.3873183E+00   0.3867101E+00   0.3862487E+00   0.3852845E+00   0.3794564E+00   0.3809505E+00   0.3794734E+00   0.3825284E+00   0.3885135E+00   0.3891519E+00   0.3904446E+00   0.3940142E+00   0.3953267E+00   0.3977642E+00   0.3872209E+00   0.3714455E+00   0.3861890E+00   0.3868812E+00   0.3852184E+00   0.3944709E+00   0.3019779E+00   0.1206028E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1958000E+04   0.1107520E-01   0.2421024E-01   0.2966508E+00   0.4414862E+00   0.4414550E+00   0.4416700E+00   0.4416653E+00   0.4419016E+00   0.4421537E+00   0.4420970E+00   0.4427570E+00   0.4448659E+00   0.4448585E+00   0.4438079E+00   0.4437065E+00   0.4422666E+00   0.4423803E+00   0.4415008E+00   0.4410762E+00   0.4413265E+00   0.4409666E+00   0.4409362E+00   0.4412091E+00   0.4428546E+00   0.4454377E+00   0.4471548E+00   0.4474821E+00   0.4449711E+00   0.4441365E+00   0.4434556E+00   0.4429040E+00   0.4417910E+00   0.4350446E+00   0.4366342E+00   0.4350749E+00   0.4385000E+00   0.4454435E+00   0.4461800E+00   0.4476461E+00   0.4516437E+00   0.4530906E+00   0.4557518E+00   0.4441850E+00   0.4263385E+00   0.4425449E+00   0.4435060E+00   0.4416229E+00   0.4526939E+00   0.4030338E+00   0.1340749E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1959000E+04   0.1425984E-01   0.3019941E-01   0.3677244E+00   0.5435157E+00   0.5436394E+00   0.5435944E+00   0.5437377E+00   0.5441806E+00   0.5446169E+00   0.5445848E+00   0.5455180E+00   0.5483122E+00   0.5484498E+00   0.5473315E+00   0.5472413E+00   0.5456931E+00   0.5457865E+00   0.5448307E+00   0.5443575E+00   0.5446287E+00   0.5442356E+00   0.5442071E+00   0.5445082E+00   0.5463973E+00   0.5493743E+00   0.5513473E+00   0.5516330E+00   0.5483915E+00   0.5472224E+00   0.5462404E+00   0.5451611E+00   0.5435584E+00   0.5351608E+00   0.5363525E+00   0.5339993E+00   0.5384765E+00   0.5479800E+00   0.5493015E+00   0.5515088E+00   0.5567321E+00   0.5585568E+00   0.5617919E+00   0.5480366E+00   0.5199042E+00   0.5418651E+00   0.5438318E+00   0.5429123E+00   0.5527132E+00   0.4100187E+00   0.1619282E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1960000E+04   0.1975114E-01   0.4213210E-01   0.5303263E+00   0.7756586E+00   0.7756500E+00   0.7759182E+00   0.7759095E+00   0.7763290E+00   0.7767708E+00   0.7767158E+00   0.7778632E+00   0.7814659E+00   0.7815042E+00   0.7798103E+00   0.7796673E+00   0.7773690E+00   0.7775345E+00   0.7761416E+00   0.7754811E+00   0.7758727E+00   0.7753103E+00   0.7752588E+00   0.7756525E+00   0.7783278E+00   0.7826037E+00   0.7854195E+00   0.7859148E+00   0.7815771E+00   0.7800652E+00   0.7788364E+00   0.7778143E+00   0.7759561E+00   0.7641624E+00   0.7668259E+00   0.7639398E+00   0.7695734E+00   0.7819083E+00   0.7832938E+00   0.7860162E+00   0.7930722E+00   0.7956283E+00   0.8002777E+00   0.7806614E+00   0.7484425E+00   0.7759052E+00   0.7770829E+00   0.7745424E+00   0.7894225E+00   0.5102454E+00   0.2312776E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1961000E+04   0.2041935E-01   0.3922850E-01   0.4138240E+00   0.6428023E+00   0.6433018E+00   0.6426184E+00   0.6431661E+00   0.6440403E+00   0.6449230E+00   0.6449467E+00   0.6464723E+00   0.6506231E+00   0.6512697E+00   0.6504089E+00   0.6503832E+00   0.6490901E+00   0.6490619E+00   0.6482002E+00   0.6476868E+00   0.6479377E+00   0.6475570E+00   0.6475626E+00   0.6479491E+00   0.6499684E+00   0.6530181E+00   0.6550907E+00   0.6550868E+00   0.6506366E+00   0.6487887E+00   0.6472120E+00   0.6448364E+00   0.6424063E+00   0.6321202E+00   0.6317288E+00   0.6284318E+00   0.6335939E+00   0.6471716E+00   0.6499377E+00   0.6538551E+00   0.6610271E+00   0.6632174E+00   0.6666621E+00   0.6518160E+00   0.6077046E+00   0.6333417E+00   0.6365772E+00   0.6396665E+00   0.6369703E+00   0.3545294E+00   0.1798427E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1962000E+04   0.2154529E-01   0.3872680E-01   0.3980953E+00   0.6110517E+00   0.6114147E+00   0.6109551E+00   0.6113807E+00   0.6120749E+00   0.6127936E+00   0.6127914E+00   0.6140729E+00   0.6176249E+00   0.6181933E+00   0.6174949E+00   0.6175017E+00   0.6164946E+00   0.6164302E+00   0.6157698E+00   0.6153543E+00   0.6155439E+00   0.6152505E+00   0.6152655E+00   0.6155831E+00   0.6172492E+00   0.6197759E+00   0.6214996E+00   0.6214777E+00   0.6176586E+00   0.6161097E+00   0.6148079E+00   0.6128975E+00   0.6108769E+00   0.6011124E+00   0.6010048E+00   0.5983437E+00   0.6027315E+00   0.6150277E+00   0.6172481E+00   0.6204891E+00   0.6265932E+00   0.6284850E+00   0.6314806E+00   0.6188561E+00   0.5815914E+00   0.6031122E+00   0.6058152E+00   0.6078025E+00   0.6082038E+00   0.3923400E+00   0.1599161E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1963000E+04   0.2894735E-01   0.5647935E-01   0.6885893E+00   0.1003261E+01   0.1003342E+01   0.1003490E+01   0.1003607E+01   0.1004230E+01   0.1004832E+01   0.1004749E+01   0.1006166E+01   0.1010565E+01   0.1010717E+01   0.1008863E+01   0.1008742E+01   0.1006263E+01   0.1006400E+01   0.1004909E+01   0.1004198E+01   0.1004612E+01   0.1004015E+01   0.1003963E+01   0.1004364E+01   0.1007365E+01   0.1012224E+01   0.1015421E+01   0.1015936E+01   0.1010714E+01   0.1008930E+01   0.1007444E+01   0.1006026E+01   0.1003491E+01   0.9880682E+00   0.9906638E+00   0.9868210E+00   0.9945762E+00   0.1011181E+01   0.1012930E+01   0.1016114E+01   0.1024478E+01   0.1027532E+01   0.1033089E+01   0.1010182E+01   0.9638307E+00   0.1001910E+01   0.1005243E+01   0.1001900E+01   0.1025681E+01   0.8193073E+00   0.2809578E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
