 interval        deposition(Bq/year)
          34    Nmsr
           1    Nboxprec
           2    reltp
           4           1    NumPlan   NumVert
           0.5  2.6799652E+09
           1  2.6403901E+09
           1  2.6015606E+09
           1  2.5821458E+09
           1  2.9510239E+09
           1  2.7374630E+09
           1  2.8345362E+09
           1  3.3199020E+09
           1  2.6792189E+09
           1  1.9997071E+09
           1  1.8638045E+09
           1  1.3007803E+09
           1  1.8638045E+09
           1  1.7473169E+09
           1  1.7057650E+09
           1  1.6652017E+09
           1  1.6256026E+09
           1  1.5869453E+09
           1  1.5492072E+09
           1  1.5123665E+09
           1  1.4764022E+09
           1  1.4412928E+09
           1  1.4070185E+09
           1  1.3735590E+09
           1  1.3408955E+09
           1  1.3090086E+09
           1  1.2778801E+09
           1  1.2474916E+09
           1  1.2178259E+09
           1  1.1888657E+09
           1  1.1605940E+09
           1  1.1329948E+09
           1  1.1060518E+09
           1  1.0797496E+09
