 Concentration in water(filtered)-[Bq/m3], in sediment (dry)-[Bq/t]                            
Cs-137
  Initial concentrations for REGIONAL and LOCAL boxes
  Planar 
 number  1Layer      2Layer      3Layer      4Layer
                                                        sed-top    sed-mid                                                                          
    1   9.972E-01                                       6.928E+03   1.508E+01 
    2   1.146E+01                                       3.255E+03   7.102E+00 
    3   8.795E+01   6.520E+00   1.748E+00               1.653E+02   1.786E-01 
    4   1.896E+02   2.009E+01   3.391E+00   1.834E-01   3.690E+00   2.829E-03 
    5   2.043E+02   2.040E+01   3.389E+00   1.809E-01   1.706E+01   1.282E-02 
    6   1.856E+02   2.009E+01   3.395E+00               2.858E+02   3.072E-01 
    7   2.009E+02   2.059E+01   3.390E+00   1.807E-01   3.483E+01   2.589E-02 
    8   2.023E+02   2.039E+01   3.387E+00   1.795E-01   3.186E+01   2.392E-02 
    9   1.982E+02   2.007E+01   3.386E+00   1.784E-01   3.050E+01   2.295E-02 
   10   1.938E+02   1.976E+01   3.385E+00   1.776E-01   2.961E+01   2.230E-02 
   11   1.721E+02   1.859E+01   3.382E+00   1.771E-01   2.216E+01   1.667E-02 
   12   1.468E+02   1.677E+01   3.376E+00   1.758E-01   1.747E+01   1.311E-02 
   13   1.250E+02   1.554E+01   3.373E+00   1.744E-01   2.639E+01   1.964E-02 
   14   1.282E+02   1.537E+01   3.379E+00               2.579E+02   2.702E-01 
   15   1.228E+02   1.507E+01   3.372E+00   1.737E-01   2.774E+01   2.051E-02 
   16   1.130E+02   1.433E+01   3.366E+00   1.730E-01   3.104E+01   2.285E-02 
   17   1.227E+02   1.478E+01   3.367E+00   1.736E-01   2.249E+01   1.633E-02 
   18   1.186E+02   1.447E+01   3.366E+00   1.728E-01   2.985E+01   2.212E-02 
   19   1.132E+02   1.425E+01   3.364E+00   1.732E-01   3.069E+01   2.265E-02 
   20   1.214E+02   1.457E+01   3.365E+00   1.741E-01   2.426E+01   1.754E-02 
   21   1.283E+02   1.475E+01   3.364E+00   1.750E-01   1.440E+01   1.057E-02 
   22   1.007E+02   1.376E+01   3.363E+00   1.736E-01   1.636E+01   1.207E-02 
   23   9.971E+01   1.376E+01   3.363E+00   1.729E-01   2.794E+01   2.073E-02 
   24   1.048E+02   1.413E+01   3.365E+00   1.728E-01   2.979E+01   2.209E-02 
   25   1.196E+02   1.491E+01   3.369E+00   1.737E-01   3.048E+01   2.258E-02 
   26   1.335E+02   1.563E+01   3.370E+00   1.744E-01   2.913E+01   2.179E-02 
   27   1.486E+02   1.659E+01   3.373E+00   1.754E-01   2.934E+01   2.200E-02 
   28   1.656E+02   1.798E+01   3.379E+00   1.760E-01   3.077E+01   2.292E-02 
   29   1.773E+02   1.906E+01   3.382E+00   1.769E-01   2.955E+01   2.218E-02 
   30   1.972E+02   2.032E+01   3.385E+00   1.778E-01   2.904E+01   2.145E-02 
   31   2.032E+02   2.084E+01   3.387E+00   1.803E-01   1.564E+01   1.167E-02 
   32   2.308E+02   2.204E+01   3.389E+00   1.841E-01   1.957E+00   1.504E-03 
   33   2.028E+02   2.089E+01                           3.488E+03   1.700E+01 
   34   2.050E+02                                       2.577E+03   1.051E+01 
   35   2.032E+02   2.578E+01                           1.105E+03   5.337E+00 
   36   1.953E+02   2.135E+01                           2.722E+03   1.327E+01 
   37   1.790E+02   2.093E+01   3.388E+00               3.302E+02   3.542E-01 
   38   1.712E+02   2.016E+01   3.387E+00   1.816E-01   1.053E+01   7.868E-03 
   39   1.784E+02   1.850E+01   3.381E+00               3.723E+02   3.852E-01 
   40   1.754E+02   1.699E+01   3.370E+00   1.763E-01   1.812E+01   1.350E-02 
   41   1.306E+02   1.525E+01   3.367E+00   1.765E-01   1.360E+01   1.012E-02 
   42   1.121E+02   1.442E+01   3.365E+00   1.775E-01   6.535E+00   4.949E-03 
   43   8.551E+01   1.323E+01   3.363E+00   1.749E-01   1.934E+01   1.398E-02 
   44   1.735E+02                                       9.359E+03   2.486E+02 
   45   1.702E+02                                       2.589E+03   1.063E+01 
   46   1.439E+02   3.281E+01                           9.878E+02   4.804E+00 
   47   1.276E+02   2.622E+01                           7.322E+02   3.574E+00 
   48   8.895E+01                                       1.930E+03   8.362E+00 
   49   8.073E+01                                       2.196E+03   1.803E+01 
   50   2.039E+02                                       3.453E+03   1.955E+01 
   51   0.000E+00                                       0.000E+00   0.000E+00
   52   0.000E+00                                       0.000E+00   0.000E+00
   53   0.000E+00                                       0.000E+00   0.000E+00
   1986.75000000000     
