 Concentration in water(filtered)-[Bq/m3], in sediment (dry)-[Bq/t]                            
Cs-137
  Initial concentrations for REGIONAL and LOCAL boxes
  Planar 
 number  1Layer      2Layer      3Layer      4Layer
                                                        sed-top    sed-mid                                                                          
    1   1.058E+00                                       6.755E+03   1.484E+01 
    2   9.666E+00                                       2.652E+03   5.578E+00 
    3   1.019E+02   2.698E+00   1.173E+00               1.049E+02   1.096E-01 
    4   1.720E+02   2.580E+01   3.234E+00   3.324E-01   6.775E+00   5.252E-03 
    5   2.019E+02   2.559E+01   3.229E+00   3.310E-01   2.948E+01   2.279E-02 
    6   1.909E+02   2.859E+01   3.241E+00               2.779E+02   3.064E-01 
    7   1.886E+02   2.728E+01   3.236E+00   3.306E-01   5.676E+01   4.384E-02 
    8   1.732E+02   2.501E+01   3.231E+00   3.299E-01   5.663E+01   4.368E-02 
    9   1.961E+02   2.497E+01   3.228E+00   3.292E-01   5.646E+01   4.348E-02 
   10   1.866E+02   2.400E+01   3.225E+00   3.287E-01   5.592E+01   4.303E-02 
   11   1.506E+02   2.155E+01   3.219E+00   3.281E-01   4.190E+01   3.221E-02 
   12   1.670E+02   2.112E+01   3.214E+00   3.272E-01   3.323E+01   2.551E-02 
   13   1.493E+02   1.935E+01   3.208E+00   3.264E-01   4.918E+01   3.769E-02 
   14   1.644E+02   1.860E+01   3.208E+00               2.254E+02   2.480E-01 
   15   1.556E+02   1.840E+01   3.204E+00   3.256E-01   5.018E+01   3.840E-02 
   16   1.454E+02   1.708E+01   3.199E+00   3.252E-01   5.552E+01   4.245E-02 
   17   1.360E+02   1.647E+01   3.197E+00   3.256E-01   3.635E+01   2.783E-02 
   18   1.351E+02   1.618E+01   3.196E+00   3.252E-01   5.550E+01   4.245E-02 
   19   1.360E+02   1.584E+01   3.193E+00   3.255E-01   5.497E+01   4.208E-02 
   20   1.515E+02   1.637E+01   3.194E+00   3.259E-01   3.760E+01   2.880E-02 
   21   1.676E+02   1.671E+01   3.194E+00   3.265E-01   2.367E+01   1.815E-02 
   22   1.217E+02   1.532E+01   3.192E+00   3.257E-01   2.896E+01   2.217E-02 
   23   1.249E+02   1.562E+01   3.194E+00   3.252E-01   5.210E+01   3.985E-02 
   24   1.279E+02   1.604E+01   3.196E+00   3.253E-01   5.552E+01   4.247E-02 
   25   1.350E+02   1.676E+01   3.199E+00   3.256E-01   5.561E+01   4.256E-02 
   26   1.409E+02   1.764E+01   3.203E+00   3.262E-01   5.574E+01   4.270E-02 
   27   1.672E+02   1.938E+01   3.209E+00   3.267E-01   5.586E+01   4.283E-02 
   28   1.724E+02   2.111E+01   3.216E+00   3.272E-01   5.596E+01   4.294E-02 
   29   1.954E+02   2.417E+01   3.224E+00   3.279E-01   5.533E+01   4.252E-02 
   30   2.211E+02   2.695E+01   3.230E+00   3.284E-01   4.846E+01   3.727E-02 
   31   2.070E+02   2.924E+01   3.233E+00   3.299E-01   2.622E+01   2.022E-02 
   32   2.016E+02   2.990E+01   3.237E+00   3.325E-01   3.572E+00   2.769E-03 
   33   1.896E+02   2.996E+01                           3.610E+03   1.769E+01 
   34   1.345E+02                                       1.940E+03   8.070E+00 
   35   2.064E+02   3.987E+01                           1.158E+03   5.569E+00 
   36   2.106E+02   3.408E+01                           2.850E+03   1.383E+01 
   37   2.056E+02   3.192E+01   3.236E+00               3.211E+02   3.533E-01 
   38   1.973E+02   2.824E+01   3.230E+00   3.308E-01   1.707E+01   1.319E-02 
   39   2.008E+02   2.314E+01   3.217E+00               3.105E+02   3.414E-01 
   40   1.852E+02   1.889E+01   3.205E+00   3.272E-01   3.219E+01   2.471E-02 
   41   1.462E+02   1.707E+01   3.200E+00   3.272E-01   2.376E+01   1.824E-02 
   42   1.166E+02   1.569E+01   3.196E+00   3.271E-01   1.223E+01   9.392E-03 
   43   1.088E+02   1.514E+01   3.194E+00   3.260E-01   2.946E+01   2.257E-02 
   44   1.426E+02                                       6.605E+03   1.893E+02 
   45   1.417E+02                                       1.945E+03   8.037E+00 
   46   1.659E+02   6.223E+01                           1.119E+03   5.126E+00 
   47   1.514E+02   4.297E+01                           7.893E+02   3.715E+00 
   48   1.036E+02                                       2.014E+03   7.841E+00 
   49   7.361E+01                                       2.126E+03   1.679E+01 
   50   7.551E+01                                       3.070E+03   1.924E+01 
   51   0.000E+00                                       0.000E+00   0.000E+00
   52   0.000E+00                                       0.000E+00   0.000E+00
   53   0.000E+00                                       0.000E+00   0.000E+00
   1986.75000000000     
