 Concentration in water(filtered)-[Bq/m3], in sediment (dry)-[Bq/t]                            
Cs-137
  Initial concentrations for REGIONAL and LOCAL boxes
  Planar 
 number  1Layer      2Layer      3Layer      4Layer
                                                        sed-top    sed-mid                                                                          
    1   1.111E+00                                       2.268E+03   1.489E+01 
    2   2.952E+00                                       1.416E+03   5.695E+00 
    3   4.164E+01   4.819E+00   1.422E+00               3.910E+01   1.123E-01 
    4   5.855E+01   3.532E+01   3.705E+00   3.601E-01   3.255E+00   5.552E-03 
    5   6.033E+01   3.551E+01   3.701E+00   3.584E-01   1.417E+01   2.410E-02 
    6   5.891E+01   3.557E+01   3.709E+00               1.165E+02   3.137E-01 
    7   5.933E+01   3.546E+01   3.701E+00   3.581E-01   2.730E+01   4.637E-02 
    8   5.995E+01   3.535E+01   3.695E+00   3.572E-01   2.725E+01   4.620E-02 
    9   6.040E+01   3.528E+01   3.692E+00   3.564E-01   2.718E+01   4.600E-02 
   10   6.041E+01   3.512E+01   3.686E+00   3.558E-01   2.693E+01   4.553E-02 
   11   6.071E+01   3.494E+01   3.678E+00   3.551E-01   2.019E+01   3.408E-02 
   12   6.127E+01   3.469E+01   3.666E+00   3.541E-01   1.602E+01   2.699E-02 
   13   6.193E+01   3.444E+01   3.655E+00   3.531E-01   2.371E+01   3.989E-02 
   14   6.274E+01   3.416E+01   3.650E+00               9.382E+01   2.539E-01 
   15   6.282E+01   3.413E+01   3.643E+00   3.521E-01   2.421E+01   4.065E-02 
   16   6.367E+01   3.384E+01   3.631E+00   3.517E-01   2.679E+01   4.495E-02 
   17   6.375E+01   3.376E+01   3.629E+00   3.521E-01   1.753E+01   2.946E-02 
   18   6.417E+01   3.364E+01   3.624E+00   3.516E-01   2.678E+01   4.494E-02 
   19   6.449E+01   3.345E+01   3.618E+00   3.520E-01   2.651E+01   4.454E-02 
   20   6.302E+01   3.305E+01   3.617E+00   3.524E-01   1.813E+01   3.049E-02 
   21   6.453E+01   3.340E+01   3.615E+00   3.531E-01   1.140E+01   1.921E-02 
   22   6.480E+01   3.347E+01   3.617E+00   3.521E-01   1.397E+01   2.347E-02 
   23   6.464E+01   3.355E+01   3.621E+00   3.516E-01   2.514E+01   4.218E-02 
   24   6.435E+01   3.365E+01   3.627E+00   3.518E-01   2.679E+01   4.497E-02 
   25   6.400E+01   3.377E+01   3.635E+00   3.522E-01   2.682E+01   4.506E-02 
   26   6.346E+01   3.393E+01   3.644E+00   3.528E-01   2.688E+01   4.520E-02 
   27   6.294E+01   3.411E+01   3.655E+00   3.534E-01   2.693E+01   4.533E-02 
   28   6.236E+01   3.435E+01   3.664E+00   3.541E-01   2.697E+01   4.544E-02 
   29   6.182E+01   3.461E+01   3.670E+00   3.549E-01   2.666E+01   4.499E-02 
   30   6.109E+01   3.489E+01   3.678E+00   3.555E-01   2.334E+01   3.943E-02 
   31   6.005E+01   3.524E+01   3.685E+00   3.571E-01   1.262E+01   2.139E-02 
   32   5.919E+01   3.548E+01   3.691E+00   3.601E-01   1.716E+00   2.927E-03 
   33   5.872E+01   3.564E+01                           2.081E+03   1.778E+01 
   34   4.764E+01                                       1.217E+03   8.232E+00 
   35   5.599E+01   3.632E+01                           6.700E+02   5.603E+00 
   36   5.899E+01   3.557E+01                           1.623E+03   1.390E+01 
   37   6.011E+01   3.527E+01   3.675E+00               1.341E+02   3.619E-01 
   38   6.152E+01   3.482E+01   3.669E+00   3.581E-01   8.210E+00   1.395E-02 
   39   6.300E+01   3.420E+01   3.659E+00               1.294E+02   3.497E-01 
   40   6.397E+01   3.379E+01   3.645E+00   3.540E-01   1.551E+01   2.615E-02 
   41   6.442E+01   3.366E+01   3.635E+00   3.540E-01   1.145E+01   1.930E-02 
   42   6.471E+01   3.360E+01   3.627E+00   3.538E-01   5.894E+00   9.939E-03 
   43   6.470E+01   3.357E+01   3.623E+00   3.526E-01   1.421E+01   2.389E-02 
   44   4.269E+01                                       4.296E+03   1.931E+02 
   45   4.505E+01                                       1.179E+03   8.193E+00 
   46   5.437E+01   3.845E+01                           6.543E+02   5.178E+00 
   47   5.892E+01   3.684E+01                           4.512E+02   3.741E+00 
   48   4.537E+01                                       1.069E+03   7.979E+00 
   49   2.559E+01                                       8.429E+02   1.704E+01 
   50   7.285E+01                                       1.320E+03   1.906E+01 
   51   0.000E+00                                       0.000E+00   0.000E+00
   52   0.000E+00                                       0.000E+00   0.000E+00
   53   0.000E+00                                       0.000E+00   0.000E+00
   1988.50000000000     
