 interval        deposition(Bq/year)
          76    Nmsr
           1    Nboxprec
           2    reltp
          47           1    NumPlan   NumVert
   1945.000      0.0000000E+00    Release   Bq/year
           1  2.0486672E+10
           1  1.4795930E+10
           1  2.2762970E+08
           1  2.2990598E+10
           1  4.7802235E+09
           1  2.2762970E+08
           1  1.3202522E+11
           1  1.3430152E+11
           1  5.6907419E+11
           1  1.4795930E+12
           1  2.2080080E+12
           1  2.0372858E+12
           1  2.0031413E+12
           1  2.6518859E+12
           1  4.4273972E+12
           1  1.1028659E+12
           1  1.4795930E+12
           1  6.0777132E+12
           1  1.1040040E+13
           1  6.9768504E+12
           1  3.2551047E+12
           1  1.3771596E+12
           1  7.1020465E+11
           1  8.2174312E+11
           1  6.2029090E+11
           1  8.6726908E+11
           1  7.9328942E+11
           1  3.6306937E+11
           1  1.3430152E+11
           1  5.0761420E+11
           1  2.4584005E+11
           1  1.1381485E+11
           1  3.4258269E+11
           1  4.2111494E+11
           1  1.3202522E+11
           1  1.2633448E+11
           1  1.8779449E+11
           1  5.3492978E+10
           1  3.7558899E+10
           1  3.0730007E+10
           1.33  8.8775578E+09  
           0.083000  1.712424E+14 
           1.587  2.2495040E+09 
           1  2.2162857E+09
           1  2.1836931E+09
           1  2.1673969E+09
           1  2.4770248E+09
           1  2.2977667E+09
           1  2.3792476E+09
           1  2.7866532E+09
           1  2.2488778E+09
           1  1.6785103E+09
           1  1.5644367E+09
           1  1.0918465E+09
           1  1.5644367E+09
           1  1.4666596E+09
           1  1.4317819E+09
           1  1.3977338E+09
           1  1.3644952E+09
           1  1.3320471E+09
           1  1.3003706E+09
           1  1.2694473E+09
           1  1.2392596E+09
           1  1.2097896E+09
           1  1.1810204E+09
           1  1.1529354E+09
           1  1.1255183E+09
           1  1.0987532E+09
           1  1.0726246E+09
           1  1.0471171E+09
           1  1.0222164E+09
           1  9.9790784E+08
           1  9.7417728E+08
           1  9.5101101E+08
           1  9.2839571E+08
