 Concentration in water(filtered)-[Bq/m3], in sediment (dry)-[Bq/t]                            
Cs-137
  Initial concentrations for REGIONAL and LOCAL boxes
  Planar 
 number  1Layer      2Layer      3Layer      4Layer
                                                        sed-top    sed-mid                                                                          
    1   9.972E-01                                       6.935E+03   1.508E+01 
    2   1.141E+01                                       3.256E+03   7.106E+00 
    3   7.040E+01   6.041E+00   1.750E+00               1.656E+02   1.789E-01 
    4   1.720E+02   1.862E+01   3.383E+00   1.842E-01   3.713E+00   2.854E-03 
    5   1.551E+02   1.791E+01   3.381E+00   1.815E-01   1.840E+01   1.368E-02 
    6   1.891E+02   1.941E+01   3.387E+00               2.856E+02   3.067E-01 
    7   1.684E+02   1.861E+01   3.383E+00   1.807E-01   3.665E+01   2.699E-02 
    8   1.484E+02   1.770E+01   3.381E+00   1.792E-01   3.261E+01   2.435E-02 
    9   1.432E+02   1.743E+01   3.381E+00   1.783E-01   3.060E+01   2.302E-02 
   10   1.387E+02   1.724E+01   3.380E+00   1.773E-01   2.954E+01   2.223E-02 
   11   1.294E+02   1.681E+01   3.380E+00   1.766E-01   2.209E+01   1.660E-02 
   12   1.318E+02   1.683E+01   3.378E+00   1.757E-01   1.745E+01   1.309E-02 
   13   1.126E+02   1.609E+01   3.379E+00   1.743E-01   2.597E+01   1.937E-02 
   14   1.409E+02   1.724E+01   3.386E+00               2.320E+02   2.491E-01 
   15   1.324E+02   1.693E+01   3.379E+00   1.738E-01   2.663E+01   1.983E-02 
   16   1.346E+02   1.724E+01   3.378E+00   1.734E-01   2.954E+01   2.195E-02 
   17   1.181E+02   1.661E+01   3.380E+00   1.740E-01   2.148E+01   1.575E-02 
   18   1.187E+02   1.673E+01   3.378E+00   1.734E-01   2.891E+01   2.157E-02 
   19   1.404E+02   1.759E+01   3.377E+00   1.737E-01   2.866E+01   2.142E-02 
   20   1.237E+02   1.695E+01   3.377E+00   1.744E-01   2.222E+01   1.633E-02 
   21   1.535E+02   1.802E+01   3.377E+00   1.750E-01   1.349E+01   9.996E-03 
   22   1.510E+02   1.792E+01   3.377E+00   1.740E-01   1.513E+01   1.132E-02 
   23   1.448E+02   1.766E+01   3.377E+00   1.736E-01   2.718E+01   2.030E-02 
   24   1.414E+02   1.745E+01   3.376E+00   1.735E-01   2.894E+01   2.162E-02 
   25   1.396E+02   1.716E+01   3.375E+00   1.738E-01   2.899E+01   2.166E-02 
   26   1.318E+02   1.667E+01   3.375E+00   1.742E-01   2.909E+01   2.175E-02 
   27   1.468E+02   1.713E+01   3.376E+00   1.752E-01   2.930E+01   2.195E-02 
   28   1.444E+02   1.720E+01   3.378E+00   1.757E-01   2.939E+01   2.203E-02 
   29   1.405E+02   1.725E+01   3.379E+00   1.766E-01   2.956E+01   2.216E-02 
   30   1.234E+02   1.660E+01   3.379E+00   1.777E-01   2.836E+01   2.102E-02 
   31   1.502E+02   1.793E+01   3.380E+00   1.800E-01   1.463E+01   1.103E-02 
   32   1.808E+02   1.935E+01   3.381E+00   1.832E-01   1.944E+00   1.489E-03 
   33   1.726E+02   1.900E+01                           3.468E+03   1.697E+01 
   34   1.562E+02                                       2.184E+03   1.051E+01 
   35   1.498E+02   2.184E+01                           1.088E+03   5.325E+00 
   36   1.429E+02   1.847E+01                           2.700E+03   1.322E+01 
   37   1.370E+02   1.796E+01   3.381E+00               3.298E+02   3.536E-01 
   38   1.417E+02   1.803E+01   3.379E+00   1.806E-01   1.011E+01   7.575E-03 
   39   1.649E+02   1.823E+01   3.380E+00               3.211E+02   3.437E-01 
   40   1.710E+02   1.782E+01   3.375E+00   1.761E-01   1.805E+01   1.344E-02 
   41   1.572E+02   1.749E+01   3.373E+00   1.762E-01   1.313E+01   9.809E-03 
   42   1.352E+02   1.693E+01   3.373E+00   1.771E-01   6.508E+00   4.919E-03 
   43   1.289E+02   1.693E+01   3.374E+00   1.756E-01   1.823E+01   1.336E-02 
   44   1.183E+02                                       7.270E+03   2.488E+02 
   45   1.288E+02                                       2.134E+03   1.065E+01 
   46   1.094E+02   2.510E+01                           9.581E+02   4.750E+00 
   47   1.020E+02   2.319E+01                           7.228E+02   3.576E+00 
   48   7.484E+01                                       1.655E+03   8.364E+00 
   49   6.778E+01                                       2.131E+03   1.803E+01 
   50   2.764E+02                                       3.610E+03   1.952E+01 
   51   0.000E+00                                       0.000E+00   0.000E+00
   52   0.000E+00                                       0.000E+00   0.000E+00
   53   0.000E+00                                       0.000E+00   0.000E+00
   1986.75000000000     
