 interval        deposition(Bq/year)
          33    Nmsr
           1    Nboxprec
           2    reltp
          36           1    NumPlan   NumVert
           0.5  1.8264317E+09 
           1  1.7994607E+09
           1  1.7729980E+09
           1  1.7597667E+09
           1  2.0111617E+09
           1  1.8656173E+09
           1  1.9317740E+09
           1  2.2625572E+09
           1  1.8259232E+09
           1  1.3628269E+09
           1  1.2702075E+09
           1  8.8649901E+08
           1  1.2702075E+09
           1  1.1908196E+09
           1  1.1625015E+09
           1  1.1348570E+09
           1  1.1078697E+09
           1  1.0815242E+09
           1  1.0558052E+09
           1  1.0306978E+09
           1  1.0061876E+09
           1  9.8226010E+08
           1  9.5890170E+08
           1  9.3609869E+08
           1  9.1383802E+08
           1  8.9210669E+08
           1  8.7089216E+08
           1  8.5018202E+08
           1  8.2996448E+08
           1  8.1022771E+08
           1  7.9096019E+08
           1  7.7215098E+08
           1  7.5378899E+08
