 interval        deposition(Bq/year)
          30    Nmsr
           1    Nboxprec
           2    reltp
          44           1    NumPlan   NumVert
           0.25  3.6397750E+08
           1  4.1597430E+08
           1  3.8587091E+08
           1  3.9955427E+08
           1  4.6797110E+08
           1  3.7766086E+08
           1  2.8187734E+08
           1  2.6272061E+08
           1  1.8335710E+08
           1  2.6272061E+08
           1  2.4630059E+08
           1  2.4044347E+08
           1  2.3472568E+08
           1  2.2914382E+08
           1  2.2369472E+08
           1  2.1837518E+08
           1  2.1318214E+08
           1  2.0811264E+08
           1  2.0316363E+08
           1  1.9833235E+08
           1  1.9361595E+08
           1  1.8901171E+08
           1  1.8451696E+08
           1  1.8012910E+08
           1  1.7584555E+08
           1  1.7166390E+08
           1  1.6758170E+08
           1  1.6359654E+08
           1  1.5970618E+08
           1  1.5590830E+08
