 Concentration in water(filtered)-[Bq/m3], in sediment (dry)-[Bq/t]                            
Cs-137
  Initial concentrations for REGIONAL and LOCAL boxes
  Planar 
 number  1Layer      2Layer      3Layer      4Layer
                                                        sed-top    sed-mid                                                                          
    1   1.025E+00                                       2.286E+03   1.514E+01 
    2   5.564E+00                                       1.995E+03   7.260E+00 
    3   3.452E+01   1.175E+01   2.102E+00               6.071E+01   1.829E-01 
    4   5.367E+01   2.588E+01   3.662E+00   1.996E-01   1.795E+00   3.019E-03 
    5   5.361E+01   2.588E+01   3.659E+00   1.968E-01   8.590E+00   1.450E-02 
    6   5.370E+01   2.598E+01   3.667E+00               1.186E+02   3.146E-01 
    7   5.398E+01   2.599E+01   3.660E+00   1.958E-01   1.696E+01   2.863E-02 
    8   5.444E+01   2.603E+01   3.657E+00   1.942E-01   1.552E+01   2.582E-02 
    9   5.551E+01   2.619E+01   3.657E+00   1.933E-01   1.481E+01   2.441E-02 
   10   5.445E+01   2.600E+01   3.656E+00   1.923E-01   1.439E+01   2.358E-02 
   11   5.407E+01   2.591E+01   3.653E+00   1.916E-01   1.076E+01   1.762E-02 
   12   5.406E+01   2.586E+01   3.651E+00   1.906E-01   8.514E+00   1.389E-02 
   13   5.417E+01   2.581E+01   3.649E+00   1.891E-01   1.264E+01   2.056E-02 
   14   5.426E+01   2.579E+01   3.658E+00               9.624E+01   2.554E-01 
   15   5.430E+01   2.578E+01   3.648E+00   1.886E-01   1.296E+01   2.105E-02 
   16   5.445E+01   2.576E+01   3.646E+00   1.882E-01   1.436E+01   2.330E-02 
   17   5.445E+01   2.579E+01   3.650E+00   1.889E-01   1.015E+01   1.672E-02 
   18   5.453E+01   2.578E+01   3.646E+00   1.882E-01   1.414E+01   2.290E-02 
   19   5.468E+01   2.579E+01   3.645E+00   1.885E-01   1.401E+01   2.273E-02 
   20   5.550E+01   2.604E+01   3.647E+00   1.893E-01   1.050E+01   1.734E-02 
   21   5.474E+01   2.580E+01   3.644E+00   1.899E-01   6.436E+00   1.061E-02 
   22   5.459E+01   2.576E+01   3.644E+00   1.888E-01   7.393E+00   1.202E-02 
   23   5.455E+01   2.574E+01   3.644E+00   1.884E-01   1.328E+01   2.155E-02 
   24   5.454E+01   2.573E+01   3.643E+00   1.884E-01   1.415E+01   2.295E-02 
   25   5.468E+01   2.574E+01   3.643E+00   1.886E-01   1.417E+01   2.299E-02 
   26   5.472E+01   2.576E+01   3.644E+00   1.891E-01   1.421E+01   2.308E-02 
   27   5.471E+01   2.580E+01   3.647E+00   1.901E-01   1.430E+01   2.329E-02 
   28   5.463E+01   2.591E+01   3.650E+00   1.906E-01   1.434E+01   2.338E-02 
   29   5.471E+01   2.601E+01   3.650E+00   1.915E-01   1.435E+01   2.351E-02 
   30   5.473E+01   2.607E+01   3.652E+00   1.927E-01   1.344E+01   2.231E-02 
   31   5.445E+01   2.607E+01   3.653E+00   1.952E-01   7.030E+00   1.169E-02 
   32   5.398E+01   2.605E+01   3.655E+00   1.986E-01   9.404E-01   1.576E-03 
   33   5.367E+01   2.602E+01                           1.633E+03   1.696E+01 
   34   5.337E+01                                       1.389E+03   1.064E+01 
   35   5.303E+01   2.675E+01                           5.214E+02   5.326E+00 
   36   5.381E+01   2.618E+01                           1.274E+03   1.321E+01 
   37   5.420E+01   2.617E+01   3.653E+00               1.369E+02   3.627E-01 
   38   5.441E+01   2.617E+01   3.652E+00   1.958E-01   4.779E+00   8.027E-03 
   39   5.475E+01   2.598E+01   3.651E+00               1.331E+02   3.525E-01 
   40   5.520E+01   2.577E+01   3.644E+00   1.911E-01   8.652E+00   1.426E-02 
   41   5.524E+01   2.574E+01   3.642E+00   1.912E-01   6.319E+00   1.041E-02 
   42   5.535E+01   2.573E+01   3.641E+00   1.922E-01   3.168E+00   5.215E-03 
   43   5.467E+01   2.573E+01   3.642E+00   1.906E-01   8.526E+00   1.418E-02 
   44   5.079E+01                                       5.099E+03   2.524E+02 
   45   5.333E+01                                       1.387E+03   1.077E+01 
   46   5.362E+01   2.821E+01                           4.776E+02   4.754E+00 
   47   5.408E+01   2.790E+01                           3.571E+02   3.578E+00 
   48   5.325E+01                                       1.077E+03   8.456E+00 
   49   2.718E+01                                       8.776E+02   1.824E+01 
   50   1.117E+02                                       1.876E+03   1.950E+01 
   51   0.000E+00                                       0.000E+00   0.000E+00
   52   0.000E+00                                       0.000E+00   0.000E+00
   53   0.000E+00                                       0.000E+00   0.000E+00
   1988.50000000000     
