 Concentration in water(filtered)-[Bq/m3], in sediment (dry)-[Bq/t]                            
Cs-137
  Initial concentrations for REGIONAL and LOCAL boxes
  Planar 
 number  1Layer      2Layer      3Layer      4Layer
                                                        sed-top    sed-mid                                                                          
    1   1.025E+00                                       2.286E+03   1.514E+01 
    2   5.585E+00                                       1.998E+03   7.260E+00 
    3   3.567E+01   1.200E+01   2.108E+00               6.072E+01   1.829E-01 
    4   5.548E+01   2.663E+01   3.675E+00   1.971E-01   1.767E+00   2.948E-03 
    5   5.721E+01   2.690E+01   3.675E+00   1.954E-01   7.882E+00   1.312E-02 
    6   5.531E+01   2.668E+01   3.678E+00               1.187E+02   3.143E-01 
    7   5.565E+01   2.670E+01   3.671E+00   1.944E-01   1.578E+01   2.633E-02 
    8   5.620E+01   2.676E+01   3.670E+00   1.936E-01   1.462E+01   2.406E-02 
    9   5.692E+01   2.685E+01   3.669E+00   1.928E-01   1.454E+01   2.389E-02 
   10   5.616E+01   2.671E+01   3.669E+00   1.922E-01   1.438E+01   2.358E-02 
   11   5.585E+01   2.663E+01   3.666E+00   1.917E-01   1.078E+01   1.764E-02 
   12   5.574E+01   2.657E+01   3.666E+00   1.914E-01   8.557E+00   1.399E-02 
   13   5.577E+01   2.652E+01   3.666E+00   1.902E-01   1.326E+01   2.177E-02 
   14   5.578E+01   2.650E+01   3.677E+00               9.642E+01   2.557E-01 
   15   5.578E+01   2.649E+01   3.666E+00   1.892E-01   1.328E+01   2.168E-02 
   16   5.589E+01   2.645E+01   3.661E+00   1.888E-01   1.418E+01   2.300E-02 
   17   5.586E+01   2.644E+01   3.663E+00   1.893E-01   9.301E+00   1.512E-02 
   18   5.595E+01   2.642E+01   3.660E+00   1.889E-01   1.419E+01   2.302E-02 
   19   5.604E+01   2.640E+01   3.657E+00   1.891E-01   1.405E+01   2.282E-02 
   20   5.579E+01   2.634E+01   3.657E+00   1.896E-01   9.698E+00   1.581E-02 
   21   5.606E+01   2.640E+01   3.655E+00   1.900E-01   6.057E+00   9.878E-03 
   22   5.610E+01   2.641E+01   3.656E+00   1.894E-01   7.409E+00   1.206E-02 
   23   5.604E+01   2.642E+01   3.657E+00   1.889E-01   1.332E+01   2.162E-02 
   24   5.599E+01   2.643E+01   3.658E+00   1.889E-01   1.419E+01   2.303E-02 
   25   5.606E+01   2.644E+01   3.661E+00   1.892E-01   1.422E+01   2.308E-02 
   26   5.621E+01   2.644E+01   3.660E+00   1.900E-01   1.429E+01   2.325E-02 
   27   5.630E+01   2.646E+01   3.661E+00   1.907E-01   1.435E+01   2.341E-02 
   28   5.631E+01   2.651E+01   3.661E+00   1.908E-01   1.435E+01   2.341E-02 
   29   5.626E+01   2.660E+01   3.662E+00   1.913E-01   1.420E+01   2.321E-02 
   30   5.620E+01   2.666E+01   3.663E+00   1.920E-01   1.337E+01   2.215E-02 
   31   5.586E+01   2.671E+01   3.665E+00   1.944E-01   7.130E+00   1.187E-02 
   32   5.543E+01   2.670E+01   3.666E+00   1.978E-01   9.354E-01   1.565E-03 
   33   5.516E+01   2.668E+01                           1.660E+03   1.696E+01 
   34   5.487E+01                                       1.441E+03   1.067E+01 
   35   5.441E+01   2.745E+01                           5.312E+02   5.333E+00 
   36   5.520E+01   2.681E+01                           1.294E+03   1.322E+01 
   37   5.572E+01   2.676E+01   3.664E+00               1.422E+02   3.765E-01 
   38   5.601E+01   2.674E+01   3.662E+00   1.964E-01   4.917E+00   8.304E-03 
   39   5.643E+01   2.653E+01   3.661E+00               1.351E+02   3.579E-01 
   40   5.678E+01   2.642E+01   3.657E+00   1.915E-01   8.300E+00   1.359E-02 
   41   5.684E+01   2.642E+01   3.656E+00   1.917E-01   6.145E+00   1.007E-02 
   42   5.690E+01   2.642E+01   3.656E+00   1.922E-01   3.166E+00   5.203E-03 
   43   5.620E+01   2.642E+01   3.656E+00   1.904E-01   8.282E+00   1.369E-02 
   44   5.184E+01                                       5.265E+03   2.520E+02 
   45   5.457E+01                                       1.428E+03   1.078E+01 
   46   5.488E+01   2.880E+01                           4.839E+02   4.751E+00 
   47   5.546E+01   2.838E+01                           3.590E+02   3.563E+00 
   48   5.449E+01                                       1.100E+03   8.458E+00 
   49   2.742E+01                                       8.843E+02   1.823E+01 
   50   1.132E+02                                       1.886E+03   1.950E+01 
   51   0.000E+00                                       0.000E+00   0.000E+00
   52   0.000E+00                                       0.000E+00   0.000E+00
   53   0.000E+00                                       0.000E+00   0.000E+00
   1988.50000000000     
