**************************************************************************** 
**************************************************************************** 
*                                                                                                                                                           *
*           B I B L I O T H E Q U E     D E S     R A D I O N U C L E I D E S                *
*                                                                                                                                                           *
*           D U     C O D E     P O S E I D O N     v2.0                                                             *
*                                                                                                                                                           *
**************************************************************************** 
**************************************************************************** 
*
* Radionucleide           Facteurs de concentration (Bq/t)/(Bq/m3) Pùriode     Kd rùgional - Kd local      Fils 1           % Fils 1      Fils 2                         Fc dose/activitù (Sv/Bq)
*                                                                                                                                                                                                                                                                                                             CIPR 72
*           CF(L/kg)  ttype   Kd Fish    Kd Crust.   Kd Moll.    Kd Algae    T05(year)  Kd regional  Kd Local                  (Bq/t)/(Bq/m3)                                                                                          Adulte               1 an               10 ans
Ru-103      1.00E+04    3    2.00E+00    1.00E+02    2.00E+03    2.00E+03    1.08E-01    2.00E+03    1.00E+04    *           0.00E+00    *           7.30E-10    4.60E-09    1.50E-09
Ru-106      1.00E+04    3    2.00E+00    1.00E+02    2.00E+03    2.00E+03    1.01E+00    2.00E+03    1.00E+04    *           0.00E+00    *           7.00E-09    4.90E-08    1.50E-08
Ag110m      1.00E+04    3    5.00E+02    5.00E+03    1.00E+04    2.00E+03    6.90E-01    1.00E+04    1.00E+03    *           0.00E+00    *           2.80E-09    1.40E-08    5.20E-09
Cd113m      3.00E+04    3    1.00E+03    1.00E+04    2.00E+04    5.00E+03    9.50E+15    5.00E+03    2.00E+03    *           0.00E+00    *           2.30E-08    5.30E-08    2.90E-08
In113m      1.00E+03    3    1.00E+03    1.00E+04    1.00E+04    5.00E+03    1.89E-04    1.00E+05    1.00E+05    *           0.00E+00    *           2.80E-11    1.80E-10    6.20E-11
Sn-113      5.00E+04    3    5.00E+04    5.00E+04    5.00E+04    2.00E+04    3.15E-01    5.00E+04    1.00E+03    In113m      1.00E+00    *           7.30E-10    5.00E-09    1.60E-09
Te123m      1.00E+03    3    1.00E+03    1.00E+03    1.00E+03    1.00E+04    3.28E-01    1.00E+03    1.00E+03    *           0.00E+00    *           1.40E-09    8.80E-09    2.80E-09
Te125m      1.00E+03    3    1.00E+03    1.00E+03    1.00E+03    1.00E+04    1.59E-01    1.00E+03    1.00E+03    *           0.00E+00    *           8.70E-10    6.30E-09    1.90E-09
Sb-124      1.00E+03    3    4.00E+02    4.00E+02    2.00E+02    4.00E+02    1.65E-01    5.00E+02    4.00E+03    *           0.00E+00    *           2.50E-09    1.60E-08    5.20E-09
Sb-125      1.00E+03    3    4.00E+02    4.00E+02    2.00E+02    4.00E+02    2.70E+00    5.00E+02    4.00E+03    Te125m      2.30E-01    *           1.10E-09    6.10E-09    2.10E-09
I--125      8.00E+02    3    1.00E+01    1.00E+01    1.00E+01    1.00E+04    1.65E-01    2.00E+02    7.00E+01    *           0.00E+00    *           1.50E-08    5.70E-08    3.10E-08
I--129      8.00E+02    3    1.00E+01    1.00E+01    1.00E+01    1.00E+04    1.60E+07    2.00E+02    7.00E+01    *           0.00E+00    *           1.10E-07    2.20E-07    1.90E-07
I--131      8.00E+02    3    1.00E+01    1.00E+01    1.00E+01    1.00E+04    2.20E-02    2.00E+02    7.00E+01    *           0.00E+00    *           2.20E-08    1.80E-07    5.20E-08
Ba-131      1.00E+02    3    1.00E+01    1.00E+00    2.00E+01    1.00E+02    3.29E-02    1.00E+04    5.00E+03    Cs-131      1.00E+00    *           4.50E-10    2.60E-09    9.40E-10
Ba-133      1.00E+02    3    1.00E+01    1.00E+00    2.00E+01    1.00E+02    1.07E+01    1.00E+04    5.00E+03    *           0.00E+00    *           1.50E-09    6.20E-09    4.60E-09
Ba-140      1.00E+02    3    1.00E+01    1.00E+00    2.00E+01    1.00E+02    3.50E-02    1.00E+04    5.00E+03    *           0.00E+00    *           2.60E-09    1.80E-08    5.80E-09
Cs-131      2.00E+01    2    1.00E+02    3.00E+01    3.00E+01    5.00E+01    2.65E-02    2.00E+03    3.00E+03    *           0.00E+00    *           5.80E-11    2.90E-10    1.00E-10
Cs-134      2.00E+01    2    1.00E+02    3.00E+01    3.00E+01    5.00E+01    2.06E+00    2.00E+03    3.00E+03    *           0.00E+00    *           1.90E-08    1.60E-08    1.40E-08
