 Concentration in water(filtered)-[Bq/m3], in sediment (dry)-[Bq/t]                            
Cs-137
  Initial concentrations for REGIONAL and LOCAL boxes
  Planar 
 number  1Layer      2Layer      3Layer      4Layer
                                                        sed-top    sed-mid                                                                          
    1   1.107E+00                                       2.267E+03   1.489E+01 
    2   2.888E+00                                       1.404E+03   5.693E+00 
    3   3.887E+01   4.529E+00   1.398E+00               3.898E+01   1.123E-01 
    4   5.516E+01   3.240E+01   3.624E+00   3.594E-01   3.254E+00   5.552E-03 
    5   5.607E+01   3.243E+01   3.619E+00   3.578E-01   1.417E+01   2.410E-02 
    6   5.559E+01   3.266E+01   3.627E+00               1.156E+02   3.137E-01 
    7   5.590E+01   3.252E+01   3.621E+00   3.574E-01   2.728E+01   4.637E-02 
    8   5.639E+01   3.238E+01   3.616E+00   3.565E-01   2.723E+01   4.620E-02 
    9   5.674E+01   3.230E+01   3.613E+00   3.557E-01   2.717E+01   4.600E-02 
   10   5.693E+01   3.218E+01   3.609E+00   3.552E-01   2.691E+01   4.552E-02 
   11   5.736E+01   3.204E+01   3.604E+00   3.545E-01   2.018E+01   3.408E-02 
   12   5.806E+01   3.182E+01   3.596E+00   3.536E-01   1.601E+01   2.699E-02 
   13   5.877E+01   3.161E+01   3.588E+00   3.527E-01   2.371E+01   3.989E-02 
   14   5.955E+01   3.140E+01   3.588E+00               9.340E+01   2.539E-01 
   15   5.971E+01   3.137E+01   3.581E+00   3.517E-01   2.420E+01   4.065E-02 
   16   6.051E+01   3.119E+01   3.573E+00   3.513E-01   2.678E+01   4.495E-02 
   17   6.071E+01   3.118E+01   3.572E+00   3.517E-01   1.753E+01   2.946E-02 
   18   6.109E+01   3.109E+01   3.568E+00   3.513E-01   2.677E+01   4.494E-02 
   19   6.160E+01   3.103E+01   3.564E+00   3.517E-01   2.650E+01   4.454E-02 
   20   6.276E+01   3.144E+01   3.565E+00   3.521E-01   1.812E+01   3.049E-02 
   21   6.173E+01   3.102E+01   3.562E+00   3.528E-01   1.140E+01   1.921E-02 
   22   6.155E+01   3.094E+01   3.563E+00   3.518E-01   1.397E+01   2.347E-02 
   23   6.139E+01   3.096E+01   3.566E+00   3.513E-01   2.513E+01   4.218E-02 
   24   6.120E+01   3.103E+01   3.570E+00   3.514E-01   2.678E+01   4.497E-02 
   25   6.116E+01   3.110E+01   3.575E+00   3.518E-01   2.681E+01   4.506E-02 
   26   6.065E+01   3.122E+01   3.581E+00   3.524E-01   2.687E+01   4.520E-02 
   27   6.003E+01   3.135E+01   3.588E+00   3.529E-01   2.692E+01   4.533E-02 
   28   5.932E+01   3.154E+01   3.594E+00   3.536E-01   2.696E+01   4.544E-02 
   29   5.864E+01   3.176E+01   3.598E+00   3.543E-01   2.665E+01   4.499E-02 
   30   5.779E+01   3.200E+01   3.603E+00   3.549E-01   2.333E+01   3.943E-02 
   31   5.671E+01   3.232E+01   3.609E+00   3.565E-01   1.261E+01   2.139E-02 
   32   5.586E+01   3.257E+01   3.613E+00   3.594E-01   1.715E+00   2.927E-03 
   33   5.543E+01   3.273E+01                           1.935E+03   1.772E+01 
   34   4.457E+01                                       1.100E+03   8.169E+00 
   35   5.284E+01   3.341E+01                           6.206E+02   5.586E+00 
   36   5.576E+01   3.267E+01                           1.507E+03   1.386E+01 
   37   5.691E+01   3.241E+01   3.602E+00               1.333E+02   3.618E-01 
   38   5.846E+01   3.201E+01   3.598E+00   3.575E-01   8.202E+00   1.395E-02 
   39   6.024E+01   3.145E+01   3.591E+00               1.287E+02   3.495E-01 
   40   6.149E+01   3.109E+01   3.581E+00   3.535E-01   1.551E+01   2.615E-02 
   41   6.220E+01   3.100E+01   3.575E+00   3.536E-01   1.145E+01   1.930E-02 
   42   6.282E+01   3.097E+01   3.570E+00   3.534E-01   5.892E+00   9.939E-03 
   43   6.166E+01   3.095E+01   3.567E+00   3.522E-01   1.421E+01   2.389E-02 
   44   4.007E+01                                       3.871E+03   1.914E+02 
   45   4.221E+01                                       1.053E+03   8.120E+00 
   46   5.120E+01   3.560E+01                           5.963E+02   5.151E+00 
   47   5.565E+01   3.401E+01                           4.154E+02   3.726E+00 
   48   4.264E+01                                       9.522E+02   7.912E+00 
   49   2.510E+01                                       8.048E+02   1.698E+01 
   50   1.424E+02                                       2.214E+03   1.935E+01 
   51   0.000E+00                                       0.000E+00   0.000E+00
   52   0.000E+00                                       0.000E+00   0.000E+00
   53   0.000E+00                                       0.000E+00   0.000E+00
   1988.50000000000     
