**********************************************************************
* Non-zero exchange coefficients between PLANAR boxes of the regional
* model for every PLANAR layer.
**********************************************************************
1						k, Number of the LAYER
178          			Non_nuls  Quantity of non-zero coefficients
N of the initial PLANAR box 	N of the terminal PLANAR box   Exchange(km3/y)
          28          27   6701.272    
          28          29   17894.32    
          28          39   3460.250    
          29          10   7428.171    
          29          28   3963.447    
          29          30   19534.30    
          29          38   4906.500    
          30           9   5932.858    
          30          29   3992.487    
          30          31   17057.22    
          30          37   9127.051    
          31           8   7575.525    
          31          30   4552.753    
          31          32   18285.39    
          31          36   10195.43    
          32           7   11855.83    
          32          31   3361.075    
          32          33   25103.65    
          32          35   2652.525    
          33           6   25103.39    
          33          32   14448.05    
          35          32   3389.831    
          35          36   2659.194    
          36          31   14621.68    
          36          35   3822.424    
          36          37   12200.56    
          37          30   6015.946    
          37          36   17693.00    
          37          38   8788.732    
          37          46   1712.869    
          38          29   9448.853    
          38          37   11015.96    
          38          39   4049.987    
          38          47   2464.024    
          39          28   7978.905    
          39          38   10902.41    
          39          40   880.3110    
          39          47   911.8005    
          40          27   6067.482    
          40          39   12085.21    
          40          41   4254.848    
          41          26   7424.832    
          41          40   14640.68    
          41          42   4169.977    
          42          25   6167.284    
          42          41   16445.02    
          42          43   4710.053    
          43          22   144.5285    
          43          23   4143.660    
          43          24   4562.478    
          43          42   15919.57    
          46          37   1866.976    
          46          47   2401.218    
          47          38   2381.183    
          47          39   1077.974    
          47          46   2367.624    
_____________________________________________________________________
3						k, Number of the  LAYER
126 						Non_nuls  Quantity of non-zero coefficients
N of the initial PLANAR box 	N of the terminal PLANAR box   Exchange(km3/y)
           4           5   52843.50    
           4           6   23792.36    
           4           7   15554.14    
           5           4   14710.75    
           5           8   27421.14    
           5           9   37161.44    
           5          10   32330.80    
           5          11   1122.136    
           6           4   31368.78    
           6           7   75786.55    
           7           4   46110.48    
           7           6   83362.97    
           7           8   37637.33    
           7          32   14127.37    
           8           5   27999.45    
           8           7   53627.74    
           8           9   36840.14    
           8          31   24284.96    
           9           5   17828.82    
           9           8   46970.38    
           9          10   50038.95    
           9          30   25552.76    
          10           5   13507.36    
          10           9   37086.77    
          10          11   75696.95    
          10          29   20048.45    
          11           5   567.1228    
          11          10   25713.79    
          11          12   58516.39    
          11          28   39675.19    
          12          11   20545.31    
          12          13   59123.32    
          12          27   36056.24    
          13          12   21775.03    
          13          14   20588.59    
          13          15   47326.29    
          13          26   37078.09    
          14          13   14119.24    
          14          15   36490.71    
          14          17   34676.94    
          15          13   28714.56    
          15          14   46944.04    
          15          16   49535.18    
          15          25   29032.01    
          16          15   40232.03    
          16          17   27880.66    
          16          18   48065.21    
          16          24   34754.77    
          17          14   17754.26    
          17          16   37217.23    
          17          18   29631.04    
          17          20   44866.68    
          18          16   34438.62    
          18          17   33967.38    
          18          19   38999.24    
          18          23   36208.43    
          19          18   41126.22    
          19          20   35477.85    
          19          21   29770.50    
          19          22   30393.53    
          20          17   32944.22    
          20          19   29445.11    
          20          21   56646.55    
          21          19   44482.88    
          21          20   38691.35    
          21          22   8512.824    
          22          19   23840.87    
          22          21   5270.005    
          22          23   38063.04    
          23          18   24791.21    
          23          22   28267.56    
          23          24   44217.22    
          23          43   24963.19    
          24          16   29741.64    
          24          23   32533.81    
          24          25   42171.57    
          24          43   30884.52    
          25          15   30176.75    
          25          24   37268.54    
          25          26   39322.21    
          25          42   26073.00    
          26          13   24810.88    
          26          25   39071.47    
          26          27   54030.00    
          26          41   22609.06    
          27          12   35433.46    
          27          26   34616.18    
          27          28   45011.74    
          27          40   39545.75    
          28          11   27108.09    
          28          27   42660.09    
          28          29   61770.61    
          28          39   38422.29    
          29          10   38255.98    
          29          28   26958.06    
          29          30   63134.54    
          29          38   18525.38    
          30           9   29302.57    
          30          29   26007.73    
          30          31   54178.05    
          30          37   49182.73    
          31           8   30723.44    
          31          30   25597.21    
          31          32   40437.06    
          32           7   36269.72    
          32          31   18294.71    
          37          30   44386.57    
          37          38   58071.96    
          38          29   39047.18    
          38          37   53275.80    
          38          39   26340.21    
          39          28   58316.09    
          39          38   42065.84    
          39          40   6844.933    
          40          27   21860.81    
          40          39   42464.36    
          40          41   20358.66    
          41          26   29504.92    
          41          40   38293.14    
          41          42   15327.34    
          42          25   22565.46    
          42          41   40157.68    
          42          43   19066.52    
          43          23   15433.89    
          43          24   19091.02    
          43          42   40389.32    
_____________________________________________________________________
4						k, Number of the  LAYER
104 						Non_nuls  Quantity of non-zero coefficients
N of the initial PLANAR box 	N of the terminal PLANAR box   Exchange(km3/y)
           4           5   74677.22    
           4           7   48920.08    
           5           4   31192.62    
           5           8   57555.26    
           5           9   53336.75    
           5          10   63551.77    
           7           4   92404.67    
           7           8   111893.2    
           7          32   28894.14    
           8           5   64096.40    
           8           7   135516.5    
           8           9   102403.9    
           8          31   29502.32    
           9           5   49946.70    
           9           8   109854.8    
           9          10   114031.2    
           9          30   50161.00    
          10           5   16916.09    
          10           9   115355.7    
          10          11   181314.5    
          10          29   45617.63    
          11          10   87752.86    
          11          12   98134.07    
          11          28   121257.6    
          12          11   71325.30    
          12          13   131784.2    
          12          27   70402.38    
          13          12   49855.34    
          13          15   100982.8    
          13          26   104864.5    
          15          13   59369.04    
          15          16   132421.5    
          15          25   105232.7    
          16          15   113553.8    
          16          17   72608.05    
          16          18   119244.5    
          16          24   82785.91    
          17          16   68278.10    
          17          18   79273.61    
          17          20   81703.01    
          18          16   80047.16    
          18          17   75785.41    
          18          19   107294.6    
          18          23   106217.2    
          19          18   94802.20    
          19          20   86658.82    
          19          21   54959.46    
          19          22   87721.31    
          20          17   80861.26    
          20          19   75969.27    
          20          21   68957.86    
          21          19   67489.43    
          21          20   57426.55    
          21          22   2488.981    
          22          19   73388.52    
          22          21   3487.639    
          22          23   76514.54    
          23          18   76024.08    
          23          22   63180.40    
          23          24   105299.0    
          23          43   42145.59    
          24          16   107445.5    
          24          23   86482.66    
          24          25   119181.2    
          24          43   56853.95    
          25          15   82486.58    
          25          24   133399.7    
          25          26   103333.9    
          25          42   40044.48    
          26          13   64549.45    
          26          25   90954.93    
          26          27   134377.5    
          26          41   59270.95    
          27          12   125522.4    
          27          26   84818.02    
          27          28   125042.9    
          27          40   43681.92    
          28          11   54504.79    
          28          27   98234.05    
          28          29   149420.9    
          29          10   93868.08    
          29          28   55859.24    
          29          30   112530.0    
          29          38   35186.81    
          30           9   52897.40    
          30          29   67218.84    
          30          31   83842.77    
          31           8   52215.80    
          31          30   41267.97    
          31          32   41770.08    
          32           7   48755.47    
          32          31   21908.75    
          38          29   35186.81    
          40          27   76051.30    
          40          41   43183.30    
          41          26   56136.40    
          41          40   75552.69    
          41          42   22152.31    
          42          25   43895.78    
          42          41   51387.14    
          42          43   30657.75    
          43          23   17434.64    
          43          24   48478.77    
          43          42   63743.87    
_____________________________________________________________________

