 Concentration in water(filtered)-[Bq/m3], in sediment (dry)-[Bq/t]                            
Cs-137
  Initial concentrations for REGIONAL and LOCAL boxes
  Planar 
 number  1Layer      2Layer      3Layer      4Layer
                                                        sed-top    sed-mid                                                                          
    1   1.027E+00                                       3.363E+03   1.517E+01 
    2   6.133E+00                                       2.763E+03   7.253E+00 
    3   3.729E+01   1.182E+01   2.042E+00               8.711E+01   1.829E-01 
    4   5.807E+01   2.538E+01   3.610E+00   1.971E-01   2.451E+00   3.007E-03 
    5   5.792E+01   2.534E+01   3.607E+00   1.943E-01   1.182E+01   1.444E-02 
    6   5.789E+01   2.545E+01   3.615E+00               1.658E+02   3.144E-01 
    7   5.750E+01   2.535E+01   3.607E+00   1.933E-01   2.338E+01   2.851E-02 
    8   5.717E+01   2.525E+01   3.603E+00   1.918E-01   2.127E+01   2.571E-02 
    9   5.722E+01   2.522E+01   3.603E+00   1.909E-01   2.023E+01   2.430E-02 
   10   5.763E+01   2.526E+01   3.601E+00   1.898E-01   1.963E+01   2.348E-02 
   11   5.818E+01   2.531E+01   3.601E+00   1.892E-01   1.468E+01   1.754E-02 
   12   5.852E+01   2.531E+01   3.598E+00   1.882E-01   1.161E+01   1.383E-02 
   13   5.877E+01   2.526E+01   3.596E+00   1.867E-01   1.725E+01   2.047E-02 
   14   5.888E+01   2.522E+01   3.605E+00               1.345E+02   2.553E-01 
   15   5.892E+01   2.521E+01   3.595E+00   1.862E-01   1.768E+01   2.096E-02 
   16   5.899E+01   2.515E+01   3.592E+00   1.858E-01   1.960E+01   2.320E-02 
   17   5.896E+01   2.517E+01   3.596E+00   1.865E-01   1.394E+01   1.665E-02 
   18   5.900E+01   2.514E+01   3.593E+00   1.858E-01   1.927E+01   2.280E-02 
   19   5.903E+01   2.512E+01   3.592E+00   1.861E-01   1.910E+01   2.263E-02 
   20   5.902E+01   2.513E+01   3.592E+00   1.869E-01   1.442E+01   1.726E-02 
   21   5.904E+01   2.512E+01   3.591E+00   1.875E-01   8.817E+00   1.056E-02 
   22   5.905E+01   2.511E+01   3.591E+00   1.864E-01   1.008E+01   1.197E-02 
   23   5.904E+01   2.511E+01   3.590E+00   1.860E-01   1.811E+01   2.145E-02 
   24   5.905E+01   2.511E+01   3.590E+00   1.860E-01   1.929E+01   2.285E-02 
   25   5.923E+01   2.514E+01   3.590E+00   1.862E-01   1.932E+01   2.289E-02 
   26   5.929E+01   2.517E+01   3.591E+00   1.867E-01   1.938E+01   2.298E-02 
   27   5.918E+01   2.522E+01   3.594E+00   1.877E-01   1.950E+01   2.319E-02 
   28   5.815E+01   2.515E+01   3.596E+00   1.882E-01   1.956E+01   2.328E-02 
   29   5.761E+01   2.518E+01   3.597E+00   1.891E-01   1.959E+01   2.341E-02 
   30   5.567E+01   2.491E+01   3.598E+00   1.902E-01   1.844E+01   2.221E-02 
   31   5.534E+01   2.498E+01   3.599E+00   1.927E-01   9.615E+00   1.164E-02 
   32   5.683E+01   2.531E+01   3.602E+00   1.961E-01   1.284E+00   1.569E-03 
   33   5.754E+01   2.545E+01                           2.217E+03   1.699E+01 
   34   5.678E+01                                       1.927E+03   1.064E+01 
   35   5.630E+01   2.624E+01                           7.087E+02   5.334E+00 
   36   5.647E+01   2.543E+01                           1.729E+03   1.323E+01 
   37   5.697E+01   2.542E+01   3.600E+00               1.913E+02   3.625E-01 
   38   5.843E+01   2.561E+01   3.599E+00   1.933E-01   6.558E+00   7.994E-03 
   39   5.909E+01   2.542E+01   3.598E+00               1.861E+02   3.523E-01 
   40   5.990E+01   2.521E+01   3.591E+00   1.886E-01   1.184E+01   1.420E-02 
   41   5.989E+01   2.514E+01   3.588E+00   1.887E-01   8.641E+00   1.036E-02 
   42   5.997E+01   2.512E+01   3.588E+00   1.897E-01   4.322E+00   5.192E-03 
   43   5.921E+01   2.510E+01   3.588E+00   1.881E-01   1.173E+01   1.412E-02 
   44   5.407E+01                                       7.039E+03   2.524E+02 
   45   5.679E+01                                       1.920E+03   1.077E+01 
   46   5.739E+01   2.798E+01                           6.496E+02   4.761E+00 
   47   5.822E+01   2.767E+01                           4.856E+02   3.583E+00 
   48   5.719E+01                                       1.489E+03   8.458E+00 
   49   2.663E+01                                       1.219E+03   1.826E+01 
   50   1.209E+02                                       2.614E+03   1.953E+01 
   51   0.000E+00                                       0.000E+00   0.000E+00
   52   0.000E+00                                       0.000E+00   0.000E+00
   53   0.000E+00                                       0.000E+00   0.000E+00
   1988.25000000000     
