 interval        deposition(Bq/year)
          30    Nmsr
           1    Nboxprec
           2    reltp
          48           1    NumPlan   NumVert
           0.25  1.0550795E+09
           1  1.2058051E+09
           1  1.1185430E+09
           1  1.1582075E+09
           1  1.3565308E+09
           1  1.0947441E+09
           1  8.1709165E+08
           1  7.6156109E+08
           1  5.3150621E+08
           1  7.6156109E+08
           1  7.1396358E+08
           1  6.9698528E+08
           1  6.8041082E+08
           1  6.6423040E+08
           1  6.4843482E+08
           1  6.3301485E+08
           1  6.1796154E+08
           1  6.0326630E+08
           1  5.8892038E+08
           1  5.7491571E+08
           1  5.6124403E+08
           1  5.4789754E+08
           1  5.3486835E+08
           1  5.2214906E+08
           1  5.0973213E+08
           1  4.9761056E+08
           1  4.8577725E+08
           1  4.7422531E+08
           1  4.6294810E+08
           1  4.5193907E+08
