individual	consumption	of	fish	for	REGIONAL	boxes	(kg/yr)
Nbox	fish	mollusks	crustaceans	algae			
1	10.5	2.1	2.1	1.3			
2	10.5	2.1	2.1	1.3			
3	10.5	2.1	2.1	1.3			
4	10.5	2.1	2.1	1.3			
5	10.5	2.1	2.1	1.3			
6	10.5	2.1	2.1	1.3			
7	10.5	2.1	2.1	1.3			
8	10.5	2.1	2.1	1.3			
9	10.5	2.1	2.1	1.3			
10	10.5	2.1	2.1	1.3			
11	10.5	2.1	2.1	1.3			
12	10.5	2.1	2.1	1.3			
13	10.5	2.1	2.1	1.3			
14	10.5	2.1	2.1	1.3			
15	10.5	2.1	2.1	1.3
16	10.5	2.1	2.1	1.3
17	10.5	2.1	2.1	1.3
18	10.5	2.1	2.1	1.3
19	10.5	2.1	2.1	1.3
20	10.5	2.1	2.1	1.3
21	10.5	2.1	2.1	1.3
22	10.5	2.1	2.1	1.3
23	10.5	2.1	2.1	1.3
24	10.5	2.1	2.1	1.3
25	10.5	2.1	2.1	1.3
26	10.5	2.1	2.1	1.3
27	10.5	2.1	2.1	1.3
28	10.5	2.1	2.1	1.3
29	10.5	2.1	2.1	1.3
30	10.5	2.1	2.1	1.3
31	10.5	2.1	2.1	1.3
32	10.5	2.1	2.1	1.3
33	10.5	2.1	2.1	1.3
34	10.5	2.1	2.1	1.3
35	10.5	2.1	2.1	1.3
36	10.5	2.1	2.1	1.3
37	10.5	2.1	2.1	1.3
38	10.5	2.1	2.1	1.3
39	10.5	2.1	2.1	1.3
40	10.5	2.1	2.1	1.3
41	10.5	2.1	2.1	1.3
42	10.5	2.1	2.1	1.3
43	10.5	2.1	2.1	1.3
44	10.5	2.1	2.1	1.3
45	10.5	2.1	2.1	1.3
46	10.5	2.1	2.1	1.3
47	10.5	2.1	2.1	1.3
48	10.5	2.1	2.1	1.3
49	10.5	2.1	2.1	1.3
50	10.5	2.1	2.1	1.3
51	10.5	2.1	2.1	1.3
52	10.5	2.1	2.1	1.3
53	10.5	2.1	2.1	1.3
