 interval        deposition(Bq/year)
          33    Nmsr
           1    Nboxprec
           2    reltp
          18           1    NumPlan   NumVert
           0.5  1.8879889E+09 
           1  1.8601089E+09
           1  1.8327543E+09
           1  1.8190770E+09
           1  2.0789450E+09
           1  1.9284952E+09
           1  1.9968814E+09
           1  2.3388134E+09
           1  1.8874632E+09
           1  1.4087589E+09
           1  1.3130179E+09
           1  9.1637715E+08
           1  1.3130179E+09
           1  1.2309544E+09
           1  1.2016818E+09
           1  1.1731057E+09
           1  1.1452087E+09
           1  1.1179754E+09
           1  1.0913896E+09
           1  1.0654359E+09
           1  1.0400996E+09
           1  1.0153657E+09
           1  9.9122003E+08
           1  9.6764851E+08
           1  9.4463757E+08
           1  9.2217382E+08
           1  9.0024429E+08
           1  8.7883616E+08
           1  8.5793722E+08
           1  8.3753523E+08
           1  8.1761837E+08
           1  7.9817517E+08
           1  7.7919430E+08
