 Concentration in water(filtered)-[Bq/m3], in sediment (dry)-[Bq/t]                            
Cs-137
  Initial concentrations for REGIONAL and LOCAL boxes
  Planar 
 number  1Layer      2Layer      3Layer      4Layer
                                                        sed-top    sed-mid                                                                          
    1   9.974E-01                                       6.935E+03   1.508E+01 
    2   1.145E+01                                       3.257E+03   7.106E+00 
    3   8.141E+01   6.444E+00   1.751E+00               1.657E+02   1.789E-01 
    4   2.006E+02   2.004E+01   3.386E+00   1.818E-01   3.647E+00   2.784E-03 
    5   1.735E+02   1.909E+01   3.384E+00   1.802E-01   1.641E+01   1.238E-02 
    6   1.640E+02   1.877E+01   3.389E+00               2.854E+02   3.064E-01 
    7   1.642E+02   1.890E+01   3.384E+00   1.793E-01   3.334E+01   2.483E-02 
    8   1.480E+02   1.811E+01   3.382E+00   1.785E-01   3.004E+01   2.270E-02 
    9   1.565E+02   1.833E+01   3.381E+00   1.778E-01   2.988E+01   2.253E-02 
   10   1.617E+02   1.848E+01   3.380E+00   1.773E-01   2.953E+01   2.223E-02 
   11   1.651E+02   1.843E+01   3.379E+00   1.768E-01   2.211E+01   1.662E-02 
   12   1.415E+02   1.738E+01   3.378E+00   1.765E-01   1.755E+01   1.319E-02 
   13   1.079E+02   1.571E+01   3.376E+00   1.753E-01   2.768E+01   2.050E-02 
   14   1.320E+02   1.639E+01   3.382E+00               2.321E+02   2.494E-01 
   15   1.258E+02   1.615E+01   3.376E+00   1.743E-01   2.753E+01   2.042E-02 
   16   1.254E+02   1.548E+01   3.371E+00   1.739E-01   2.900E+01   2.167E-02 
   17   1.162E+02   1.523E+01   3.371E+00   1.744E-01   1.904E+01   1.425E-02 
   18   1.243E+02   1.526E+01   3.370E+00   1.740E-01   2.902E+01   2.169E-02 
   19   1.238E+02   1.500E+01   3.367E+00   1.742E-01   2.875E+01   2.150E-02 
   20   1.301E+02   1.525E+01   3.368E+00   1.747E-01   1.991E+01   1.490E-02 
   21   1.279E+02   1.505E+01   3.367E+00   1.750E-01   1.241E+01   9.309E-03 
   22   1.208E+02   1.485E+01   3.367E+00   1.744E-01   1.517E+01   1.136E-02 
   23   1.169E+02   1.483E+01   3.368E+00   1.740E-01   2.726E+01   2.036E-02 
   24   1.164E+02   1.497E+01   3.368E+00   1.741E-01   2.904E+01   2.170E-02 
   25   1.191E+02   1.540E+01   3.371E+00   1.743E-01   2.910E+01   2.175E-02 
   26   1.160E+02   1.517E+01   3.370E+00   1.751E-01   2.926E+01   2.191E-02 
   27   1.261E+02   1.569E+01   3.372E+00   1.757E-01   2.941E+01   2.206E-02 
   28   1.234E+02   1.579E+01   3.373E+00   1.758E-01   2.941E+01   2.206E-02 
   29   1.332E+02   1.663E+01   3.374E+00   1.764E-01   2.913E+01   2.188E-02 
   30   1.327E+02   1.698E+01   3.378E+00   1.771E-01   2.818E+01   2.087E-02 
   31   1.479E+02   1.816E+01   3.380E+00   1.792E-01   1.493E+01   1.119E-02 
   32   1.720E+02   1.938E+01   3.382E+00   1.824E-01   1.932E+00   1.478E-03 
   33   1.776E+02   1.937E+01                           3.478E+03   1.697E+01 
   34   1.654E+02                                       2.488E+03   1.053E+01 
   35   1.609E+02   2.321E+01                           1.102E+03   5.330E+00 
   36   1.500E+02   1.888E+01                           2.710E+03   1.323E+01 
   37   1.383E+02   1.804E+01   3.380E+00               3.462E+02   3.670E-01 
   38   1.355E+02   1.749E+01   3.376E+00   1.811E-01   1.050E+01   7.836E-03 
   39   1.435E+02   1.635E+01   3.373E+00               3.274E+02   3.488E-01 
   40   1.453E+02   1.574E+01   3.368E+00   1.765E-01   1.702E+01   1.281E-02 
   41   1.270E+02   1.512E+01   3.367E+00   1.767E-01   1.262E+01   9.500E-03 
   42   1.175E+02   1.484E+01   3.367E+00   1.771E-01   6.501E+00   4.907E-03 
   43   1.012E+02   1.424E+01   3.366E+00   1.754E-01   1.754E+01   1.290E-02 
   44   1.244E+02                                       9.184E+03   2.488E+02 
   45   1.394E+02                                       2.576E+03   1.065E+01 
   46   1.314E+02   2.867E+01                           9.777E+02   4.746E+00 
   47   1.072E+02   2.333E+01                           7.301E+02   3.561E+00 
   48   1.126E+02                                       1.945E+03   8.368E+00 
   49   8.057E+01                                       2.202E+03   1.804E+01 
   50   2.054E+02                                       3.447E+03   1.952E+01 
   51   0.000E+00                                       0.000E+00   0.000E+00
   52   0.000E+00                                       0.000E+00   0.000E+00
   53   0.000E+00                                       0.000E+00   0.000E+00
   1986.75000000000     
