 interval        deposition(Bq/year)
          32    Nmsr
           1    Nboxprec
           2    reltp
          24           1    NumPlan   NumVert
           0.5  1.8300636E+09
           1  1.8031508E+09
           1  1.7896943E+09
           1  2.0453650E+09
           1  1.8973453E+09
           1  1.9646269E+09
           1  2.3010358E+09
           1  1.8569761E+09
           1  1.3860041E+09
           1  1.2918094E+09
           1  9.0157542E+08
           1  1.2918094E+09
           1  1.2110715E+09
           1  1.1822717E+09
           1  1.1541571E+09
           1  1.1267108E+09
           1  1.0999173E+09
           1  1.0737609E+09
           1  1.0482265E+09
           1  1.0232995E+09
           1  9.9896506E+08
           1  9.7520941E+08
           1  9.5201862E+08
           1  9.2937939E+08
           1  9.0727846E+08
           1  8.8570317E+08
           1  8.6464077E+08
           1  8.4407942E+08
           1  8.2400698E+08
           1  8.0441184E+08
           1  7.8528269E+08
           1  7.6660845E+08
