 interval        deposition(Bq/year)
          32    Nmsr
           1    Nboxprec
           2    reltp
          31           1    NumPlan   NumVert
           0.25  1.8300634E+09
           1  1.8031506E+09
           1  1.7896942E+09
           1  2.0453647E+09
           1  1.8973450E+09
           1  1.9646267E+09
           1  2.3010355E+09
           1  1.8569759E+09
           1  1.3860038E+09
           1  1.2918093E+09
           1  9.0157530E+08
           1  1.2918093E+09
           1  1.2110714E+09
           1  1.1822716E+09
           1  1.1541569E+09
           1  1.1267107E+09
           1  1.0999172E+09
           1  1.0737608E+09
           1  1.0482264E+09
           1  1.0232994E+09
           1  9.9896493E+08
           1  9.7520928E+08
           1  9.5201850E+08
           1  9.2937926E+08
           1  9.0727840E+08
           1  8.8570304E+08
           1  8.6464070E+08
           1  8.4407930E+08
           1  8.2400685E+08
           1  8.0441171E+08
           1  7.8528256E+08
           1  7.6660832E+08
