 interval        deposition(Bq/year)
          32    Nmsr
           1    Nboxprec
           2    reltp
          43           1    NumPlan   NumVert
           0.25  1.8345553E+09
           1  1.8075764E+09
           1  1.7940870E+09
           1  2.0503850E+09
           1  1.9020020E+09
           1  1.9694490E+09
           1  2.3066834E+09
           1  1.8615338E+09
           1  1.3894058E+09
           1  1.2949801E+09
           1  9.0378822E+08
           1  1.2949801E+09
           1  1.2140439E+09
           1  1.1851735E+09
           1  1.1569898E+09
           1  1.1294762E+09
           1  1.1026170E+09
           1  1.0763963E+09
           1  1.0507992E+09
           1  1.0258111E+09
           1  1.0014169E+09
           1  9.7760294E+08
           1  9.5435526E+08
           1  9.3166048E+08
           1  9.0950528E+08
           1  8.8787706E+08
           1  8.6676294E+08
           1  8.4615110E+08
           1  8.2602938E+08
           1  8.0638618E+08
           1  7.8721005E+08
           1  7.6848998E+08
