 Concentration in water(filtered)-[Bq/m3], in sediment (dry)-[Bq/t]                            
Cs-137
  Initial concentrations for REGIONAL and LOCAL boxes
  Planar 
 number  1Layer      2Layer      3Layer      4Layer
                                                        sed-top    sed-mid                                                                          
    1   1.023E+00                                       4.749E+03   1.518E+01 
    2   8.509E+00                                       3.148E+03   7.190E+00 
    3   7.142E+01   1.320E+01   1.911E+00               1.172E+02   1.818E-01 
    4   1.032E+02   2.891E+01   3.540E+00   1.853E-01   2.808E+00   2.792E-03 
    5   1.015E+02   2.859E+01   3.537E+00   1.844E-01   1.222E+01   1.211E-02 
    6   1.005E+02   2.888E+01   3.544E+00               2.107E+02   3.114E-01 
    7   1.014E+02   2.891E+01   3.539E+00   1.841E-01   2.351E+01   2.328E-02 
    8   9.978E+01   2.857E+01   3.534E+00   1.836E-01   2.346E+01   2.318E-02 
    9   9.568E+01   2.796E+01   3.531E+00   1.832E-01   2.339E+01   2.307E-02 
   10   9.673E+01   2.787E+01   3.530E+00   1.830E-01   2.317E+01   2.286E-02 
   11   1.014E+02   2.814E+01   3.528E+00   1.828E-01   1.739E+01   1.715E-02 
   12   9.773E+01   2.747E+01   3.524E+00   1.824E-01   1.380E+01   1.359E-02 
   13   9.638E+01   2.691E+01   3.517E+00   1.818E-01   2.042E+01   2.006E-02 
   14   1.025E+02   2.743E+01   3.523E+00               1.710E+02   2.529E-01 
   15   9.119E+01   2.598E+01   3.513E+00   1.815E-01   2.086E+01   2.048E-02 
   16   9.182E+01   2.572E+01   3.509E+00   1.813E-01   2.307E+01   2.264E-02 
   17   1.023E+02   2.711E+01   3.512E+00   1.815E-01   1.511E+01   1.484E-02 
   18   9.657E+01   2.620E+01   3.508E+00   1.813E-01   2.307E+01   2.264E-02 
   19   9.669E+01   2.614E+01   3.507E+00   1.814E-01   2.284E+01   2.242E-02 
   20   1.003E+02   2.665E+01   3.507E+00   1.818E-01   1.563E+01   1.536E-02 
   21   1.026E+02   2.686E+01   3.507E+00   1.822E-01   9.838E+00   9.688E-03 
   22   9.404E+01   2.575E+01   3.505E+00   1.816E-01   1.204E+01   1.182E-02 
   23   9.173E+01   2.546E+01   3.506E+00   1.813E-01   2.167E+01   2.126E-02 
   24   9.036E+01   2.533E+01   3.507E+00   1.814E-01   2.309E+01   2.265E-02 
   25   8.965E+01   2.537E+01   3.509E+00   1.816E-01   2.312E+01   2.270E-02 
   26   9.537E+01   2.630E+01   3.513E+00   1.819E-01   2.317E+01   2.277E-02 
   27   9.848E+01   2.699E+01   3.519E+00   1.822E-01   2.322E+01   2.284E-02 
   28   9.711E+01   2.718E+01   3.521E+00   1.823E-01   2.323E+01   2.286E-02 
   29   9.612E+01   2.749E+01   3.522E+00   1.826E-01   2.294E+01   2.260E-02 
   30   9.273E+01   2.766E+01   3.524E+00   1.828E-01   2.008E+01   1.979E-02 
   31   8.648E+01   2.763E+01   3.526E+00   1.837E-01   1.086E+01   1.074E-02 
   32   8.902E+01   2.826E+01   3.530E+00   1.856E-01   1.484E+00   1.477E-03 
   33   9.511E+01   2.881E+01                           2.796E+03   1.702E+01 
   34   7.682E+01                                       2.831E+03   1.069E+01 
   35   7.891E+01   3.097E+01                           9.009E+02   5.341E+00 
   36   8.120E+01   2.876E+01                           2.174E+03   1.325E+01 
   37   8.936E+01   2.853E+01   3.522E+00               2.433E+02   3.594E-01 
   38   8.812E+01   2.728E+01   3.520E+00   1.837E-01   7.045E+00   6.969E-03 
   39   9.547E+01   2.699E+01   3.519E+00               2.354E+02   3.478E-01 
   40   9.938E+01   2.672E+01   3.514E+00   1.824E-01   1.337E+01   1.316E-02 
   41   9.708E+01   2.622E+01   3.509E+00   1.823E-01   9.860E+00   9.706E-03 
   42   9.325E+01   2.561E+01   3.506E+00   1.822E-01   5.077E+00   4.995E-03 
   43   9.246E+01   2.552E+01   3.506E+00   1.817E-01   1.224E+01   1.201E-02 
   44   4.962E+01                                       1.016E+04   2.528E+02 
   45   5.146E+01                                       2.782E+03   1.077E+01 
   46   7.631E+01   3.634E+01                           8.389E+02   4.781E+00 
   47   8.856E+01   3.248E+01                           6.096E+02   3.559E+00 
   48   7.695E+01                                       2.153E+03   8.464E+00 
   49   2.709E+01                                       1.772E+03   1.824E+01 
   50   8.342E+01                                       2.347E+03   1.946E+01 
   51   0.000E+00                                       0.000E+00   0.000E+00
   52   0.000E+00                                       0.000E+00   0.000E+00
   53   0.000E+00                                       0.000E+00   0.000E+00
   1987.50000000000     
