 Concentration in water(filtered)-[Bq/m3], in sediment (dry)-[Bq/t]                            
Cs-137
  Initial concentrations for REGIONAL and LOCAL boxes
  Planar 
 number  1Layer      2Layer      3Layer      4Layer
                                                        sed-top    sed-mid                                                                          
    1   1.027E+00                                       3.363E+03   1.517E+01 
    2   6.147E+00                                       2.765E+03   7.253E+00 
    3   3.809E+01   1.198E+01   2.045E+00               8.711E+01   1.829E-01 
    4   5.908E+01   2.582E+01   3.615E+00   1.916E-01   2.367E+00   2.854E-03 
    5   5.904E+01   2.580E+01   3.613E+00   1.907E-01   1.030E+01   1.238E-02 
    6   5.895E+01   2.587E+01   3.619E+00               1.657E+02   3.140E-01 
    7   5.878E+01   2.584E+01   3.615E+00   1.904E-01   1.983E+01   2.380E-02 
    8   5.874E+01   2.579E+01   3.612E+00   1.899E-01   1.979E+01   2.370E-02 
    9   5.884E+01   2.575E+01   3.610E+00   1.895E-01   1.973E+01   2.359E-02 
   10   5.883E+01   2.571E+01   3.609E+00   1.893E-01   1.955E+01   2.337E-02 
   11   5.889E+01   2.568E+01   3.608E+00   1.891E-01   1.467E+01   1.754E-02 
   12   5.897E+01   2.564E+01   3.606E+00   1.887E-01   1.165E+01   1.390E-02 
   13   5.912E+01   2.556E+01   3.603E+00   1.881E-01   1.724E+01   2.051E-02 
   14   5.945E+01   2.559E+01   3.609E+00               1.346E+02   2.550E-01 
   15   5.935E+01   2.555E+01   3.603E+00   1.878E-01   1.761E+01   2.094E-02 
   16   5.951E+01   2.551E+01   3.600E+00   1.876E-01   1.948E+01   2.315E-02 
   17   5.958E+01   2.555E+01   3.602E+00   1.878E-01   1.276E+01   1.518E-02 
   18   5.959E+01   2.550E+01   3.600E+00   1.876E-01   1.948E+01   2.315E-02 
   19   5.963E+01   2.549E+01   3.599E+00   1.877E-01   1.928E+01   2.293E-02 
   20   5.964E+01   2.551E+01   3.599E+00   1.880E-01   1.320E+01   1.571E-02 
   21   5.965E+01   2.550E+01   3.598E+00   1.885E-01   8.304E+00   9.906E-03 
   22   5.964E+01   2.548E+01   3.598E+00   1.878E-01   1.016E+01   1.209E-02 
   23   5.957E+01   2.547E+01   3.599E+00   1.876E-01   1.830E+01   2.174E-02 
   24   5.948E+01   2.545E+01   3.599E+00   1.876E-01   1.950E+01   2.316E-02 
   25   5.940E+01   2.542E+01   3.600E+00   1.878E-01   1.952E+01   2.321E-02 
   26   5.902E+01   2.535E+01   3.601E+00   1.881E-01   1.956E+01   2.329E-02 
   27   5.821E+01   2.523E+01   3.603E+00   1.885E-01   1.960E+01   2.336E-02 
   28   5.816E+01   2.533E+01   3.604E+00   1.886E-01   1.961E+01   2.338E-02 
   29   5.879E+01   2.557E+01   3.605E+00   1.888E-01   1.936E+01   2.311E-02 
   30   5.857E+01   2.566E+01   3.607E+00   1.891E-01   1.694E+01   2.024E-02 
   31   5.768E+01   2.565E+01   3.608E+00   1.899E-01   9.160E+00   1.098E-02 
   32   5.822E+01   2.581E+01   3.610E+00   1.920E-01   1.251E+00   1.510E-03 
   33   5.864E+01   2.587E+01                           2.239E+03   1.698E+01 
   34   5.786E+01                                       1.970E+03   1.068E+01 
   35   5.724E+01   2.663E+01                           7.153E+02   5.331E+00 
   36   5.687E+01   2.573E+01                           1.740E+03   1.322E+01 
   37   5.824E+01   2.579E+01   3.607E+00               1.914E+02   3.624E-01 
   38   5.790E+01   2.557E+01   3.605E+00   1.900E-01   5.942E+00   7.125E-03 
   39   5.862E+01   2.541E+01   3.604E+00               1.851E+02   3.507E-01 
   40   5.865E+01   2.515E+01   3.601E+00   1.886E-01   1.128E+01   1.346E-02 
   41   5.956E+01   2.532E+01   3.600E+00   1.886E-01   8.322E+00   9.925E-03 
   42   6.008E+01   2.539E+01   3.599E+00   1.885E-01   4.284E+00   5.108E-03 
   43   5.965E+01   2.544E+01   3.598E+00   1.880E-01   1.033E+01   1.228E-02 
   44   5.469E+01                                       7.187E+03   2.529E+02 
   45   5.708E+01                                       1.945E+03   1.076E+01 
   46   5.773E+01   2.843E+01                           6.576E+02   4.772E+00 
   47   5.848E+01   2.758E+01                           4.816E+02   3.551E+00 
   48   5.757E+01                                       1.501E+03   8.449E+00 
   49   2.673E+01                                       1.223E+03   1.825E+01 
   50   1.222E+02                                       2.626E+03   1.951E+01 
   51   0.000E+00                                       0.000E+00   0.000E+00
   52   0.000E+00                                       0.000E+00   0.000E+00
   53   0.000E+00                                       0.000E+00   0.000E+00
   1988.25000000000     
