 interval        deposition(Bq/year)
          29    Nmsr
           1    Nboxprec
           2    reltp
          20           1    NumPlan   NumVert
           0.25  4.9635062E+09
           1  4.6043054E+09
           1  4.7675786E+09
           1  5.5839447E+09
           1  4.5063409E+09
           1  3.3634289E+09
           1  3.1348460E+09
           1  2.1878615E+09
           1  3.1348460E+09
           1  2.9389184E+09
           1  2.8690299E+09
           1  2.8008038E+09
           1  2.7341996E+09
           1  2.6691796E+09
           1  2.6057055E+09
           1  2.5437409E+09
           1  2.4832504E+09
           1  2.4241979E+09
           1  2.3665498E+09
           1  2.3102725E+09
           1  2.2553336E+09
           1  2.2017011E+09
           1  2.1493440E+09
           1  2.0982318E+09
           1  2.0483354E+09
           1  1.9996253E+09
           1  1.9520736E+09
           1  1.9056527E+09
           1  1.8603357E+09
