**********************************************************************
* Non-zero exchange coefficients between VERTICAL Iayeres of the regional
* model for every PLANAR BOX.
**********************************************************************
           3
 4
 
   1    2     22.08229    
   2    1     122.0823    
   2    3     144.1646    
   3    2     144.1646    
 
           4
 6
 
   1    2     103.2693    
   2    1     470.7693    
   2    3     81.63464    
   3    2     81.63464    
   3    4     81.63464    
   4    3     81.63464    
 
           5
 6
 
   1    2     208.7576    
   2    1     208.7576    
   2    3     104.3788    
   3    2     104.3788    
   3    4     104.3788    
   4    3     104.3788    
 
           6
 4
 
   1    2     139.5178    
   2    1     139.5178    
   2    3     69.75891    
   3    2     69.75891    
 
           7
 6
 
   1    2     115.0203    
   2    1     115.0203    
   2    3     57.51015    
   3    2     57.51015    
   3    4     57.51015    
   4    3     57.51015    
 
           8
 6
 
   1    2     115.0204    
   2    1     115.0204    
   2    3     57.51019    
   3    2     57.51019    
   3    4     57.51019    
   4    3     57.51019    
 
           9
 6
 
   1    2     115.0204    
   2    1     115.0204    
   2    3     57.51019    
   3    2     57.51019    
   3    4     57.51019    
   4    3     57.51019    
 
          10
 6
 
   1    2     115.0204    
   2    1     115.0204    
   2    3     57.51018    
   3    2     57.51018    
   3    4     57.51018    
   4    3     57.51018    
 
          11
 6
 
   1    2     116.6912    
   2    1     116.6912    
   2    3     58.34559    
   3    2     58.34559    
   3    4     58.34559    
   4    3     58.34559    
 
          12
 6
 
   1    2     118.4816    
   2    1     118.4816    
   2    3     59.24081    
   3    2     59.24081    
   3    4     59.24081    
   4    3     59.24081    
 
          13
 6
 
   1    2     114.5434    
   2    1     114.5434    
   2    3     57.27170    
   3    2     57.27170    
   3    4     57.27170    
   4    3     57.27170    
 
          14
 4
 
   1    2     107.2233    
   2    1     107.2233    
   2    3     53.61167    
   3    2     53.61167    
 
          15
 6
 
   1    2     115.0203    
   2    1     115.0203    
   2    3     57.51017    
   3    2     57.51017    
   3    4     57.51017    
   4    3     57.51017    
 
          16
 6
 
   1    2     115.0204    
   2    1     115.0204    
   2    3     57.51019    
   3    2     57.51019    
   3    4     57.51019    
   4    3     57.51019    
 
          17
 6
 
   1    2     229.8190    
   2    1     229.8190    
   2    3     114.9095    
   3    2     114.9095    
   3    4     114.9095    
   4    3     114.9095    
 
          18
 6
 
   1    2     115.0204    
   2    1     115.0204    
   2    3     57.51019    
   3    2     57.51019    
   3    4     57.51019    
   4    3     57.51019    
 
          19
 6
 
   1    2     115.0204    
   2    1     115.0204    
   2    3     57.51018    
   3    2     57.51018    
   3    4     57.51018    
   4    3     57.51018    
 
          20
 6
 
   1    2     274.6125    
   2    1     274.6125    
   2    3     137.3063    
   3    2     137.3063    
   3    4     137.3063    
   4    3     137.3063    
 
          21
 6
 
   1    2     162.1069    
   2    1     162.1069    
   2    3     81.05347    
   3    2     81.05347    
   3    4     81.05347    
   4    3     81.05347    
 
          22
 6
 
   1    2     90.35372    
   2    1     90.35372    
   2    3     45.17686    
   3    2     45.17686    
   3    4     45.17686    
   4    3     45.17686    
 
          23
 6
 
   1    2     113.1625    
   2    1     113.1625    
   2    3     56.58123    
   3    2     56.58123    
   3    4     56.58123    
   4    3     56.58123    
 
          24
 6
 
   1    2     113.1625    
   2    1     113.1625    
   2    3     56.58126    
   3    2     56.58126    
   3    4     56.58126    
   4    3     56.58126    
 
          25
 6
 
   1    2     113.1625    
   2    1     113.1625    
   2    3     56.58126    
   3    2     56.58126    
   3    4     56.58126    
   4    3     56.58126    
 
          26
 6
 
   1    2     113.1625    
   2    1     113.1625    
   2    3     56.58126    
   3    2     56.58126    
   3    4     56.58126    
   4    3     56.58126    
 
          27
 6
 
   1    2     113.1625    
   2    1     113.1625    
   2    3     56.58126    
   3    2     56.58126    
   3    4     56.58126    
   4    3     56.58126    
 
          28
 6
 
   1    2     113.1625    
   2    1     113.1625    
   2    3     56.58125    
   3    2     56.58125    
   3    4     56.58125    
   4    3     56.58125    
 
          29
 6
 
   1    2     113.1625    
   2    1     113.1625    
   2    3     56.58126    
   3    2     56.58126    
   3    4     56.58126    
   4    3     56.58126    
 
          30
 6
 
   1    2     113.1625    
   2    1     113.1625    
   2    3     56.58125    
   3    2     56.58125    
   3    4     56.58125    
   4    3     56.58125    
 
          31
 6
 
   1    2     113.1625    
   2    1     113.1625    
   2    3     56.58125    
   3    2     56.58125    
   3    4     56.58125    
   4    3     56.58125    
 
          32
 6
 
   1    2     113.1625    
   2    1     113.1625    
   2    3     56.58125    
   3    2     56.58125    
   3    4     56.58125    
   4    3     56.58125    
 
          33
 2
 
   1    2     72.20578    
   2    1     72.20578    
 
          35
 2
 
   1    2     96.82920    
   2    1     96.82920    
 
          36
 2
 
   1    2     111.2702    
   2    1     111.2702    
 
          37
 4
 
   1    2     111.2702    
   2    1     111.2702    
   2    3     55.63508    
   3    2     55.63508    
 
          38
 6
 
   1    2     111.2702    
   2    1     111.2702    
   2    3     55.63508    
   3    2     55.63508    
   3    4     55.63508    
   4    3     55.63508    
 
          39
 4
 
   1    2     77.83199    
   2    1     77.83199    
   2    3     38.91600    
   3    2     38.91600    
 
          40
 6
 
   1    2     71.74623    
   2    1     71.74623    
   2    3     35.87312    
   3    2     35.87312    
   3    4     35.87312    
   4    3     35.87312    
 
          41
 6
 
   1    2     108.6502    
   2    1     108.6502    
   2    3     54.32509    
   3    2     54.32509    
   3    4     54.32509    
   4    3     54.32509    
 
          42
 6
 
   1    2     121.2814    
   2    1     110.0314    
   2    3     58.64071    
   3    2     58.64071    
   3    4     58.64071    
   4    3     58.64071    
 
          43
 6
 
   1    2     113.4403    
   2    1     113.4403    
   2    3     56.72013    
   3    2     56.72013    
   3    4     56.72013    
   4    3     56.72013    
 
          46
 2
 
   1    2     109.3441    
   2    1     109.3441    
 
          47
 2
 
   1    2     137.0447    
   2    1     137.0447    
 
