 Concentration in water(filtered)-[Bq/m3], in sediment (dry)-[Bq/t]                            
Cs-137
  Initial concentrations for REGIONAL and LOCAL boxes
  Planar 
 number  1Layer      2Layer      3Layer      4Layer
                                                        sed-top    sed-mid                                                                          
    1   9.339E-01                                       1.232E+03   1.436E+01 
    2   2.120E+00                                       1.246E+03   7.076E+00 
    3   2.161E+01   8.108E+00   2.719E+00               5.539E+01   1.777E-01 
    4   3.483E+01   2.943E+01   4.531E+00   2.284E-01   2.287E+00   2.973E-03 
    5   3.479E+01   2.942E+01   4.529E+00   2.272E-01   9.967E+00   1.291E-02 
    6   3.479E+01   2.952E+01   4.535E+00               1.389E+02   3.109E-01 
    7   3.476E+01   2.949E+01   4.531E+00   2.268E-01   1.919E+01   2.481E-02 
    8   3.472E+01   2.942E+01   4.527E+00   2.262E-01   1.915E+01   2.471E-02 
    9   3.465E+01   2.934E+01   4.526E+00   2.257E-01   1.911E+01   2.460E-02 
   10   3.459E+01   2.928E+01   4.526E+00   2.255E-01   1.894E+01   2.437E-02 
   11   3.470E+01   2.933E+01   4.525E+00   2.252E-01   1.422E+01   1.831E-02 
   12   3.478E+01   2.936E+01   4.524E+00   2.247E-01   1.129E+01   1.451E-02 
   13   3.481E+01   2.935E+01   4.524E+00   2.240E-01   1.672E+01   2.143E-02 
   14   3.497E+01   2.942E+01   4.532E+00               1.128E+02   2.526E-01 
   15   3.483E+01   2.933E+01   4.524E+00   2.236E-01   1.709E+01   2.186E-02 
   16   3.479E+01   2.929E+01   4.523E+00   2.234E-01   1.891E+01   2.417E-02 
   17   3.501E+01   2.943E+01   4.526E+00   2.237E-01   1.238E+01   1.585E-02 
   18   3.473E+01   2.924E+01   4.522E+00   2.234E-01   1.891E+01   2.417E-02 
   19   3.465E+01   2.919E+01   4.521E+00   2.235E-01   1.871E+01   2.393E-02 
   20   3.501E+01   2.941E+01   4.522E+00   2.240E-01   1.280E+01   1.640E-02 
   21   3.467E+01   2.920E+01   4.521E+00   2.245E-01   8.055E+00   1.034E-02 
   22   3.458E+01   2.915E+01   4.521E+00   2.237E-01   9.861E+00   1.262E-02 
   23   3.434E+01   2.900E+01   4.520E+00   2.234E-01   1.775E+01   2.270E-02 
   24   3.447E+01   2.907E+01   4.521E+00   2.235E-01   1.892E+01   2.418E-02 
   25   3.470E+01   2.920E+01   4.521E+00   2.237E-01   1.894E+01   2.422E-02 
   26   3.472E+01   2.921E+01   4.521E+00   2.241E-01   1.897E+01   2.430E-02 
   27   3.461E+01   2.916E+01   4.522E+00   2.245E-01   1.900E+01   2.437E-02 
   28   3.426E+01   2.900E+01   4.522E+00   2.246E-01   1.900E+01   2.439E-02 
   29   3.427E+01   2.905E+01   4.522E+00   2.249E-01   1.876E+01   2.411E-02 
   30   3.429E+01   2.913E+01   4.524E+00   2.252E-01   1.642E+01   2.113E-02 
   31   3.457E+01   2.938E+01   4.525E+00   2.263E-01   8.870E+00   1.145E-02 
   32   3.465E+01   2.948E+01   4.527E+00   2.288E-01   1.208E+00   1.573E-03 
   33   3.468E+01   2.953E+01                           2.385E+03   1.664E+01 
   34   3.436E+01                                       1.192E+03   1.049E+01 
   35   3.403E+01   2.964E+01                           7.422E+02   5.227E+00 
   36   3.423E+01   2.943E+01                           1.855E+03   1.296E+01 
   37   3.435E+01   2.932E+01   4.524E+00               1.603E+02   3.588E-01 
   38   3.436E+01   2.921E+01   4.523E+00   2.264E-01   5.754E+00   7.429E-03 
   39   3.423E+01   2.899E+01   4.522E+00               1.551E+02   3.473E-01 
   40   3.433E+01   2.893E+01   4.520E+00   2.247E-01   1.094E+01   1.405E-02 
   41   3.465E+01   2.909E+01   4.521E+00   2.247E-01   8.068E+00   1.036E-02 
   42   3.473E+01   2.912E+01   4.520E+00   2.246E-01   4.154E+00   5.331E-03 
   43   3.466E+01   2.916E+01   4.520E+00   2.239E-01   1.002E+01   1.281E-02 
   44   3.230E+01                                       4.467E+03   2.479E+02 
   45   3.330E+01                                       1.184E+03   1.052E+01 
   46   3.354E+01   2.976E+01                           6.530E+02   4.676E+00 
   47   3.385E+01   2.947E+01                           4.895E+02   3.480E+00 
   48   3.292E+01                                       9.204E+02   8.264E+00 
   49   1.066E+01                                       5.415E+02   1.753E+01 
   50   4.226E+01                                       1.407E+03   1.888E+01 
   51   0.000E+00                                       0.000E+00   0.000E+00
   52   0.000E+00                                       0.000E+00   0.000E+00
   53   0.000E+00                                       0.000E+00   0.000E+00
   1991.75000000000     
