 interval        deposition(Bq/year)
          29    Nmsr
           1    Nboxprec
           2    reltp
          50           1    NumPlan   NumVert
           0.25  7.7823995E+09
           1  7.2192005E+09
           1  7.4752000E+09
           1  8.7552000E+09
           1  7.0655995E+09
           1  5.2736005E+09
           1  4.9152000E+09
           1  3.4304003E+09
           1  4.9152000E+09
           1  4.6080005E+09
           1  4.4984202E+09
           1  4.3914470E+09
           1  4.2870170E+09
           1  4.1850703E+09
           1  4.0855480E+09
           1  3.9883922E+09
           1  3.8935475E+09
           1  3.8009574E+09
           1  3.7105697E+09
           1  3.6223314E+09
           1  3.5361915E+09
           1  3.4520996E+09
           1  3.3700078E+09
           1  3.2898678E+09
           1  3.2116339E+09
           1  3.1352604E+09
           1  3.0607027E+09
           1  2.9879183E+09
           1  2.9168648E+09
