 Concentration in water(filtered)-[Bq/m3], in sediment (dry)-[Bq/t]                            
Cs-137
  Initial concentrations for REGIONAL and LOCAL boxes
  Planar 
 number  1Layer      2Layer      3Layer      4Layer
                                                        sed-top    sed-mid                                                                          
    1   9.974E-01                                       6.935E+03   1.508E+01 
    2   1.145E+01                                       3.257E+03   7.106E+00 
    3   8.040E+01   6.463E+00   1.752E+00               1.657E+02   1.790E-01 
    4   1.443E+02   1.802E+01   3.386E+00   1.848E-01   3.730E+00   2.872E-03 
    5   1.596E+02   1.860E+01   3.383E+00   1.810E-01   1.800E+01   1.341E-02 
    6   1.497E+02   1.827E+01   3.389E+00               2.867E+02   3.075E-01 
    7   1.505E+02   1.827E+01   3.383E+00   1.801E-01   3.706E+01   2.717E-02 
    8   1.405E+02   1.763E+01   3.381E+00   1.788E-01   3.177E+01   2.380E-02 
    9   1.523E+02   1.793E+01   3.380E+00   1.781E-01   2.995E+01   2.260E-02 
   10   1.549E+02   1.800E+01   3.379E+00   1.774E-01   2.956E+01   2.225E-02 
   11   1.506E+02   1.768E+01   3.377E+00   1.767E-01   2.209E+01   1.661E-02 
   12   1.434E+02   1.720E+01   3.376E+00   1.759E-01   1.748E+01   1.312E-02 
   13   1.259E+02   1.634E+01   3.375E+00   1.744E-01   2.905E+01   2.128E-02 
   14   1.421E+02   1.675E+01   3.382E+00               2.399E+02   2.557E-01 
   15   1.373E+02   1.653E+01   3.375E+00   1.734E-01   3.072E+01   2.230E-02 
   16   1.382E+02   1.614E+01   3.373E+00   1.727E-01   3.373E+01   2.449E-02 
   17   1.319E+02   1.610E+01   3.374E+00   1.737E-01   2.330E+01   1.687E-02 
   18   1.365E+02   1.598E+01   3.372E+00   1.727E-01   3.254E+01   2.379E-02 
   19   1.392E+02   1.600E+01   3.370E+00   1.734E-01   3.235E+01   2.373E-02 
   20   1.382E+02   1.605E+01   3.371E+00   1.744E-01   2.383E+01   1.734E-02 
   21   1.356E+02   1.586E+01   3.369E+00   1.752E-01   1.419E+01   1.045E-02 
   22   1.439E+02   1.607E+01   3.369E+00   1.739E-01   1.736E+01   1.273E-02 
   23   1.382E+02   1.583E+01   3.369E+00   1.731E-01   2.986E+01   2.196E-02 
   24   1.338E+02   1.563E+01   3.368E+00   1.729E-01   3.187E+01   2.341E-02 
   25   1.309E+02   1.553E+01   3.369E+00   1.733E-01   3.297E+01   2.408E-02 
   26   1.289E+02   1.540E+01   3.368E+00   1.741E-01   3.068E+01   2.273E-02 
   27   1.358E+02   1.566E+01   3.369E+00   1.749E-01   2.995E+01   2.234E-02 
   28   1.327E+02   1.593E+01   3.372E+00   1.756E-01   3.061E+01   2.279E-02 
   29   1.411E+02   1.660E+01   3.373E+00   1.767E-01   2.919E+01   2.194E-02 
   30   1.510E+02   1.748E+01   3.376E+00   1.776E-01   2.732E+01   2.037E-02 
   31   1.545E+02   1.820E+01   3.378E+00   1.795E-01   1.416E+01   1.071E-02 
   32   1.814E+02   1.966E+01   3.380E+00   1.834E-01   1.946E+00   1.493E-03 
   33   1.611E+02   1.876E+01                           3.479E+03   1.697E+01 
   34   1.594E+02                                       2.486E+03   1.053E+01 
   35   1.587E+02   2.270E+01                           1.100E+03   5.326E+00 
   36   1.521E+02   1.885E+01                           2.709E+03   1.324E+01 
   37   1.406E+02   1.807E+01   3.377E+00               3.297E+02   3.534E-01 
   38   1.398E+02   1.741E+01   3.375E+00   1.788E-01   9.050E+00   6.853E-03 
   39   1.558E+02   1.663E+01   3.373E+00               3.233E+02   3.453E-01 
   40   1.555E+02   1.585E+01   3.366E+00   1.764E-01   1.914E+01   1.414E-02 
   41   1.369E+02   1.535E+01   3.365E+00   1.765E-01   1.377E+01   1.023E-02 
   42   1.232E+02   1.500E+01   3.365E+00   1.779E-01   6.759E+00   5.102E-03 
   43   1.299E+02   1.536E+01   3.367E+00   1.763E-01   1.961E+01   1.425E-02 
   44   1.235E+02                                       9.009E+03   2.498E+02 
   45   1.233E+02                                       2.508E+03   1.070E+01 
   46   1.214E+02   2.921E+01                           9.806E+02   4.794E+00 
   47   1.101E+02   2.362E+01                           7.287E+02   3.570E+00 
   48   8.890E+01                                       1.869E+03   8.403E+00 
   49   7.629E+01                                       2.185E+03   1.806E+01 
   50   2.061E+02                                       3.445E+03   1.951E+01 
   51   0.000E+00                                       0.000E+00   0.000E+00
   52   0.000E+00                                       0.000E+00   0.000E+00
   53   0.000E+00                                       0.000E+00   0.000E+00
   1986.75000000000     
