 Concentration in water(filtered)-[Bq/m3], in sediment (dry)-[Bq/t]                            
Cs-137
  Initial concentrations for REGIONAL and LOCAL boxes
  Planar 
 number  1Layer      2Layer      3Layer      4Layer
                                                        sed-top    sed-mid                                                                          
    1   1.109E+00                                       4.650E+03   1.493E+01 
    2   5.385E+00                                       2.458E+03   5.647E+00 
    3   6.966E+01   4.160E+00   1.249E+00               7.453E+01   1.115E-01 
    4   8.291E+01   3.115E+01   3.382E+00   3.433E-01   5.305E+00   5.416E-03 
    5   8.571E+01   3.092E+01   3.377E+00   3.418E-01   2.309E+01   2.350E-02 
    6   7.857E+01   3.109E+01   3.384E+00               2.043E+02   3.112E-01 
    7   8.038E+01   3.079E+01   3.378E+00   3.414E-01   4.446E+01   4.522E-02 
    8   8.142E+01   3.028E+01   3.372E+00   3.406E-01   4.437E+01   4.505E-02 
    9   8.257E+01   2.996E+01   3.369E+00   3.399E-01   4.425E+01   4.485E-02 
   10   8.665E+01   3.005E+01   3.365E+00   3.394E-01   4.383E+01   4.439E-02 
   11   9.014E+01   2.989E+01   3.360E+00   3.387E-01   3.285E+01   3.323E-02 
   12   8.984E+01   2.902E+01   3.351E+00   3.379E-01   2.606E+01   2.632E-02 
   13   8.993E+01   2.818E+01   3.342E+00   3.370E-01   3.857E+01   3.889E-02 
   14   9.315E+01   2.764E+01   3.340E+00               1.656E+02   2.519E-01 
   15   8.498E+01   2.645E+01   3.333E+00   3.362E-01   3.937E+01   3.962E-02 
   16   8.201E+01   2.513E+01   3.323E+00   3.358E-01   4.356E+01   4.381E-02 
   17   8.933E+01   2.594E+01   3.323E+00   3.362E-01   2.852E+01   2.872E-02 
   18   8.112E+01   2.443E+01   3.318E+00   3.358E-01   4.354E+01   4.380E-02 
   19   8.371E+01   2.439E+01   3.314E+00   3.361E-01   4.312E+01   4.342E-02 
   20   9.778E+01   2.635E+01   3.317E+00   3.365E-01   2.949E+01   2.972E-02 
   21   9.409E+01   2.568E+01   3.314E+00   3.372E-01   1.856E+01   1.873E-02 
   22   8.661E+01   2.468E+01   3.314E+00   3.363E-01   2.272E+01   2.288E-02 
   23   8.358E+01   2.445E+01   3.316E+00   3.358E-01   4.088E+01   4.112E-02 
   24   8.435E+01   2.486E+01   3.320E+00   3.359E-01   4.356E+01   4.383E-02 
   25   8.406E+01   2.517E+01   3.325E+00   3.362E-01   4.362E+01   4.392E-02 
   26   8.579E+01   2.599E+01   3.333E+00   3.368E-01   4.372E+01   4.406E-02 
   27   8.566E+01   2.661E+01   3.339E+00   3.373E-01   4.381E+01   4.419E-02 
   28   8.251E+01   2.704E+01   3.347E+00   3.379E-01   4.388E+01   4.430E-02 
   29   8.455E+01   2.830E+01   3.353E+00   3.386E-01   4.338E+01   4.387E-02 
   30   8.022E+01   2.877E+01   3.358E+00   3.391E-01   3.799E+01   3.845E-02 
   31   7.737E+01   2.983E+01   3.364E+00   3.406E-01   2.054E+01   2.086E-02 
   32   7.993E+01   3.109E+01   3.371E+00   3.433E-01   2.797E+00   2.855E-03 
   33   8.354E+01   3.205E+01                           2.923E+03   1.774E+01 
   34   5.428E+01                                       1.755E+03   8.124E+00 
   35   7.332E+01   3.393E+01                           9.453E+02   5.587E+00 
   36   7.518E+01   3.122E+01                           2.289E+03   1.387E+01 
   37   7.967E+01   3.042E+01   3.357E+00               2.359E+02   3.589E-01 
   38   8.282E+01   2.897E+01   3.353E+00   3.415E-01   1.337E+01   1.360E-02 
   39   8.638E+01   2.715E+01   3.343E+00               2.280E+02   3.468E-01 
   40   8.957E+01   2.602E+01   3.333E+00   3.378E-01   2.524E+01   2.549E-02 
   41   8.949E+01   2.548E+01   3.325E+00   3.379E-01   1.863E+01   1.882E-02 
   42   8.866E+01   2.503E+01   3.320E+00   3.378E-01   9.590E+00   9.690E-03 
   43   9.129E+01   2.547E+01   3.319E+00   3.366E-01   2.311E+01   2.329E-02 
   44   4.897E+01                                       6.046E+03   1.904E+02 
   45   5.117E+01                                       1.680E+03   8.084E+00 
   46   7.256E+01   4.059E+01                           9.199E+02   5.146E+00 
   47   7.950E+01   3.508E+01                           6.355E+02   3.727E+00 
   48   5.566E+01                                       1.592E+03   7.888E+00 
   49   1.700E+01                                       1.532E+03   1.696E+01 
   50   2.089E+02                                       3.431E+03   1.932E+01 
   51   0.000E+00                                       0.000E+00   0.000E+00
   52   0.000E+00                                       0.000E+00   0.000E+00
   53   0.000E+00                                       0.000E+00   0.000E+00
   1987.50000000000     
