 Concentration in water(filtered)-[Bq/m3], in sediment (dry)-[Bq/t]                            
Cs-137
  Initial concentrations for REGIONAL and LOCAL boxes
  Planar 
 number  1Layer      2Layer      3Layer      4Layer
                                                        sed-top    sed-mid                                                                          
    1   9.974E-01                                       6.935E+03   1.508E+01 
    2   1.145E+01                                       3.257E+03   7.106E+00 
    3   8.040E+01   6.463E+00   1.752E+00               1.657E+02   1.790E-01 
    4   1.342E+02   1.761E+01   3.386E+00   1.848E-01   3.730E+00   2.872E-03 
    5   1.602E+02   1.864E+01   3.383E+00   1.810E-01   1.800E+01   1.341E-02 
    6   1.738E+02   1.926E+01   3.389E+00               2.867E+02   3.075E-01 
    7   1.592E+02   1.867E+01   3.383E+00   1.801E-01   3.706E+01   2.717E-02 
    8   1.523E+02   1.817E+01   3.381E+00   1.788E-01   3.177E+01   2.380E-02 
    9   1.461E+02   1.773E+01   3.380E+00   1.781E-01   2.995E+01   2.260E-02 
   10   1.477E+02   1.774E+01   3.379E+00   1.774E-01   2.956E+01   2.225E-02 
   11   1.496E+02   1.765E+01   3.377E+00   1.767E-01   2.209E+01   1.661E-02 
   12   1.412E+02   1.712E+01   3.376E+00   1.759E-01   1.748E+01   1.312E-02 
   13   1.213E+02   1.616E+01   3.375E+00   1.744E-01   2.905E+01   2.128E-02 
   14   1.364E+02   1.656E+01   3.382E+00               2.399E+02   2.557E-01 
   15   1.316E+02   1.633E+01   3.374E+00   1.734E-01   3.072E+01   2.230E-02 
   16   1.280E+02   1.580E+01   3.372E+00   1.727E-01   3.373E+01   2.449E-02 
   17   1.160E+02   1.553E+01   3.374E+00   1.737E-01   2.330E+01   1.687E-02 
   18   1.200E+02   1.541E+01   3.371E+00   1.727E-01   3.254E+01   2.379E-02 
   19   1.260E+02   1.556E+01   3.369E+00   1.734E-01   3.235E+01   2.373E-02 
   20   1.394E+02   1.609E+01   3.371E+00   1.744E-01   2.383E+01   1.734E-02 
   21   1.384E+02   1.596E+01   3.370E+00   1.752E-01   1.419E+01   1.045E-02 
   22   1.134E+02   1.503E+01   3.368E+00   1.739E-01   1.736E+01   1.273E-02 
   23   1.222E+02   1.530E+01   3.368E+00   1.731E-01   2.986E+01   2.196E-02 
   24   1.244E+02   1.532E+01   3.367E+00   1.729E-01   3.187E+01   2.341E-02 
   25   1.271E+02   1.541E+01   3.369E+00   1.733E-01   3.297E+01   2.408E-02 
   26   1.291E+02   1.541E+01   3.368E+00   1.741E-01   3.068E+01   2.273E-02 
   27   1.366E+02   1.568E+01   3.369E+00   1.749E-01   2.995E+01   2.234E-02 
   28   1.291E+02   1.578E+01   3.372E+00   1.756E-01   3.061E+01   2.279E-02 
   29   1.255E+02   1.597E+01   3.373E+00   1.767E-01   2.919E+01   2.194E-02 
   30   1.118E+02   1.581E+01   3.375E+00   1.776E-01   2.732E+01   2.037E-02 
   31   1.396E+02   1.766E+01   3.377E+00   1.795E-01   1.416E+01   1.071E-02 
   32   1.790E+02   1.966E+01   3.380E+00   1.834E-01   1.946E+00   1.493E-03 
   33   1.826E+02   1.966E+01                           3.479E+03   1.697E+01 
   34   1.583E+02                                       2.486E+03   1.053E+01 
   35   1.528E+02   2.267E+01                           1.100E+03   5.326E+00 
   36   1.399E+02   1.856E+01                           2.709E+03   1.324E+01 
   37   1.282E+02   1.759E+01   3.377E+00               3.297E+02   3.534E-01 
   38   1.317E+02   1.706E+01   3.375E+00   1.788E-01   9.050E+00   6.853E-03 
   39   1.511E+02   1.646E+01   3.373E+00               3.233E+02   3.453E-01 
   40   1.663E+02   1.614E+01   3.366E+00   1.764E-01   1.914E+01   1.414E-02 
   41   1.397E+02   1.544E+01   3.365E+00   1.765E-01   1.377E+01   1.023E-02 
   42   1.217E+02   1.495E+01   3.365E+00   1.779E-01   6.759E+00   5.102E-03 
   43   1.179E+02   1.495E+01   3.366E+00   1.763E-01   1.961E+01   1.425E-02 
   44   1.081E+02                                       9.009E+03   2.498E+02 
   45   1.022E+02                                       2.508E+03   1.070E+01 
   46   1.249E+02   2.965E+01                           9.806E+02   4.794E+00 
   47   1.197E+02   2.428E+01                           7.287E+02   3.570E+00 
   48   1.162E+02                                       1.869E+03   8.403E+00 
   49   7.629E+01                                       2.185E+03   1.806E+01 
   50   2.061E+02                                       3.445E+03   1.951E+01 
   51   0.000E+00                                       0.000E+00   0.000E+00
   52   0.000E+00                                       0.000E+00   0.000E+00
   53   0.000E+00                                       0.000E+00   0.000E+00
   1986.75000000000     
