 interval        deposition(Bq/year)
          33    Nmsr
           1    Nboxprec
           2    reltp
          14           1    NumPlan   NumVert
           0.5  1.7600051E+09 
           1  1.7340151E+09
           1  1.7085148E+09
           1  1.6957646E+09
           1  1.9380166E+09
           1  1.7977656E+09
           1  1.8615160E+09
           1  2.1802688E+09
           1  1.7595151E+09
           1  1.3132614E+09
           1  1.2240105E+09
           1  8.5425741E+08
           1  1.2240105E+09
           1  1.1475100E+09
           1  1.1202217E+09
           1  1.0935827E+09
           1  1.0675769E+09
           1  1.0421896E+09
           1  1.0174060E+09
           1  9.9321171E+08
           1  9.6959296E+08
           1  9.4653568E+08
           1  9.2402682E+08
           1  9.0205318E+08
           1  8.8060211E+08
           1  8.5966112E+08
           1  8.3921818E+08
           1  8.1926125E+08
           1  7.9977901E+08
           1  7.8076006E+08
           1  7.6219334E+08
           1  7.4406816E+08
           1  7.2637395E+08
