 Concentration in water(filtered)-[Bq/m3], in sediment (dry)-[Bq/t]                            
Cs-137
  Initial concentrations for REGIONAL and LOCAL boxes
  Planar 
 number  1Layer      2Layer      3Layer      4Layer
                                                        sed-top    sed-mid                                                                          
    1   1.024E+00                                       7.309E+02   1.506E+01 
    2   4.970E+00                                       7.273E+02   7.240E+00 
    3   3.517E+01   1.257E+01   2.254E+00               2.105E+01   1.822E-01 
    4   5.541E+01   2.939E+01   3.808E+00   1.984E-01   6.807E-01   2.865E-03 
    5   5.525E+01   2.933E+01   3.806E+00   1.975E-01   2.964E+00   1.243E-02 
    6   5.587E+01   2.954E+01   3.814E+00               4.446E+01   3.132E-01 
    7   5.476E+01   2.930E+01   3.807E+00   1.972E-01   5.708E+00   2.389E-02 
    8   5.483E+01   2.924E+01   3.804E+00   1.966E-01   5.697E+00   2.379E-02 
    9   5.467E+01   2.915E+01   3.802E+00   1.962E-01   5.682E+00   2.368E-02 
   10   5.512E+01   2.924E+01   3.801E+00   1.960E-01   5.632E+00   2.346E-02 
   11   5.531E+01   2.924E+01   3.800E+00   1.958E-01   4.226E+00   1.762E-02 
   12   5.531E+01   2.918E+01   3.797E+00   1.954E-01   3.355E+00   1.396E-02 
   13   5.513E+01   2.903E+01   3.794E+00   1.948E-01   4.966E+00   2.061E-02 
   14   5.486E+01   2.891E+01   3.801E+00               3.606E+01   2.543E-01 
   15   5.488E+01   2.891E+01   3.793E+00   1.944E-01   5.076E+00   2.103E-02 
   16   5.456E+01   2.877E+01   3.791E+00   1.942E-01   5.613E+00   2.324E-02 
   17   5.459E+01   2.881E+01   3.792E+00   1.945E-01   3.677E+00   1.525E-02 
   18   5.443E+01   2.876E+01   3.790E+00   1.942E-01   5.613E+00   2.324E-02 
   19   5.443E+01   2.879E+01   3.789E+00   1.944E-01   5.558E+00   2.302E-02 
   20   5.446E+01   2.879E+01   3.790E+00   1.947E-01   3.803E+00   1.578E-02 
   21   5.442E+01   2.879E+01   3.789E+00   1.952E-01   2.393E+00   9.949E-03 
   22   5.439E+01   2.878E+01   3.789E+00   1.945E-01   2.930E+00   1.214E-02 
   23   5.436E+01   2.875E+01   3.789E+00   1.943E-01   5.272E+00   2.184E-02 
   24   5.436E+01   2.873E+01   3.789E+00   1.943E-01   5.618E+00   2.325E-02 
   25   5.461E+01   2.881E+01   3.791E+00   1.945E-01   5.624E+00   2.330E-02 
   26   5.490E+01   2.892E+01   3.793E+00   1.948E-01   5.638E+00   2.338E-02 
   27   5.529E+01   2.911E+01   3.796E+00   1.951E-01   5.645E+00   2.345E-02 
   28   5.528E+01   2.914E+01   3.798E+00   1.953E-01   5.649E+00   2.347E-02 
   29   5.492E+01   2.907E+01   3.798E+00   1.955E-01   5.578E+00   2.320E-02 
   30   5.444E+01   2.898E+01   3.799E+00   1.958E-01   4.878E+00   2.034E-02 
   31   5.395E+01   2.895E+01   3.801E+00   1.967E-01   2.638E+00   1.103E-02 
   32   5.489E+01   2.927E+01   3.804E+00   1.988E-01   3.597E-01   1.516E-03 
   33   5.545E+01   2.942E+01                           6.956E+02   1.690E+01 
   34   5.717E+01                                       5.775E+02   1.072E+01 
   35   5.623E+01   2.998E+01                           2.218E+02   5.305E+00 
   36   5.630E+01   2.916E+01                           5.406E+02   1.316E+01 
   37   5.574E+01   2.916E+01   3.801E+00               5.129E+01   3.614E-01 
   38   5.585E+01   2.933E+01   3.799E+00   1.967E-01   1.710E+00   7.154E-03 
   39   5.636E+01   2.941E+01   3.799E+00               4.964E+01   3.498E-01 
   40   5.612E+01   2.925E+01   3.795E+00   1.953E-01   3.249E+00   1.352E-02 
   41   5.527E+01   2.892E+01   3.792E+00   1.953E-01   2.398E+00   9.968E-03 
   42   5.506E+01   2.878E+01   3.789E+00   1.952E-01   1.234E+00   5.130E-03 
   43   5.441E+01   2.872E+01   3.788E+00   1.946E-01   2.977E+00   1.233E-02 
   44   6.215E+01                                       2.174E+03   2.545E+02 
   45   6.798E+01                                       5.776E+02   1.082E+01 
   46   5.907E+01   3.146E+01                           2.035E+02   4.753E+00 
   47   5.696E+01   3.083E+01                           1.488E+02   3.535E+00 
   48   5.828E+01                                       4.470E+02   8.479E+00 
   49   2.791E+01                                       3.436E+02   1.820E+01 
   50   1.076E+02                                       6.927E+02   1.939E+01 
   51   0.000E+00                                       0.000E+00   0.000E+00
   52   0.000E+00                                       0.000E+00   0.000E+00
   53   0.000E+00                                       0.000E+00   0.000E+00
   1988.85000000000     
