 interval        deposition(Bq/year)
          33    Nmsr
           1    Nboxprec
           2    reltp
           2           1    NumPlan   NumVert
           0.375  3.1647799E+10
           1  3.1182389E+10
           1  3.0949683E+10
           1  3.5371065E+10
           1  3.2811319E+10
           1  3.3974841E+10
           1  3.9792452E+10
           1  3.2113205E+10
           1  2.3968553E+10
           1  2.2339621E+10
           1  1.5591195E+10
           1  2.2339621E+10
           1  2.0943397E+10
           1  2.0445354E+10
           1  1.9959161E+10
           1  1.9484525E+10
           1  1.9021177E+10
           1  1.8568847E+10
           1  1.8127272E+10
           1  1.7696203E+10
           1  1.7275382E+10
           1  1.6864568E+10
           1  1.6463523E+10
           1  1.6072017E+10
           1  1.5689819E+10
           1  1.5316711E+10
           1  1.4952474E+10
           1  1.4596900E+10
           1  1.4249782E+10
           1  1.3910917E+10
           1  1.3580112E+10
           1  1.3257173E+10
           1  1.2941913E+10
