 interval        deposition(Bq/year)
          33    Nmsr
           1    Nboxprec
           2    reltp
          13           1    NumPlan   NumVert
           1  1.8801596E+09 
           1  1.8523951E+09
           1  1.8251540E+09
           1  1.8115334E+09
           1  2.0703238E+09
           1  1.9204979E+09
           1  1.9886006E+09
           1  2.3291144E+09
           1  1.8796361E+09
           1  1.4029170E+09
           1  1.3075730E+09
           1  9.1257702E+08
           1  1.3075730E+09
           1  1.2258497E+09
           1  1.1966986E+09
           1  1.1682409E+09
           1  1.1404596E+09
           1  1.1133393E+09
           1  1.0868636E+09
           1  1.0610177E+09
           1  1.0357865E+09
           1  1.0111551E+09
           1  9.8710957E+08
           1  9.6363578E+08
           1  9.4072026E+08
           1  9.1834970E+08
           1  8.9651110E+08
           1  8.7519168E+08
           1  8.5437939E+08
           1  8.3406202E+08
           1  8.1422778E+08
           1  7.9486522E+08
           1  7.7596307E+08
