 Concentration in water(filtered)-[Bq/m3], in sediment (dry)-[Bq/t]                            
Cs-137
  Initial concentrations for REGIONAL and LOCAL boxes
  Planar 
 number  1Layer      2Layer      3Layer      4Layer
                                                        sed-top    sed-mid                                                                          
    1   1.025E+00                                       2.286E+03   1.514E+01 
    2   5.585E+00                                       1.998E+03   7.260E+00 
    3   3.561E+01   1.200E+01   2.109E+00               6.073E+01   1.829E-01 
    4   5.525E+01   2.651E+01   3.675E+00   2.003E-01   1.801E+00   3.038E-03 
    5   5.615E+01   2.665E+01   3.673E+00   1.962E-01   8.440E+00   1.421E-02 
    6   5.515E+01   2.658E+01   3.680E+00               1.191E+02   3.154E-01 
    7   5.546E+01   2.658E+01   3.671E+00   1.952E-01   1.709E+01   2.882E-02 
    8   5.604E+01   2.663E+01   3.670E+00   1.939E-01   1.522E+01   2.524E-02 
    9   5.701E+01   2.676E+01   3.668E+00   1.931E-01   1.457E+01   2.396E-02 
   10   5.604E+01   2.659E+01   3.667E+00   1.923E-01   1.440E+01   2.360E-02 
   11   5.563E+01   2.650E+01   3.664E+00   1.916E-01   1.077E+01   1.763E-02 
   12   5.548E+01   2.643E+01   3.662E+00   1.908E-01   8.528E+00   1.392E-02 
   13   5.544E+01   2.638E+01   3.662E+00   1.893E-01   1.373E+01   2.260E-02 
   14   5.544E+01   2.635E+01   3.675E+00               9.895E+01   2.624E-01 
   15   5.545E+01   2.635E+01   3.662E+00   1.882E-01   1.439E+01   2.369E-02 
   16   5.547E+01   2.633E+01   3.661E+00   1.875E-01   1.582E+01   2.602E-02 
   17   5.553E+01   2.636E+01   3.666E+00   1.886E-01   1.079E+01   1.793E-02 
   18   5.555E+01   2.635E+01   3.661E+00   1.875E-01   1.540E+01   2.527E-02 
   19   5.566E+01   2.638E+01   3.659E+00   1.882E-01   1.530E+01   2.520E-02 
   20   5.665E+01   2.668E+01   3.661E+00   1.893E-01   1.107E+01   1.842E-02 
   21   5.572E+01   2.640E+01   3.658E+00   1.902E-01   6.680E+00   1.109E-02 
   22   5.554E+01   2.635E+01   3.657E+00   1.888E-01   8.174E+00   1.352E-02 
   23   5.548E+01   2.633E+01   3.657E+00   1.879E-01   1.422E+01   2.332E-02 
   24   5.546E+01   2.632E+01   3.656E+00   1.878E-01   1.517E+01   2.486E-02 
   25   5.556E+01   2.632E+01   3.656E+00   1.881E-01   1.556E+01   2.558E-02 
   26   5.569E+01   2.630E+01   3.655E+00   1.889E-01   1.477E+01   2.413E-02 
   27   5.585E+01   2.632E+01   3.656E+00   1.898E-01   1.452E+01   2.370E-02 
   28   5.594E+01   2.638E+01   3.659E+00   1.905E-01   1.476E+01   2.419E-02 
   29   5.605E+01   2.645E+01   3.660E+00   1.916E-01   1.423E+01   2.327E-02 
   30   5.607E+01   2.652E+01   3.663E+00   1.926E-01   1.308E+01   2.160E-02 
   31   5.576E+01   2.659E+01   3.664E+00   1.946E-01   6.860E+00   1.135E-02 
   32   5.528E+01   2.659E+01   3.665E+00   1.988E-01   9.411E-01   1.580E-03 
   33   5.500E+01   2.658E+01                           1.658E+03   1.696E+01 
   34   5.471E+01                                       1.437E+03   1.065E+01 
   35   5.437E+01   2.732E+01                           5.301E+02   5.329E+00 
   36   5.516E+01   2.672E+01                           1.294E+03   1.323E+01 
   37   5.564E+01   2.665E+01   3.664E+00               1.370E+02   3.625E-01 
   38   5.582E+01   2.659E+01   3.662E+00   1.939E-01   4.399E+00   7.264E-03 
   39   5.605E+01   2.640E+01   3.661E+00               1.339E+02   3.542E-01 
   40   5.622E+01   2.630E+01   3.653E+00   1.914E-01   9.039E+00   1.500E-02 
   41   5.620E+01   2.630E+01   3.652E+00   1.915E-01   6.547E+00   1.086E-02 
   42   5.626E+01   2.632E+01   3.653E+00   1.931E-01   3.258E+00   5.407E-03 
   43   5.561E+01   2.632E+01   3.654E+00   1.913E-01   9.015E+00   1.513E-02 
   44   5.214E+01                                       5.262E+03   2.530E+02 
   45   5.489E+01                                       1.430E+03   1.082E+01 
   46   5.527E+01   2.913E+01                           4.928E+02   4.801E+00 
   47   5.563E+01   2.839E+01                           3.611E+02   3.573E+00 
   48   5.490E+01                                       1.107E+03   8.495E+00 
   49   2.751E+01                                       8.859E+02   1.826E+01 
   50   1.133E+02                                       1.889E+03   1.950E+01 
   51   0.000E+00                                       0.000E+00   0.000E+00
   52   0.000E+00                                       0.000E+00   0.000E+00
   53   0.000E+00                                       0.000E+00   0.000E+00
   1988.50000000000     
