 interval        deposition(Bq/year)
          76    Nmsr
           1    Nboxprec
           2    reltp
          46           1    NumPlan   NumVert
   1945.000      0.0000000E+00    Release   Bq/year
           1  1.6345744E+10
           1  1.1805260E+10
           1  1.8161939E+08
           1  1.8343557E+10
           1  3.8140070E+09
           1  1.8161939E+08
           1  1.0533924E+11
           1  1.0715544E+11
           1  4.5404845E+11
           1  1.1805261E+12
           1  1.7617081E+12
           1  1.6254936E+12
           1  1.5982505E+12
           1  2.1158659E+12
           1  3.5324971E+12
           1  8.7994597E+11
           1  1.1805261E+12
           1  4.8492378E+12
           1  8.8085407E+12
           1  5.5666341E+12
           1  2.5971573E+12
           1  1.0987972E+12
           1  5.6665250E+11
           1  6.5564593E+11
           1  4.9491283E+11
           1  6.9196985E+11
           1  6.3294354E+11
           1  2.8968292E+11
           1  1.0715544E+11
           1  4.0501120E+11
           1  1.9614892E+11
           1  9.0809696E+10
           1  2.7333717E+11
           1  3.3599586E+11
           1  1.0533924E+11
           1  1.0079876E+11
           1  1.4983599E+11
           1  4.2680553E+10
           1  2.9967198E+10
           1  2.4518615E+10
           1.33  7.0831560E+09  
           0.083000  1.157424E+14 
           1.587  1.7948166E+09 
           1  1.7683124E+09
           1  1.7423078E+09
           1  1.7293055E+09
           1  1.9763489E+09
           1  1.8333239E+09
           1  1.8983354E+09
           1  2.2233928E+09
           1  1.7943168E+09
           1  1.3392366E+09
           1  1.2482204E+09
           1  8.7115392E+08
           1  1.2482204E+09
           1  1.1702067E+09
           1  1.1423788E+09
           1  1.1152128E+09
           1  1.0886927E+09
           1  1.0628033E+09
           1  1.0375294E+09
           1  1.0128566E+09
           1  9.8877075E+08
           1  9.6525734E+08
           1  9.4230330E+08
           1  9.1989504E+08
           1  8.9801971E+08
           1  8.7666451E+08
           1  8.5581722E+08
           1  8.3546554E+08
           1  8.1559795E+08
           1  7.9620282E+08
           1  7.7726886E+08
           1  7.5878515E+08
           1  7.4074106E+08
