 interval        deposition(Bq/year)
          32    Nmsr
           1    Nboxprec
           2    reltp
           6           1    NumPlan   NumVert
           0.15  2.2562813E+09
           1  2.2231007E+09
           1  2.2065103E+09
           1  2.5217260E+09
           1  2.3392328E+09
           1  2.4221842E+09
           1  2.8369421E+09
           1  2.2894618E+09
           1  1.7088014E+09
           1  1.5926691E+09
           1  1.1115503E+09
           1  1.5926691E+09
           1  1.4931274E+09
           1  1.4576202E+09
           1  1.4229578E+09
           1  1.3891194E+09
           1  1.3560856E+09
           1  1.3238376E+09
           1  1.2923562E+09
           1  1.2616238E+09
           1  1.2316219E+09
           1  1.2023336E+09
           1  1.1737417E+09
           1  1.1458299E+09
           1  1.1185816E+09
           1  1.0919816E+09
           1  1.0660138E+09
           1  1.0406637E+09
           1  1.0159164E+09
           1  9.9175757E+08
           1  9.6817331E+08
           1  9.4514982E+08
