 interval        deposition(Bq/year)
          76    Nmsr
           1    Nboxprec
           2    reltp
          35           1    NumPlan   NumVert
   1945.000      0.0000000E+00    Release   Bq/year
           1  1.4474902E+10
           1  1.0454096E+10
           1  1.6083224E+08
           1  1.6244056E+10
           1  3.3774771E+09
           1  1.6083224E+08
           1  9.3282697E+10
           1  9.4891024E+10
           1  4.0208060E+11
           1  1.0454096E+12
           1  1.5600728E+12
           1  1.4394486E+12
           1  1.4153237E+12
           1  1.8736956E+12
           1  3.1281872E+12
           1  7.7923222E+11
           1  1.0454096E+12
           1  4.2942210E+12
           1  7.8003637E+12
           1  4.9295083E+12
           1  2.2999010E+12
           1  9.7303501E+11
           1  5.0179660E+11
           1  5.8060440E+11
           1  4.3826784E+11
           1  6.1277078E+11
           1  5.6050031E+11
           1  2.5652743E+11
           1  9.4891024E+10
           1  3.5865589E+11
           1  1.7369881E+11
           1  8.0416121E+10
           1  2.4205251E+11
           1  2.9753967E+11
           1  9.3282697E+10
           1  8.9261892E+10
           1  1.3268659E+11
           1  3.7795578E+10
           1  2.6537320E+10
           1  2.1712351E+10
           1.33  6.2724572E+09  
           0.083000  3.465386E+14 
           1.587  1.5893919E+09 
           1  1.5659213E+09
           1  1.5428929E+09
           1  1.5313788E+09
           1  1.7501471E+09
           1  1.6234918E+09
           1  1.6810624E+09
           1  1.9689156E+09
           1  1.5889494E+09
           1  1.1859551E+09
           1  1.1053560E+09
           1  7.7144646E+08
           1  1.1053560E+09
           1  1.0362714E+09
           1  1.0116285E+09
           1  9.8757178E+08
           1  9.6408698E+08
           1  9.4116070E+08
           1  9.1877958E+08
           1  8.9693069E+08
           1  8.7560154E+08
           1  8.5477939E+08
           1  8.3445254E+08
           1  8.1460896E+08
           1  7.9523738E+08
           1  7.7632640E+08
           1  7.5786515E+08
           1  7.3984282E+08
           1  7.2224915E+08
           1  7.0507386E+08
           1  6.8830701E+08
           1  6.7193888E+08
           1  6.5595994E+08
