 Concentration in water(filtered)-[Bq/m3], in sediment (dry)-[Bq/t]                            
Cs-137
  Initial concentrations for REGIONAL and LOCAL boxes
  Planar 
 number  1Layer      2Layer      3Layer      4Layer
                                                        sed-top    sed-mid                                                                          
    1   9.714E-01                                       1.282E+03   1.459E+01 
    2   2.692E+00                                       1.434E+03   7.126E+00 
    3   2.327E+01   9.341E+00   2.606E+00               5.196E+01   1.786E-01 
    4   3.656E+01   2.842E+01   4.208E+00   2.199E-01   2.150E+00   2.993E-03 
    5   3.654E+01   2.840E+01   4.206E+00   2.179E-01   9.445E+00   1.331E-02 
    6   3.685E+01   2.867E+01   4.213E+00               1.271E+02   3.102E-01 
    7   3.695E+01   2.867E+01   4.206E+00   2.168E-01   1.845E+01   2.667E-02 
    8   3.678E+01   2.854E+01   4.203E+00   2.159E-01   1.783E+01   2.445E-02 
    9   3.686E+01   2.854E+01   4.203E+00   2.150E-01   1.776E+01   2.428E-02 
   10   3.691E+01   2.855E+01   4.202E+00   2.144E-01   1.757E+01   2.397E-02 
   11   3.692E+01   2.853E+01   4.201E+00   2.138E-01   1.317E+01   1.794E-02 
   12   3.701E+01   2.854E+01   4.201E+00   2.135E-01   1.046E+01   1.423E-02 
   13   3.717E+01   2.859E+01   4.201E+00   2.121E-01   1.577E+01   2.209E-02 
   14   3.699E+01   2.848E+01   4.214E+00               1.032E+02   2.523E-01 
   15   3.725E+01   2.861E+01   4.203E+00   2.110E-01   1.595E+01   2.202E-02 
   16   3.755E+01   2.873E+01   4.199E+00   2.105E-01   1.738E+01   2.340E-02 
   17   3.699E+01   2.844E+01   4.200E+00   2.111E-01   1.139E+01   1.538E-02 
   18   3.731E+01   2.859E+01   4.197E+00   2.106E-01   1.738E+01   2.342E-02 
   19   3.716E+01   2.848E+01   4.194E+00   2.109E-01   1.721E+01   2.322E-02 
   20   3.735E+01   2.858E+01   4.194E+00   2.114E-01   1.182E+01   1.608E-02 
   21   3.747E+01   2.864E+01   4.194E+00   2.119E-01   7.414E+00   1.005E-02 
   22   3.710E+01   2.845E+01   4.194E+00   2.112E-01   9.076E+00   1.227E-02 
   23   3.759E+01   2.871E+01   4.196E+00   2.107E-01   1.632E+01   2.200E-02 
   24   3.768E+01   2.877E+01   4.197E+00   2.107E-01   1.739E+01   2.343E-02 
   25   3.753E+01   2.869E+01   4.199E+00   2.110E-01   1.742E+01   2.348E-02 
   26   3.776E+01   2.878E+01   4.198E+00   2.118E-01   1.749E+01   2.364E-02 
   27   3.801E+01   2.890E+01   4.200E+00   2.126E-01   1.756E+01   2.380E-02 
   28   3.804E+01   2.897E+01   4.200E+00   2.127E-01   1.756E+01   2.380E-02 
   29   3.744E+01   2.874E+01   4.200E+00   2.134E-01   1.737E+01   2.359E-02 
   30   3.753E+01   2.886E+01   4.202E+00   2.142E-01   1.569E+01   2.245E-02 
   31   3.704E+01   2.874E+01   4.201E+00   2.168E-01   8.460E+00   1.204E-02 
   32   3.666E+01   2.861E+01   4.201E+00   2.207E-01   1.138E+00   1.589E-03 
   33   3.644E+01   2.855E+01                           2.158E+03   1.664E+01 
   34   3.594E+01                                       1.222E+03   1.053E+01 
   35   3.564E+01   2.877E+01                           6.754E+02   5.231E+00 
   36   3.638E+01   2.871E+01                           1.680E+03   1.297E+01 
   37   3.714E+01   2.886E+01   4.202E+00               1.486E+02   3.713E-01 
   38   3.805E+01   2.920E+01   4.202E+00   2.192E-01   5.660E+00   8.397E-03 
   39   3.789E+01   2.890E+01   4.201E+00               1.428E+02   3.530E-01 
   40   3.782E+01   2.872E+01   4.196E+00   2.136E-01   1.014E+01   1.382E-02 
   41   3.756E+01   2.857E+01   4.194E+00   2.139E-01   7.500E+00   1.024E-02 
   42   3.773E+01   2.864E+01   4.195E+00   2.144E-01   3.868E+00   5.288E-03 
   43   3.739E+01   2.859E+01   4.194E+00   2.123E-01   9.623E+00   1.387E-02 
   44   3.320E+01                                       4.592E+03   2.497E+02 
   45   3.519E+01                                       1.226E+03   1.065E+01 
   46   3.618E+01   2.936E+01                           5.972E+02   4.662E+00 
   47   3.655E+01   2.915E+01                           4.479E+02   3.496E+00 
   48   3.587E+01                                       9.536E+02   8.345E+00 
   49   1.215E+01                                       6.156E+02   1.778E+01 
   50   5.574E+01                                       1.360E+03   1.891E+01 
   51   0.000E+00                                       0.000E+00   0.000E+00
   52   0.000E+00                                       0.000E+00   0.000E+00
   53   0.000E+00                                       0.000E+00   0.000E+00
   1990.75000000000     
