 Concentration in water(filtered)-[Bq/m3], in sediment (dry)-[Bq/t]                            
Cs-137
  Initial concentrations for REGIONAL and LOCAL boxes
  Planar 
 number  1Layer      2Layer      3Layer      4Layer
                                                        sed-top    sed-mid                                                                          
    1   1.027E+00                                       3.364E+03   1.517E+01 
    2   6.237E+00                                       2.775E+03   7.253E+00 
    3   4.431E+01   1.309E+01   2.073E+00               8.723E+01   1.829E-01 
    4   6.875E+01   2.982E+01   3.690E+00   1.949E-01   2.413E+00   2.936E-03 
    5   6.837E+01   2.973E+01   3.687E+00   1.931E-01   1.078E+01   1.306E-02 
    6   6.846E+01   2.986E+01   3.693E+00               1.664E+02   3.141E-01 
    7   6.791E+01   2.972E+01   3.685E+00   1.921E-01   2.165E+01   2.622E-02 
    8   6.735E+01   2.957E+01   3.683E+00   1.913E-01   1.994E+01   2.396E-02 
    9   6.703E+01   2.945E+01   3.682E+00   1.906E-01   1.985E+01   2.379E-02 
   10   6.717E+01   2.942E+01   3.681E+00   1.900E-01   1.962E+01   2.348E-02 
   11   6.803E+01   2.951E+01   3.680E+00   1.895E-01   1.470E+01   1.756E-02 
   12   6.842E+01   2.952E+01   3.679E+00   1.892E-01   1.167E+01   1.393E-02 
   13   6.873E+01   2.947E+01   3.679E+00   1.880E-01   1.816E+01   2.167E-02 
   14   6.951E+01   2.960E+01   3.693E+00               1.354E+02   2.556E-01 
   15   6.927E+01   2.953E+01   3.681E+00   1.870E-01   1.816E+01   2.158E-02 
   16   6.966E+01   2.946E+01   3.676E+00   1.866E-01   1.933E+01   2.290E-02 
   17   6.987E+01   2.953E+01   3.678E+00   1.871E-01   1.269E+01   1.506E-02 
   18   6.988E+01   2.944E+01   3.675E+00   1.866E-01   1.934E+01   2.292E-02 
   19   7.003E+01   2.940E+01   3.672E+00   1.869E-01   1.916E+01   2.272E-02 
   20   7.007E+01   2.944E+01   3.672E+00   1.874E-01   1.324E+01   1.574E-02 
   21   7.010E+01   2.939E+01   3.671E+00   1.878E-01   8.262E+00   9.834E-03 
   22   7.004E+01   2.939E+01   3.671E+00   1.871E-01   1.010E+01   1.201E-02 
   23   6.986E+01   2.938E+01   3.672E+00   1.867E-01   1.817E+01   2.152E-02 
   24   6.958E+01   2.937E+01   3.673E+00   1.867E-01   1.936E+01   2.293E-02 
   25   6.920E+01   2.931E+01   3.674E+00   1.870E-01   1.939E+01   2.298E-02 
   26   6.832E+01   2.905E+01   3.674E+00   1.877E-01   1.948E+01   2.315E-02 
   27   6.640E+01   2.863E+01   3.673E+00   1.884E-01   1.957E+01   2.331E-02 
   28   6.729E+01   2.898E+01   3.674E+00   1.885E-01   1.957E+01   2.331E-02 
   29   6.515E+01   2.876E+01   3.673E+00   1.891E-01   1.938E+01   2.311E-02 
   30   6.438E+01   2.882E+01   3.675E+00   1.898E-01   1.835E+01   2.205E-02 
   31   6.496E+01   2.920E+01   3.677E+00   1.921E-01   9.766E+00   1.182E-02 
   32   6.665E+01   2.959E+01   3.681E+00   1.956E-01   1.278E+00   1.558E-03 
   33   6.779E+01   2.981E+01                           2.388E+03   1.701E+01 
   34   6.596E+01                                       2.181E+03   1.069E+01 
   35   6.485E+01   3.058E+01                           7.658E+02   5.345E+00 
   36   6.304E+01   2.926E+01                           1.863E+03   1.327E+01 
   37   6.503E+01   2.929E+01   3.677E+00               2.000E+02   3.764E-01 
   38   6.620E+01   2.926E+01   3.676E+00   1.942E-01   6.763E+00   8.270E-03 
   39   6.787E+01   2.905E+01   3.674E+00               1.899E+02   3.577E-01 
   40   6.757E+01   2.862E+01   3.669E+00   1.893E-01   1.132E+01   1.353E-02 
   41   6.954E+01   2.903E+01   3.669E+00   1.895E-01   8.383E+00   1.003E-02 
   42   7.053E+01   2.924E+01   3.670E+00   1.900E-01   4.320E+00   5.180E-03 
   43   6.990E+01   2.934E+01   3.670E+00   1.882E-01   1.137E+01   1.363E-02 
   44   6.144E+01                                       7.816E+03   2.520E+02 
   45   6.467E+01                                       2.125E+03   1.079E+01 
   46   6.598E+01   3.249E+01                           6.988E+02   4.762E+00 
   47   6.759E+01   3.193E+01                           5.193E+02   3.572E+00 
   48   6.630E+01                                       1.635E+03   8.467E+00 
   49   2.856E+01                                       1.258E+03   1.826E+01 
   50   1.607E+02                                       3.124E+03   1.963E+01 
   51   0.000E+00                                       0.000E+00   0.000E+00
   52   0.000E+00                                       0.000E+00   0.000E+00
   53   0.000E+00                                       0.000E+00   0.000E+00
   1988.25000000000     
