 interval        deposition(Bq/year)
          32    Nmsr
           1    Nboxprec
           2    reltp
          17           1    NumPlan   NumVert
           0.15  3.7166310E+09
           1  3.6619745E+09
           1  3.6346463E+09
           1  4.1538813E+09
           1  3.8532718E+09
           1  3.9899126E+09
           1  4.6731167E+09
           1  3.7712870E+09
           1  2.8148014E+09
           1  2.6235041E+09
           1  1.8309873E+09
           1  2.6235041E+09
           1  2.4595351E+09
           1  2.4010465E+09
           1  2.3439493E+09
           1  2.2882094E+09
           1  2.2337951E+09
           1  2.1806746E+09
           1  2.1288174E+09
           1  2.0781938E+09
           1  2.0287735E+09
           1  1.9805288E+09
           1  1.9334312E+09
           1  1.8874537E+09
           1  1.8425695E+09
           1  1.7987528E+09
           1  1.7559776E+09
           1  1.7142200E+09
           1  1.6734555E+09
           1  1.6336602E+09
           1  1.5948113E+09
           1  1.5568861E+09
