 interval        deposition(Bq/year)
          33    Nmsr
           1    Nboxprec
           2    reltp
          33           1    NumPlan   NumVert
           0.5  1.1947528E+09 
           1  1.1771098E+09
           1  1.1597993E+09
           1  1.1511441E+09
           1  1.3155932E+09
           1  1.2203859E+09
           1  1.2636620E+09
           1  1.4800424E+09
           1  1.1944201E+09
           1  8.9148755E+08
           1  8.3090093E+08
           1  5.7989965E+08
           1  8.3090093E+08
           1  7.7896973E+08
           1  7.6044550E+08
           1  7.4236198E+08
           1  7.2470835E+08
           1  7.0747456E+08
           1  6.9065062E+08
           1  6.7422669E+08
           1  6.5819347E+08
           1  6.4254138E+08
           1  6.2726157E+08
           1  6.1234509E+08
           1  5.9778336E+08
           1  5.8356794E+08
           1  5.6969050E+08
           1  5.5614304E+08
           1  5.4291782E+08
           1  5.3000710E+08
           1  5.1740336E+08
           1  5.0509936E+08
           1  4.9308794E+08
