 Concentration in water(filtered)-[Bq/m3], in sediment (dry)-[Bq/t]                            
Cs-137
  Initial concentrations for REGIONAL and LOCAL boxes
  Planar 
 number  1Layer      2Layer      3Layer      4Layer
                                                        sed-top    sed-mid                                                                          
    1   9.342E-01                                       1.233E+03   1.436E+01 
    2   2.098E+00                                       1.239E+03   7.075E+00 
    3   2.042E+01   7.848E+00   2.703E+00               5.527E+01   1.777E-01 
    4   3.271E+01   2.769E+01   4.418E+00   2.345E-01   2.355E+00   3.143E-03 
    5   3.272E+01   2.768E+01   4.415E+00   2.295E-01   1.050E+01   1.464E-02 
    6   3.266E+01   2.779E+01   4.424E+00               1.364E+02   3.118E-01 
    7   3.269E+01   2.776E+01   4.415E+00   2.284E-01   2.060E+01   2.960E-02 
    8   3.272E+01   2.772E+01   4.413E+00   2.268E-01   1.957E+01   2.611E-02 
    9   3.269E+01   2.765E+01   4.411E+00   2.259E-01   1.916E+01   2.487E-02 
   10   3.265E+01   2.762E+01   4.411E+00   2.249E-01   1.894E+01   2.450E-02 
   11   3.275E+01   2.767E+01   4.410E+00   2.241E-01   1.418E+01   1.831E-02 
   12   3.281E+01   2.768E+01   4.410E+00   2.232E-01   1.124E+01   1.446E-02 
   13   3.284E+01   2.768E+01   4.410E+00   2.214E-01   1.721E+01   2.334E-02 
   14   3.294E+01   2.772E+01   4.425E+00               1.117E+02   2.592E-01 
   15   3.289E+01   2.769E+01   4.412E+00   2.202E-01   1.774E+01   2.442E-02 
   16   3.297E+01   2.771E+01   4.412E+00   2.194E-01   1.957E+01   2.684E-02 
   17   3.298E+01   2.772E+01   4.417E+00   2.209E-01   1.306E+01   1.844E-02 
   18   3.300E+01   2.772E+01   4.412E+00   2.195E-01   1.935E+01   2.611E-02 
   19   3.283E+01   2.761E+01   4.410E+00   2.204E-01   1.921E+01   2.602E-02 
   20   3.293E+01   2.769E+01   4.412E+00   2.217E-01   1.347E+01   1.895E-02 
   21   3.264E+01   2.750E+01   4.410E+00   2.228E-01   8.340E+00   1.144E-02 
   22   3.318E+01   2.781E+01   4.410E+00   2.210E-01   1.019E+01   1.396E-02 
   23   3.333E+01   2.790E+01   4.410E+00   2.200E-01   1.805E+01   2.412E-02 
   24   3.285E+01   2.763E+01   4.408E+00   2.198E-01   1.924E+01   2.571E-02 
   25   3.280E+01   2.759E+01   4.407E+00   2.201E-01   1.946E+01   2.641E-02 
   26   3.280E+01   2.758E+01   4.406E+00   2.210E-01   1.907E+01   2.501E-02 
   27   3.280E+01   2.757E+01   4.406E+00   2.220E-01   1.898E+01   2.459E-02 
   28   3.274E+01   2.756E+01   4.408E+00   2.227E-01   1.913E+01   2.507E-02 
   29   3.237E+01   2.738E+01   4.407E+00   2.241E-01   1.873E+01   2.416E-02 
   30   3.260E+01   2.757E+01   4.409E+00   2.253E-01   1.678E+01   2.235E-02 
   31   3.264E+01   2.771E+01   4.409E+00   2.277E-01   8.972E+00   1.177E-02 
   32   3.257E+01   2.776E+01   4.410E+00   2.327E-01   1.232E+00   1.636E-03 
   33   3.250E+01   2.781E+01                           2.250E+03   1.661E+01 
   34   3.209E+01                                       1.129E+03   1.047E+01 
   35   3.184E+01   2.790E+01                           7.001E+02   5.213E+00 
   36   3.217E+01   2.774E+01                           1.750E+03   1.295E+01 
   37   3.242E+01   2.762E+01   4.411E+00               1.572E+02   3.584E-01 
   38   3.247E+01   2.753E+01   4.408E+00   2.269E-01   5.781E+00   7.535E-03 
   39   3.229E+01   2.730E+01   4.408E+00               1.527E+02   3.500E-01 
   40   3.261E+01   2.741E+01   4.404E+00   2.240E-01   1.134E+01   1.549E-02 
   41   3.265E+01   2.743E+01   4.404E+00   2.242E-01   8.302E+00   1.122E-02 
   42   3.267E+01   2.743E+01   4.404E+00   2.262E-01   4.233E+00   5.599E-03 
   43   3.264E+01   2.748E+01   4.405E+00   2.240E-01   1.078E+01   1.552E-02 
   44   3.008E+01                                       4.251E+03   2.491E+02 
   45   3.165E+01                                       1.137E+03   1.062E+01 
   46   3.211E+01   2.822E+01                           6.187E+02   4.695E+00 
   47   3.218E+01   2.787E+01                           4.634E+02   3.493E+00 
   48   3.178E+01                                       8.818E+02   8.312E+00 
   49   1.033E+01                                       5.305E+02   1.758E+01 
   50   3.631E+01                                       1.176E+03   1.866E+01 
   51   0.000E+00                                       0.000E+00   0.000E+00
   52   0.000E+00                                       0.000E+00   0.000E+00
   53   0.000E+00                                       0.000E+00   0.000E+00
   1991.75000000000     
