 interval        deposition(Bq/year)
          33    Nmsr
           1    Nboxprec
           2    reltp
          22           1    NumPlan   NumVert
           0.5  1.4831009E+09
           1  1.4611999E+09
           1  1.4397116E+09
           1  1.4289674E+09
           1  1.6331055E+09
           1  1.5149204E+09
           1  1.5686410E+09
           1  1.8372439E+09
           1  1.4826880E+09
           1  1.1066441E+09
           1  1.0314351E+09
           1  7.1985581E+08
           1  1.0314351E+09
           1  9.6697050E+08
           1  9.4397562E+08
           1  9.2152768E+08
           1  8.9961344E+08
           1  8.7822035E+08
           1  8.5733600E+08
           1  8.3694822E+08
           1  8.1704550E+08
           1  7.9761581E+08
           1  7.7864832E+08
           1  7.6013184E+08
           1  7.4205568E+08
           1  7.2440941E+08
           1  7.0718272E+08
           1  6.9036563E+08
           1  6.7394861E+08
           1  6.5792192E+08
           1  6.4227629E+08
           1  6.2700282E+08
           1  6.1209248E+08
