 interval        deposition(Bq/year)
          76    Nmsr
           1    Nboxprec
           2    reltp
          34           1    NumPlan   NumVert
   1945.000      0.0000000E+00    Release   Bq/year
           1  2.9730350E+09
           1  2.1471918E+09
           1  3.3033722E+07
           1  3.3364058E+09
           1  6.9370816E+08
           1  3.3033722E+07
           1  1.9159558E+10
           1  1.9489896E+10
           1  8.2584297E+10
           1  2.1471918E+11
           1  3.2042710E+11
           1  2.9565180E+11
           1  2.9069676E+11
           1  3.8484286E+11
           1  6.4250583E+11
           1  1.6004838E+11
           1  2.1471918E+11
           1  8.8200040E+11
           1  1.6021355E+12
           1  1.0124836E+12
           1  4.7238221E+11
           1  1.9985401E+11
           1  1.0306521E+11
           1  1.1925173E+11
           1  9.0016891E+10
           1  1.2585847E+11
           1  1.1512251E+11
           1  5.2688785E+10
           1  1.9489896E+10
           1  7.3665192E+10
           1  3.5676418E+10
           1  1.6516861E+10
           1  4.9715749E+10
           1  6.1112386E+10
           1  1.9159558E+10
           1  1.8333714E+10
           1  2.7252818E+10
           1  7.7629245E+09
           1  5.4505641E+09
           1  4.4595523E+09
           1.33  1.2883151E+09  
           0.083000  4.417977E+13 
           1.587  3.2644902E+08 
           1  3.2162835E+08
           1  3.1689850E+08
           1  3.1453357E+08
           1  3.5946691E+08
           1  3.3345290E+08
           1  3.4527744E+08
           1  4.0440032E+08
           1  3.2635811E+08
           1  2.4358616E+08
           1  2.2703174E+08
           1  1.5844925E+08
           1  2.2703174E+08
           1  2.1284227E+08
           1  2.0778082E+08
           1  2.0283974E+08
           1  1.9801614E+08
           1  1.9330726E+08
           1  1.8871035E+08
           1  1.8422275E+08
           1  1.7984190E+08
           1  1.7556520E+08
           1  1.7139021E+08
           1  1.6731450E+08
           1  1.6333571E+08
           1  1.5945155E+08
           1  1.5565974E+08
           1  1.5195810E+08
           1  1.4834450E+08
           1  1.4481682E+08
           1  1.4137302E+08
           1  1.3801114E+08
           1  1.3472920E+08
