 Concentration in water(filtered)-[Bq/m3], in sediment (dry)-[Bq/t]                            
Cs-137
  Initial concentrations for REGIONAL and LOCAL boxes
  Planar 
 number  1Layer      2Layer      3Layer      4Layer
                                                        sed-top    sed-mid                                                                          
    1   1.029E+00                                       3.364E+03   1.517E+01 
    2   6.325E+00                                       2.794E+03   7.255E+00 
    3   4.427E+01   1.410E+01   2.127E+00               8.756E+01   1.829E-01 
    4   6.687E+01   2.975E+01   3.705E+00   1.950E-01   2.414E+00   2.936E-03 
    5   6.663E+01   2.969E+01   3.703E+00   1.932E-01   1.078E+01   1.306E-02 
    6   6.667E+01   2.982E+01   3.709E+00               1.668E+02   3.141E-01 
    7   6.630E+01   2.971E+01   3.699E+00   1.922E-01   2.165E+01   2.622E-02 
    8   6.600E+01   2.960E+01   3.696E+00   1.914E-01   1.994E+01   2.396E-02 
    9   6.583E+01   2.950E+01   3.695E+00   1.907E-01   1.985E+01   2.379E-02 
   10   6.567E+01   2.944E+01   3.693E+00   1.901E-01   1.963E+01   2.348E-02 
   11   6.608E+01   2.945E+01   3.691E+00   1.896E-01   1.470E+01   1.756E-02 
   12   6.635E+01   2.945E+01   3.691E+00   1.893E-01   1.167E+01   1.393E-02 
   13   6.664E+01   2.942E+01   3.689E+00   1.881E-01   1.816E+01   2.167E-02 
   14   6.746E+01   2.955E+01   3.700E+00               1.354E+02   2.556E-01 
   15   6.721E+01   2.949E+01   3.687E+00   1.870E-01   1.816E+01   2.158E-02 
   16   6.774E+01   2.946E+01   3.677E+00   1.865E-01   1.933E+01   2.290E-02 
   17   6.792E+01   2.952E+01   3.678E+00   1.870E-01   1.269E+01   1.506E-02 
   18   6.803E+01   2.946E+01   3.673E+00   1.866E-01   1.934E+01   2.292E-02 
   19   6.826E+01   2.943E+01   3.669E+00   1.868E-01   1.916E+01   2.272E-02 
   20   6.827E+01   2.946E+01   3.668E+00   1.873E-01   1.323E+01   1.574E-02 
   21   6.835E+01   2.942E+01   3.666E+00   1.878E-01   8.261E+00   9.834E-03 
   22   6.830E+01   2.941E+01   3.667E+00   1.871E-01   1.010E+01   1.201E-02 
   23   6.807E+01   2.940E+01   3.669E+00   1.867E-01   1.817E+01   2.152E-02 
   24   6.773E+01   2.938E+01   3.672E+00   1.867E-01   1.936E+01   2.293E-02 
   25   6.716E+01   2.931E+01   3.677E+00   1.870E-01   1.939E+01   2.298E-02 
   26   6.617E+01   2.906E+01   3.678E+00   1.878E-01   1.949E+01   2.315E-02 
   27   6.430E+01   2.864E+01   3.680E+00   1.885E-01   1.957E+01   2.331E-02 
   28   6.461E+01   2.883E+01   3.680E+00   1.886E-01   1.957E+01   2.331E-02 
   29   6.423E+01   2.894E+01   3.681E+00   1.892E-01   1.938E+01   2.311E-02 
   30   6.500E+01   2.926E+01   3.684E+00   1.899E-01   1.835E+01   2.205E-02 
   31   6.428E+01   2.937E+01   3.688E+00   1.922E-01   9.767E+00   1.182E-02 
   32   6.552E+01   2.966E+01   3.692E+00   1.957E-01   1.278E+00   1.558E-03 
   33   6.624E+01   2.980E+01                           2.432E+03   1.703E+01 
   34   6.521E+01                                       2.373E+03   1.078E+01 
   35   6.445E+01   3.068E+01                           7.843E+02   5.352E+00 
   36   6.418E+01   2.967E+01                           1.895E+03   1.327E+01 
   37   6.648E+01   2.982E+01   3.685E+00               2.002E+02   3.765E-01 
   38   6.634E+01   2.965E+01   3.681E+00   1.942E-01   6.764E+00   8.270E-03 
   39   6.613E+01   2.917E+01   3.679E+00               1.899E+02   3.577E-01 
   40   6.515E+01   2.867E+01   3.671E+00   1.893E-01   1.132E+01   1.353E-02 
   41   6.683E+01   2.906E+01   3.670E+00   1.895E-01   8.384E+00   1.003E-02 
   42   6.758E+01   2.926E+01   3.670E+00   1.899E-01   4.319E+00   5.180E-03 
   43   6.794E+01   2.936E+01   3.669E+00   1.881E-01   1.137E+01   1.363E-02 
   44   6.140E+01                                       8.516E+03   2.544E+02 
   45   6.486E+01                                       2.321E+03   1.088E+01 
   46   6.572E+01   3.253E+01                           7.225E+02   4.771E+00 
   47   6.655E+01   3.196E+01                           5.321E+02   3.578E+00 
   48   6.538E+01                                       1.809E+03   8.549E+00 
   49   2.819E+01                                       1.322E+03   1.833E+01 
   50   7.287E+01                                       1.852E+03   1.937E+01 
   51   0.000E+00                                       0.000E+00   0.000E+00
   52   0.000E+00                                       0.000E+00   0.000E+00
   53   0.000E+00                                       0.000E+00   0.000E+00
   1988.25000000000     
