 interval        deposition(Bq/year)
          32    Nmsr
           1    Nboxprec
           2    reltp
          10           1    NumPlan   NumVert
           0.25  1.8601087E+09
           1  1.8327540E+09
           1  1.8190767E+09
           1  2.0789448E+09
           1  1.9284950E+09
           1  1.9968813E+09
           1  2.3388129E+09
           1  1.8874630E+09
           1  1.4087588E+09
           1  1.3130177E+09
           1  9.1637702E+08
           1  1.3130177E+09
           1  1.2309542E+09
           1  1.2016817E+09
           1  1.1731055E+09
           1  1.1452086E+09
           1  1.1179753E+09
           1  1.0913894E+09
           1  1.0654358E+09
           1  1.0400996E+09
           1  1.0153656E+09
           1  9.9121997E+08
           1  9.6764838E+08
           1  9.4463750E+08
           1  9.2217376E+08
           1  9.0024422E+08
           1  8.7883603E+08
           1  8.5793709E+08
           1  8.3753510E+08
           1  8.1761824E+08
           1  7.9817504E+08
           1  7.7919424E+08
