 Concentration in water(filtered)-[Bq/m3], in sediment (dry)-[Bq/t]                            
Cs-137
  Initial concentrations for REGIONAL and LOCAL boxes
  Planar 
 number  1Layer      2Layer      3Layer      4Layer
                                                        sed-top    sed-mid                                                                          
    1   1.029E+00                                       3.361E+03   1.517E+01 
    2   6.280E+00                                       2.787E+03   7.250E+00 
    3   4.135E+01   1.352E+01   2.103E+00               8.725E+01   1.826E-01 
    4   6.170E+01   2.833E+01   3.686E+00   1.966E-01   2.438E+00   2.982E-03 
    5   6.164E+01   2.829E+01   3.682E+00   1.939E-01   1.112E+01   1.353E-02 
    6   6.152E+01   2.837E+01   3.690E+00               1.667E+02   3.149E-01 
    7   6.146E+01   2.831E+01   3.682E+00   1.936E-01   2.244E+01   2.734E-02 
    8   6.142E+01   2.821E+01   3.676E+00   1.923E-01   2.090E+01   2.525E-02 
    9   6.131E+01   2.807E+01   3.672E+00   1.911E-01   2.018E+01   2.423E-02 
   10   6.101E+01   2.796E+01   3.667E+00   1.903E-01   1.967E+01   2.355E-02 
   11   6.116E+01   2.771E+01   3.661E+00   1.897E-01   1.473E+01   1.761E-02 
   12   6.150E+01   2.701E+01   3.641E+00   1.884E-01   1.162E+01   1.385E-02 
   13   6.172E+01   2.665E+01   3.624E+00   1.868E-01   1.747E+01   2.075E-02 
   14   6.226E+01   2.641E+01   3.627E+00               1.470E+02   2.772E-01 
   15   6.208E+01   2.624E+01   3.614E+00   1.862E-01   1.825E+01   2.168E-02 
   16   6.224E+01   2.578E+01   3.596E+00   1.854E-01   2.037E+01   2.416E-02 
   17   6.240E+01   2.595E+01   3.595E+00   1.860E-01   1.446E+01   1.728E-02 
   18   6.233E+01   2.568E+01   3.590E+00   1.852E-01   1.975E+01   2.338E-02 
   19   6.238E+01   2.561E+01   3.584E+00   1.856E-01   2.014E+01   2.394E-02 
   20   6.242E+01   2.569E+01   3.584E+00   1.865E-01   1.548E+01   1.855E-02 
   21   6.241E+01   2.560E+01   3.581E+00   1.875E-01   9.288E+00   1.118E-02 
   22   6.236E+01   2.556E+01   3.582E+00   1.860E-01   1.071E+01   1.276E-02 
   23   6.227E+01   2.561E+01   3.587E+00   1.853E-01   1.850E+01   2.191E-02 
   24   6.218E+01   2.582E+01   3.593E+00   1.852E-01   1.972E+01   2.335E-02 
   25   6.201E+01   2.606E+01   3.607E+00   1.861E-01   2.009E+01   2.387E-02 
   26   6.137E+01   2.613E+01   3.615E+00   1.869E-01   1.940E+01   2.302E-02 
   27   5.983E+01   2.613E+01   3.630E+00   1.879E-01   1.953E+01   2.324E-02 
   28   5.908E+01   2.670E+01   3.648E+00   1.886E-01   2.028E+01   2.422E-02 
   29   6.025E+01   2.734E+01   3.655E+00   1.895E-01   1.960E+01   2.343E-02 
   30   6.060E+01   2.770E+01   3.662E+00   1.905E-01   1.880E+01   2.267E-02 
   31   6.063E+01   2.799E+01   3.670E+00   1.932E-01   1.014E+01   1.232E-02 
   32   6.068E+01   2.821E+01   3.677E+00   1.974E-01   1.292E+00   1.585E-03 
   33   6.107E+01   2.832E+01                           2.380E+03   1.704E+01 
   34   5.985E+01                                       2.257E+03   1.074E+01 
   35   5.901E+01   2.895E+01                           7.645E+02   5.355E+00 
   36   5.757E+01   2.780E+01                           1.853E+03   1.330E+01 
   37   5.859E+01   2.771E+01   3.663E+00               1.924E+02   3.631E-01 
   38   5.975E+01   2.752E+01   3.658E+00   1.946E-01   6.780E+00   8.303E-03 
   39   5.975E+01   2.663E+01   3.644E+00               2.110E+02   3.954E-01 
   40   6.101E+01   2.590E+01   3.613E+00   1.889E-01   1.188E+01   1.426E-02 
   41   6.215E+01   2.585E+01   3.604E+00   1.891E-01   8.889E+00   1.069E-02 
   42   6.283E+01   2.580E+01   3.597E+00   1.902E-01   4.336E+00   5.223E-03 
   43   6.235E+01   2.568E+01   3.589E+00   1.874E-01   1.230E+01   1.479E-02 
   44   5.584E+01                                       8.284E+03   2.544E+02 
   45   5.846E+01                                       2.209E+03   1.084E+01 
   46   5.955E+01   3.073E+01                           7.087E+02   4.825E+00 
   47   6.067E+01   2.961E+01                           5.123E+02   3.586E+00 
   48   5.969E+01                                       1.675E+03   8.506E+00 
   49   2.728E+01                                       1.280E+03   1.829E+01 
   50   1.224E+02                                       2.627E+03   1.956E+01 
   51   0.000E+00                                       0.000E+00   0.000E+00
   52   0.000E+00                                       0.000E+00   0.000E+00
   53   0.000E+00                                       0.000E+00   0.000E+00
   1988.25000000000     
