 interval        deposition(Bq/year)
          33    Nmsr
           1    Nboxprec
           2    reltp
          38           1    NumPlan   NumVert
           1  1.8264315E+09 
           1  1.7994605E+09
           1  1.7729979E+09
           1  1.7597664E+09
           1  2.0111615E+09
           1  1.8656172E+09
           1  1.9317737E+09
           1  2.2625569E+09
           1  1.8259229E+09
           1  1.3628268E+09
           1  1.2702074E+09
           1  8.8649894E+08
           1  1.2702074E+09
           1  1.1908195E+09
           1  1.1625014E+09
           1  1.1348568E+09
           1  1.1078696E+09
           1  1.0815241E+09
           1  1.0558051E+09
           1  1.0306977E+09
           1  1.0061875E+09
           1  9.8225997E+08
           1  9.5890157E+08
           1  9.3609862E+08
           1  9.1383795E+08
           1  8.9210662E+08
           1  8.7089210E+08
           1  8.5018189E+08
           1  8.2996435E+08
           1  8.1022758E+08
           1  7.9096013E+08
           1  7.7215085E+08
           1  7.5378886E+08
