 Concentration in water(filtered)-[Bq/m3], in sediment (dry)-[Bq/t]                            
Cs-137
  Initial concentrations for REGIONAL and LOCAL boxes
  Planar 
 number  1Layer      2Layer      3Layer      4Layer
                                                        sed-top    sed-mid                                                                          
    1   9.734E-01                                       1.283E+03   1.459E+01 
    2   2.736E+00                                       1.453E+03   7.131E+00 
    3   2.432E+01   9.807E+00   2.689E+00               5.319E+01   1.787E-01 
    4   3.802E+01   3.017E+01   4.316E+00   2.211E-01   2.157E+00   2.993E-03 
    5   3.836E+01   3.032E+01   4.315E+00   2.190E-01   9.472E+00   1.332E-02 
    6   3.747E+01   3.002E+01   4.319E+00               1.295E+02   3.103E-01 
    7   3.867E+01   3.057E+01   4.315E+00   2.178E-01   1.850E+01   2.667E-02 
    8   3.917E+01   3.075E+01   4.314E+00   2.169E-01   1.789E+01   2.445E-02 
    9   3.891E+01   3.059E+01   4.313E+00   2.160E-01   1.781E+01   2.428E-02 
   10   3.879E+01   3.052E+01   4.312E+00   2.154E-01   1.762E+01   2.397E-02 
   11   3.861E+01   3.040E+01   4.310E+00   2.148E-01   1.320E+01   1.794E-02 
   12   3.856E+01   3.035E+01   4.310E+00   2.144E-01   1.049E+01   1.423E-02 
   13   3.862E+01   3.034E+01   4.310E+00   2.131E-01   1.581E+01   2.209E-02 
   14   3.844E+01   3.022E+01   4.323E+00               1.053E+02   2.526E-01 
   15   3.858E+01   3.030E+01   4.312E+00   2.119E-01   1.599E+01   2.202E-02 
   16   3.858E+01   3.024E+01   4.308E+00   2.114E-01   1.742E+01   2.341E-02 
   17   3.853E+01   3.023E+01   4.310E+00   2.120E-01   1.142E+01   1.539E-02 
   18   3.869E+01   3.028E+01   4.307E+00   2.115E-01   1.743E+01   2.343E-02 
   19   3.884E+01   3.033E+01   4.305E+00   2.118E-01   1.726E+01   2.322E-02 
   20   3.939E+01   3.063E+01   4.306E+00   2.124E-01   1.185E+01   1.608E-02 
   21   3.974E+01   3.081E+01   4.306E+00   2.129E-01   7.433E+00   1.005E-02 
   22   3.887E+01   3.034E+01   4.304E+00   2.121E-01   9.099E+00   1.227E-02 
   23   3.905E+01   3.045E+01   4.306E+00   2.116E-01   1.636E+01   2.200E-02 
   24   3.904E+01   3.046E+01   4.307E+00   2.116E-01   1.743E+01   2.344E-02 
   25   3.903E+01   3.047E+01   4.309E+00   2.119E-01   1.746E+01   2.349E-02 
   26   3.926E+01   3.059E+01   4.308E+00   2.128E-01   1.754E+01   2.366E-02 
   27   3.924E+01   3.058E+01   4.308E+00   2.136E-01   1.760E+01   2.380E-02 
   28   3.968E+01   3.085E+01   4.311E+00   2.137E-01   1.760E+01   2.380E-02 
   29   3.974E+01   3.095E+01   4.311E+00   2.143E-01   1.741E+01   2.360E-02 
   30   3.948E+01   3.088E+01   4.312E+00   2.151E-01   1.573E+01   2.245E-02 
   31   3.923E+01   3.086E+01   4.311E+00   2.179E-01   8.484E+00   1.204E-02 
   32   3.871E+01   3.067E+01   4.311E+00   2.219E-01   1.141E+00   1.589E-03 
   33   3.799E+01   3.036E+01                           2.301E+03   1.669E+01 
   34   3.767E+01                                       1.280E+03   1.061E+01 
   35   3.744E+01   3.072E+01                           7.195E+02   5.249E+00 
   36   3.832E+01   3.073E+01                           1.791E+03   1.301E+01 
   37   3.929E+01   3.098E+01   4.314E+00               1.514E+02   3.717E-01 
   38   3.972E+01   3.110E+01   4.312E+00   2.203E-01   5.677E+00   8.398E-03 
   39   3.945E+01   3.075E+01   4.311E+00               1.455E+02   3.532E-01 
   40   3.944E+01   3.063E+01   4.306E+00   2.146E-01   1.017E+01   1.382E-02 
   41   3.937E+01   3.058E+01   4.305E+00   2.149E-01   7.521E+00   1.024E-02 
   42   3.933E+01   3.056E+01   4.305E+00   2.154E-01   3.880E+00   5.289E-03 
   43   3.936E+01   3.060E+01   4.305E+00   2.133E-01   9.648E+00   1.388E-02 
   44   3.494E+01                                       4.772E+03   2.505E+02 
   45   3.714E+01                                       1.276E+03   1.070E+01 
   46   3.765E+01   3.115E+01                           6.358E+02   4.681E+00 
   47   3.783E+01   3.084E+01                           4.774E+02   3.508E+00 
   48   3.733E+01                                       9.921E+02   8.404E+00 
   49   1.242E+01                                       6.271E+02   1.782E+01 
   50   4.436E+01                                       9.558E+02   1.860E+01 
   51   0.000E+00                                       0.000E+00   0.000E+00
   52   0.000E+00                                       0.000E+00   0.000E+00
   53   0.000E+00                                       0.000E+00   0.000E+00
   1990.75000000000     
