 interval        deposition(Bq/year)
          32    Nmsr
           1    Nboxprec
           2    reltp
           5           1    NumPlan   NumVert
           0.25  3.3760259E+09
           1  3.3263782E+09
           1  3.3015544E+09
           1  3.7732050E+09
           1  3.5001444E+09
           1  3.6242629E+09
           1  4.2448561E+09
           1  3.4256730E+09
           1  2.5568430E+09
           1  2.3830769E+09
           1  1.6631891E+09
           1  2.3830769E+09
           1  2.2341348E+09
           1  2.1810061E+09
           1  2.1291415E+09
           1  2.0785097E+09
           1  2.0290821E+09
           1  1.9808300E+09
           1  1.9337251E+09
           1  1.8877408E+09
           1  1.8428495E+09
           1  1.7990262E+09
           1  1.7562447E+09
           1  1.7144808E+09
           1  1.6737100E+09
           1  1.6339087E+09
           1  1.5950537E+09
           1  1.5571229E+09
           1  1.5200941E+09
           1  1.4839457E+09
           1  1.4486572E+09
           1  1.4142076E+09
