 interval        deposition(Bq/year)
          29    Nmsr
           1    Nboxprec
           2    reltp
          35           1    NumPlan   NumVert
           0.25  1.7501471E+09
           1  1.6234918E+09
           1  1.6810624E+09
           1  1.9689156E+09
           1  1.5889494E+09
           1  1.1859551E+09
           1  1.1053560E+09
           1  7.7144646E+08
           1  1.1053560E+09
           1  1.0362714E+09
           1  1.0116285E+09
           1  9.8757178E+08
           1  9.6408698E+08
           1  9.4116070E+08
           1  9.1877958E+08
           1  8.9693069E+08
           1  8.7560154E+08
           1  8.5477939E+08
           1  8.3445254E+08
           1  8.1460896E+08
           1  7.9523738E+08
           1  7.7632640E+08
           1  7.5786515E+08
           1  7.3984282E+08
           1  7.2224915E+08
           1  7.0507386E+08
           1  6.8830701E+08
           1  6.7193888E+08
           1  6.5595994E+08
