 Concentration in water(filtered)-[Bq/m3], in sediment (dry)-[Bq/t]                            
Cs-137
  Initial concentrations for REGIONAL and LOCAL boxes
  Planar 
 number  1Layer      2Layer      3Layer      4Layer
                                                        sed-top    sed-mid                                                                          
    1   9.827E-01                                       1.057E+04   1.499E+01
    2   1.276E+01                                       4.362E+03   7.068E+00
    3   6.240E+01   3.559E+00   1.736E+00               2.507E+02   1.771E-01
    4   2.925E+02   1.435E+01   3.359E+00   1.824E-01   5.518E+00   2.824E-03
    5   2.573E+02   1.359E+01   3.357E+00   1.787E-01   2.666E+01   1.318E-02
    6   3.089E+02   1.490E+01   3.363E+00               4.312E+02   3.043E-01
    7   3.135E+02   1.500E+01   3.359E+00   1.778E-01   5.490E+01   2.669E-02
    8   2.926E+02   1.459E+01   3.358E+00   1.766E-01   4.699E+01   2.339E-02
    9   2.770E+02   1.421E+01   3.357E+00   1.758E-01   4.427E+01   2.221E-02
   10   2.614E+02   1.386E+01   3.356E+00   1.751E-01   4.369E+01   2.187E-02
   11   2.516E+02   1.367E+01   3.356E+00   1.744E-01   3.265E+01   1.632E-02
   12   2.393E+02   1.342E+01   3.355E+00   1.736E-01   2.583E+01   1.289E-02
   13   2.205E+02   1.301E+01   3.354E+00   1.722E-01   4.298E+01   2.090E-02
   14   1.946E+02   1.248E+01   3.359E+00               3.610E+02   2.530E-01
   15   1.955E+02   1.254E+01   3.354E+00   1.711E-01   4.546E+01   2.190E-02
   16   1.580E+02   1.192E+01   3.354E+00   1.704E-01   4.992E+01   2.405E-02
   17   1.582E+02   1.190E+01   3.355E+00   1.715E-01   3.450E+01   1.656E-02
   18   1.390E+02   1.172E+01   3.354E+00   1.704E-01   4.814E+01   2.337E-02
   19   1.314E+02   1.167E+01   3.353E+00   1.711E-01   4.787E+01   2.331E-02
   20   1.364E+02   1.169E+01   3.353E+00   1.721E-01   3.528E+01   1.703E-02
   21   1.302E+02   1.166E+01   3.353E+00   1.729E-01   2.100E+01   1.027E-02
   22   1.297E+02   1.168E+01   3.353E+00   1.716E-01   2.569E+01   1.250E-02
   23   1.320E+02   1.175E+01   3.353E+00   1.708E-01   4.417E+01   2.157E-02
   24   1.375E+02   1.186E+01   3.353E+00   1.707E-01   4.714E+01   2.299E-02
   25   1.521E+02   1.214E+01   3.353E+00   1.710E-01   4.879E+01   2.365E-02
   26   1.809E+02   1.275E+01   3.353E+00   1.718E-01   4.536E+01   2.233E-02
   27   2.113E+02   1.341E+01   3.354E+00   1.727E-01   4.427E+01   2.195E-02
   28   2.468E+02   1.416E+01   3.356E+00   1.733E-01   4.525E+01   2.239E-02
   29   2.755E+02   1.478E+01   3.357E+00   1.744E-01   4.314E+01   2.156E-02
   30   3.064E+02   1.533E+01   3.358E+00   1.753E-01   4.041E+01   2.002E-02
   31   3.253E+02   1.591E+01   3.358E+00   1.772E-01   2.094E+01   1.053E-02
   32   3.337E+02   1.586E+01   3.358E+00   1.811E-01   2.878E+00   1.468E-03
   33   3.229E+02   1.545E+01                           5.245E+03   1.691E+01
   34   3.132E+02                                       2.821E+03   1.048E+01
   35   3.086E+02   2.198E+01                           1.633E+03   5.307E+00
   36   3.198E+02   1.711E+01                           4.084E+03   1.319E+01
   37   3.308E+02   1.680E+01   3.361E+00               4.959E+02   3.497E-01
   38   3.128E+02   1.666E+01   3.359E+00   1.765E-01   1.338E+01   6.736E-03
   39   2.598E+02   1.511E+01   3.359E+00               4.863E+02   3.417E-01
   40   1.929E+02   1.337E+01   3.354E+00   1.741E-01   2.833E+01   1.389E-02
   41   1.742E+02   1.288E+01   3.353E+00   1.742E-01   2.038E+01   1.005E-02
   42   1.536E+02   1.235E+01   3.352E+00   1.757E-01   9.996E+00   5.015E-03
   43   1.413E+02   1.202E+01   3.352E+00   1.740E-01   2.905E+01   1.399E-02
   44   2.776E+02                                       9.139E+03   2.486E+02
   45   2.882E+02                                       2.803E+03   1.066E+01
   46   2.922E+02   3.122E+01                           1.439E+03   4.777E+00
   47   3.018E+02   3.108E+01                           1.083E+03   3.558E+00
   48   2.874E+02                                       2.221E+03   8.376E+00
   49   3.116E+02                                       2.511E+03   1.795E+01
   50   6.489E+01                                       4.660E+03   1.946E+01
   51   0.000E+00                                       0.000E+00   0.000E+00
   52   0.000E+00                                       0.000E+00   0.000E+00
   53   0.000E+00                                       0.000E+00   0.000E+00
   1986.50000000000     
