year	DegE	DegN	Cs137
1988.625	32.66666667	44.66666667	100
1988.625	32.66666667	44.95	48.5
1988.625	32.66666667	45.21666667	129.6
1988.625	32.33333333	45.76666667	58.9
1988.625	31.58333333	45.83333333	48
1988.625	31.25	46.16666667	63
1988.625	31.4	46.55	47.9
1988.625	31.08333333	46.38333333	44.1
1988.625	30.83333333	46.25	85.2
1988.625	30.48333333	46.05	64.1
1988.625	30.58333333	45.66666667	37.5
1988.625	31.21666667	45.3	58.9
1988.625	31.21666667	45.3	66.7
1988.625	29.96666667	45	77.8
1988.625	29.91666667	44.5	81.5
1988.625	31.01666667	44.53333333	74.1
1988.625	30.68333333	43.63333333	44.6
1988.625	30	41.66666667	98.8
1988.625	29	41.5	66.1
1988.625	28.36666667	41.48333333	66.8
1988.625	29	42.33333333	48.5
1988.625	31	43	52.1
1988.625	30	43	114.8
1988.625	28.16666667	42.83333333	103.7
1988.625	29	43.66666667	70.4
1988.625	35.01666667	44.78333333	78.1
1988.625	37.16666667	44.9	71.1
1988.625	38.73333333	44.23333333	47.9
1988.625	34.41666667	44.65	62.8
1988.625	34.43333333	44.61666667	48.2
