year	DegE	DegN	Cs137
1991.75	38	45.5	9.1991
1991.75	30.47	46.33	16
1991.75	31.33	46.5	37
1991.75	31	45.67	23
1991.75	32	45.6	25
1991.75	32.98	44.97	30
1991.75	33.75	44.87	26
1991.75	35	44.77	26
1991.75	36.33	45	24
1991.75	37.5	44.5	24
1991.75	39	44.05	37
1991.75	39.4	43.57	27
1991.75	39.64	43.62	28
1991.75	41.38	42.38	28
1991.75	40	42.22	26
1991.75	38	43.6	26
1991.75	34	43.67	27
1991.75	32	43.67	23
1991.75	32	44.15	25
1991.75	31.17	45	25
1991.75	29.67	45.5	22
1991.75	30.5	45.33	23
1991.75	30.23	45.78	27
