year	DegE	DegN	Cs137
1987.5	33	45	73
1987.5	32	45.67	30
1987.5	30.5	45.83	28
1987.5	30	45	27
1987.5	31	45	71
1987.5	32	44.33	69
1987.5	33	45	42
1987.5	31	43.67	51
1987.5	31	42.33	59
1987.5	30	44.33	45
1987.5	29.17	44.33	48
1987.5	29	43	61
1987.5	28.25	43	48
1987.5	28.33	42.68	56
1987.5	29	42.33	59
1987.5	29	41.67	73
1987.5	30	41.67	67
1987.5	32	42	60
1987.5	35	42.33	66
1987.5	37	42.33	40
1987.5	38	41.67	62
1987.5	39	41.33	57
1987.5	41	41.67	60
1987.5	40.83	43	45
1987.5	40	43	48
1987.5	38	43	56
1987.5	38	43.67	53
1987.5	39	43.67	60
1987.5	38	44.33	48
1987.5	37	44.83	58
1987.5	36	44.83	59
1987.5	36	43	62
1987.5	36	43.67	50
1987.5	34	43.67	62
1987.5	33.75	44.33	81
