year	DegE	DegN	Cs137
1986.5	30.78	46.33	55.5
1986.5	31.1	46.1	81.4
1986.5	32.53	45.37	70.3
1986.5	31.87	45.33	37
1986.5	30.5	45.08	55.5
1986.5	29.97	45.33	81.4
1986.5	30.5	44.47	96.2
1986.5	29.15	44.1	51.8
1986.5	30.5	43.82	14.8
1986.5	31.47	43.31	370
1986.5	29.15	42.98	18.5
1986.5	29.17	42.25	66.6
1986.5	29.17	41.47	48.1
1986.5	30.5	41.5	51.8
1986.5	30.5	42.22	37
1986.5	31.83	41.73	48.1
1986.5	32	42.92	40.7
1986.5	33.75	43.55	44.4
1986.5	33.68	44.37	303.4
1986.5	33.75	42.8	33.3
1986.5	33.08	44.53	503.2
1986.5	34.17	44.48	48.1
1986.5	34.78	44.25	381.1
1986.5	35.88	43.92	210.9
1986.5	37.33	43.3	170.2
1986.5	40.62	42.03	118.4
1986.5	41.22	41.82	229.4
1986.5	41.6	41.65	77.7
1986.5	40.83	43	251.6
1986.5	39.42	43.57	418.1
1986.5	38.83	44	251.6
1986.5	37.5	44.5	288.6
1986.5	36.83	45	469.9
1986.5	39.18	42.58	188.7
