year	DegE	DegN	Cs137
1990.75	30.78	46.33	47
1990.75	31.33	46.5	62
1990.75	31.05	46.17	36
1990.75	31	45.67	45
1990.75	32	45.6	38
1990.75	32.98	44.97	81
1990.75	33.75	44.37	48
1990.75	35	44.77	44
1990.75	36.55	45	36
1990.75	37.5	44.5	48
1990.75	39	44.05	28
1990.75	39.42	43.57	47
1990.75	39.63	43.62	44
1990.75	41.32	41.77	57
1990.75	40	42.22	51
1990.75	38	43	50
1990.75	35	43.55	52
1990.75	34	43.67	56
1990.75	32	43.67	46
1990.75	30	43.5	47
1990.75	30	43	52
1990.75	28.42	42.18	38
1990.75	31.17	45	44
1990.75	30.67	45.5	58
1990.75	30.17	45.33	42
1990.75	30.25	45.67	47
